3171_68344_000000_000000	The Chinese launch ships sideways.	The Chinese launch ships sideways.	false	0	2.34	17.918974
3171_68344_000000_000001	Their compass points to the south.	Their compass points to the south.	false	2.34	5.13	17.086952
3171_68344_000000_000002	In building a house they make the roof first and the foundation is the last thing they put in.	In building a house they make the roof first and the foundation is the last thing they put in.	false	5.13	8.94	17.5151
3171_68344_000000_000003	The key in the door turns backward to lock it.	The key in the door turns backward to lock it.	false	8.94	9.39	12
3171_68344_000000_000004	The kitchen is in the front while the best room is in the back of the house. When a Chinaman sprinkles clothes for ironing purposes he uses his mouth as the sprinkler.	The kitchen is in the front while the best room is in the back of the house. When a Chinaman sprinkles clothes for ironing purposes he uses his mouth as the sprinkler.	false	9.39	10.65	30.35539
3171_68344_000000_000005	I never had a collar washed in China that was not ironed wrong side out.	I never had a collar washed in China that was not ironed wrong side out.	false	10.65	12.42	10
3171_68344_000000_000006	He pays the doctor when he is well and stops the pay the moment he gets sick.	He pays the doctor when he is well and stops the pay the moment he gets sick.	false	12.42	15.72	19.762125
3171_68344_000000_000007	You can almost bank on a Chinaman doing anything the opposite from the way you do it and he laughs at your way as much as you do at his.	You can almost bank on a Chinaman doing anything the opposite from the way you do it and he laughs at your way as much as you do at his.	false	15.72	21.555	18.330093
3171_68344_000001_000000	CHAPTER II	CHAPTER two	false	21.555	22.86	22.372337
3171_68344_000002_000000	THE PEARL OF THE ORIENT--PHILIPPINES	THE PEARL OF THE ORIENT-PHILIPPINES	true	22.86	25.78	20.034914
3171_68344_000003_000000	Of all the islands in the eastern seas, none are more interesting than our own Philippines.	Of all the islands in the eastern seas, none are more interesting than our own Philippines.	true	26.54	33.28	20
3171_68344_000003_000001	Like the genuine pearl which is the result of a bruise and the outcome of suffering, these pearls of the far east are said by geologists to be the result of great volcanic forces that tore them away from the continent and set them out six hundred miles as "gems in the ocean." More than three thousand there are of these islands all together, and their combined area is nearly equal to that of Japan or California.	Like the genuine pearl which is the result of a bruise and the outcome of suffering, these pearls of the far east are said by geologists to be the result of great volcanic forces that tore them away from the continent and set them out six hundred miles as "gems in the ocean." More than three thousand there are of these islands all together, and their combined area is nearly equal to that of Japan or California.	true	33.62	64.12	19.48375
3171_68344_000003_000002	I visited the Philippines a short time before the world war broke out and at that time there were seven million acres of arable land unoccupied and some of it could be entered and purchased for ten cents per acre.	I visited the Philippines a short time before the world war broke out and at that time there were seven million acres of arable land unoccupied and some of it could be entered and purchased for ten cents per acre.	false	64.85	80.29	19.425947
3171_68344_000004_000000	This is a land where the storms of winter never blow but where from month to month and age to age there is good old summer time.	This is a land where the storms of winter never blow but where from month to month and age to age there is good old summer time.	true	81.2	90.4	20.281338
3171_68344_000004_000001	Children are born, grow to manhood, old age, and die without ever seeing fire to keep them warm for they never need it.	Children are born, grow to manhood, old age, and die without ever seeing fire to keep them warm for they never need it.	true	90.65	99.73	20.095299
3171_68344_000004_000002	A range of twenty degrees is about all that the spirits in the thermometer ever show, for the minimum is seventy-two and the maximum ninety-two degrees.	A range of twenty degrees is about all that the spirits in the thermometer ever show, for the minimum is seventy two and the maximum ninety two degrees.	true	100.16	112.69	20.01524
3171_68344_000004_000003	While the nights are cool and the days warm, yet a case of sunstroke was never known and but once in a generation has a hundred in the shade been recorded.	While the nights are cool and the days warm, yet a case of sunstroke was never known and but once in a generation has a hundred in the shade been recorded.	true	113.36	124.75	19.688408
3171_68344_000005_000000	About the most unpleasant feature is the little tiny ants.	About the most unpleasant feature is the little tiny ants.	true	125.3	129.73	23
3171_68344_000005_000001	They find their way into everything.	They find their way into everything.	true	129.83	132.04	20.655693
3171_68344_000005_000002	Table legs must be placed in jars of water and yet they find their way to the top of the tables.	Table legs must be placed in jars of water and yet they find their way to the top of the tables.	true	132.53	139.36	21.146461
3171_68344_000005_000003	Then there is dampness everywhere.	Then there is dampness everywhere.	true	139.97	143.17	20.397392
3171_68344_000005_000004	Books soon become mildewed or unglued and the finest library will soon have the appearance of a secondhand bookshop.	Books soon become mildewed or unglued and the finest library will soon have the appearance of a secondhand bookshop.	true	143.48	152.62	20.414156
3171_68344_000006_000000	Almost all kinds of tropical fruits can be raised in the Philippines.	Almost all kinds of tropical fruits can be raised in the Philippines.	true	153.11	157.48	18
