3989_182389_000001_000000	WHY PETER RABBIT CANNOT FOLD HIS HANDS	WHY peter RABBIT CANNOT FOLD HIS HANDS
3989_182389_000002_000000	Happy Jack Squirrel sat with his hands folded across his white waistcoat.	Happy Jack Squirrel sat with his hands folded across his white waistcoat.
3989_182389_000002_000001	He is very fond of sitting with his hands folded that way. A little way from him sat Peter Rabbit.	He is very fond of sitting with his hands folded that way. A little way from him sat peter Rabbit.
3989_182389_000002_000002	Peter was sitting up very straight, but his hands dropped right down in front.	peter was sitting up very straight, but his hands dropped right down in front.
3989_182389_000002_000003	Happy Jack noticed it.	Happy Jack noticed it.
3989_182389_000005_000000	"You mean you can't!" jeered Happy Jack.	"You mean you can't!" jeered Happy Jack.
3989_182389_000007_000000	"I really believe he can't fold his hands," said Happy Jack to himself, but speaking aloud.	"I really believe he can't fold his hands," said Happy Jack to himself, but speaking aloud.
3989_182389_000008_000000	"He can't, and none of his family can," said a gruff voice.	"He can't, and none of his family can," said a gruff voice.
3989_182389_000010_000000	"Why not?" asked Happy Jack.	"Why not?" asked Happy Jack.
3989_182389_000011_000000	"Ask Grandfather Frog; he knows," replied Old Mr. Toad, and started on about his business.	"Ask Grandfather Frog; he knows," replied Old mr Toad, and started on about his business.
3989_182389_000012_000000	And this is how it happens that Grandfather Frog told this story to the little meadow and forest people gathered around him on the bank of the Smiling Pool.	And this is how it happens that Grandfather Frog told this story to the little meadow and forest people gathered around him on the bank of the Smiling Pool.
3989_182389_000013_000003	It was all because he was so dreadfully curious about other people's business, just as Peter Rabbit is now.	It was all because he was so dreadfully curious about other people's business, just as peter Rabbit is now.
3989_182389_000013_000004	It seemed that he was just born to be curious and so, of course, to get into trouble.	It seemed that he was just born to be curious and so, of course, to get into trouble.
3989_182389_000015_000001	Old King Bear put on his blackest coat.	Old King Bear put on his blackest coat.
3989_182389_000015_000004	Then everybody began to fix up their homes and make them as neat and nice as they knew how--everybody but Mr. Rabbit.	Then everybody began to fix up their homes and make them as neat and nice as they knew how-everybody but mr Rabbit.
3989_182389_000016_000000	"Now Mr. Rabbit was lazy.	"Now mr Rabbit was lazy.
