188_135249_000002_000000	CHAPTER 2	CHAPTER two
188_135249_000003_000000	THE HOUSE OF DREAMS	THE HOUSE OF DREAMS
188_135249_000005_000001	"When I was a child I heard an old minister say that a house was not a real home until it had been consecrated by a birth, a wedding and a death.	"When I was a child I heard an old minister say that a house was not a real home until it had been consecrated by a birth, a wedding and a death.
188_135249_000005_000002	We've had deaths here--my father and mother died here as well as Matthew; and we've even had a birth here.	We've had deaths here-my father and mother died here as well as matthew; and we've even had a birth here.
188_135249_000005_000003	Long ago, just after we moved into this house, we had a married hired man for a little while, and his wife had a baby here.	Long ago, just after we moved into this house, we had a married hired man for a little while, and his wife had a baby here.
188_135249_000005_000004	But there's never been a wedding before.	But there's never been a wedding before.
188_135249_000005_000005	It does seem so strange to think of Anne being married.	It does seem so strange to think of Anne being married.
188_135249_000005_000007	I can't realize that she's grown up.	I can't realize that she's grown up.
188_135249_000005_000008	I shall never forget what I felt when I saw Matthew bringing in a GIRL.	I shall never forget what I felt when I saw matthew bringing in a GIRL.
188_135249_000005_000010	I wonder what HIS fate was."	I wonder what HIS fate was."
188_135249_000006_000000	"Well, it was a fortunate mistake," said Mrs. Rachel Lynde, "though, mind you, there was a time I didn't think so--that evening I came up to see Anne and she treated us to such a scene.	"Well, it was a fortunate mistake," said mrs Rachel Lynde, "though, mind you, there was a time I didn't think so-that evening I came up to see Anne and she treated us to such a scene.
188_135249_000006_000001	Many things have changed since then, that's what."	Many things have changed since then, that's what."
188_135249_000007_000001	When weddings were in order Mrs. Rachel was ready to let the dead past bury its dead.	When weddings were in order mrs Rachel was ready to let the dead past bury its dead.
188_135249_000008_000000	"I'm going to give Anne two of my cotton warp spreads," she resumed. "A tobacco-stripe one and an apple-leaf one.	"I'm going to give Anne two of my cotton warp spreads," she resumed. "A tobacco stripe one and an apple leaf one.
188_135249_000008_000005	But there's a month yet, and dew-bleaching will work wonders."	But there's a month yet, and dew bleaching will work wonders."
188_135249_000009_000000	Only a month!	Only a month!
