2769_169619_000000_000000	CHAPTER 4	CHAPTER four
2769_169619_000001_000000	Stephen Gresham was in his early sixties, but he could have still worn his World War I uniform without anything giving at the seams, and buckled the old Sam Browne at the same hole.	Stephen Gresham was in his early sixties, but he could have still worn his World War one uniform without anything giving at the seams, and buckled the old Sam Browne at the same hole.
2769_169619_000002_000000	"Why, hello, Jeff!" he greeted the detective, grasping his hand heartily. "You haven't been around for months.	"Why, hello, Jeff!" he greeted the detective, grasping his hand heartily. "You haven't been around for months.
2769_169619_000002_000001	What have you been doing, and why don't you come out to Rosemont to see us?	What have you been doing, and why don't you come out to Rosemont to see us?
2769_169619_000002_000002	Dot and Irene were wondering what had become of you."	Dot and Irene were wondering what had become of you."
2769_169619_000003_000000	"I'm afraid I've been neglecting too many of my old friends lately," Rand admitted, sitting down and getting his pipe out.	"I'm afraid I've been neglecting too many of my old friends lately," Rand admitted, sitting down and getting his pipe out.
2769_169619_000003_000001	"Been busy as the devil.	"Been busy as the devil.
2769_169619_000003_000002	Fact is, it was business that finally brought me around here.	Fact is, it was business that finally brought me around here.
2769_169619_000003_000003	I understand that you and some others are forming a pool to buy the Lane Fleming collection."	I understand that you and some others are forming a pool to buy the Lane Fleming collection."
2769_169619_000004_000000	"Yes!" Gresham became enthusiastic.	"Yes!" Gresham became enthusiastic.
2769_169619_000004_000001	"Want in on it?	"Want in on it?
2769_169619_000004_000003	We're going to need all the money we can scrape together, with this damned Rivers bidding against us."	We're going to need all the money we can scrape together, with this damned Rivers bidding against us."
2769_169619_000005_000000	"I'm afraid you will, at that, Stephen," Rand told him.	"I'm afraid you will, at that, Stephen," Rand told him.
2769_169619_000005_000001	"And not necessarily on account of Rivers.	"And not necessarily on account of Rivers.
2769_169619_000005_000002	You see, the Fleming estate has just employed me to expertize the collection and handle the sale for them." Rand got his pipe lit and drawing properly.	You see, the Fleming estate has just employed me to expertize the collection and handle the sale for them." Rand got his pipe lit and drawing properly.
2769_169619_000006_000002	Humphrey Goode isn't competent to handle that.	Humphrey Goode isn't competent to handle that.
2769_169619_000006_000003	What we were all afraid of was a public auction at some sales-gallery."	What we were all afraid of was a public auction at some sales gallery."
2769_169619_000007_000000	Rand shook his head.	Rand shook his head.
2769_169619_000007_000001	"Worst thing they could do; a collection like that would go for peanuts at auction.	"Worst thing they could do; a collection like that would go for peanuts at auction.
2769_169619_000007_000003	Why, here; I'm going to be in Rosemont, staying at the Fleming place, working on the collection, for the next week or so.	Why, here; I'm going to be in Rosemont, staying at the Fleming place, working on the collection, for the next week or so.
2769_169619_000007_000004	I suppose your crowd wouldn't want to make an offer until I have everything listed, but I'd like to talk to your associates, in a group, as soon as possible."	I suppose your crowd wouldn't want to make an offer until I have everything listed, but I'd like to talk to your associates, in a group, as soon as possible."
2769_169619_000008_000000	"Well, we all know pretty much what's in the collection," Gresham said. "We were neighbors of his, and collectors are a gregarious lot.	"Well, we all know pretty much what's in the collection," Gresham said. "We were neighbors of his, and collectors are a gregarious lot.
2769_169619_000008_000001	But we aren't anxious to make any premature offers.	But we aren't anxious to make any premature offers.
2769_169619_000009_000002	I'm not obliged to call for sealed bids, or anything like that, so when I've heard from everybody, I'll give you a chance to bid against the highest offer in hand.	I'm not obliged to call for sealed bids, or anything like that, so when I've heard from everybody, I'll give you a chance to bid against the highest offer in hand.
2769_169619_000010_000000	"Why, Jeff, I appreciate that," Gresham said.	"Why, Jeff, I appreciate that," Gresham said.
2769_169619_000010_000001	"I think you're entirely within your rights, but naturally, we won't mention this outside.	"I think you're entirely within your rights, but naturally, we won't mention this outside.
2769_169619_000010_000002	I can imagine Arnold Rivers, for instance, taking a very righteous view of such an arrangement."	I can imagine Arnold Rivers, for instance, taking a very righteous view of such an arrangement."
2769_169619_000011_000000	"Yes, so can I. Of course, if he'd call me a crook, I'd take that as a compliment," Rand said.	"Yes, so can i Of course, if he'd call me a crook, I'd take that as a compliment," Rand said.
2769_169619_000011_000001	"I wonder if I could meet your group, say tomorrow evening?	"I wonder if I could meet your group, say tomorrow evening?
2769_169619_000011_000002	I want to be in a position to assure the Fleming family and Humphrey Goode that you're all serious and responsible."	I want to be in a position to assure the Fleming family and Humphrey Goode that you're all serious and responsible."
2769_169619_000012_000001	You can look us up, if you wish.	You can look us up, if you wish.
2769_169619_000012_000003	Pierre was a Marine captain, invalided home after being wounded on Peleliu; he writes science-fiction for the pulps.	Pierre was a Marine captain, invalided home after being wounded on Peleliu; he writes science fiction for the pulps.
2769_169619_000012_000004	Karen has a little general-antique business in Rosemont.	Karen has a little general antique business in Rosemont.
2769_169619_000012_000005	They intend using their share of the collection, plus such culls and duplicates as the rest of us can consign to them, to go into the arms business, with a general-antique sideline, which Karen can manage while Pierre's writing....	They intend using their share of the collection, plus such culls and duplicates as the rest of us can consign to them, to go into the arms business, with a general antique sideline, which Karen can manage while Pierre's writing....
2769_169619_000012_000006	Tell you what; I'll call a meeting at my place tomorrow evening, say at eight thirty.	Tell you what; I'll call a meeting at my place tomorrow evening, say at eight thirty.
2769_169619_000012_000007	That suit you?"	That suit you?"
2769_169619_000013_000000	That, Rand agreed, would be all right.	That, Rand agreed, would be all right.
2769_169619_000014_000000	"About two years ago; right after I got back from Germany.	"About two years ago; right after I got back from Germany.
2769_169619_000014_000001	You remember, we went there together, one evening in March."	You remember, we went there together, one evening in March."
2769_169619_000015_000000	"Yes, that's right.	"Yes, that's right.
2769_169619_000015_000001	We didn't have time to see everything," Gresham said. "My God, Jeff!	We didn't have time to see everything," Gresham said. "My God, Jeff!
2769_169619_000015_000002	Twenty-five wheel locks!	Twenty five wheel locks!
2769_169619_000015_000003	Ten snaphaunces.	Ten snaphaunces.
2769_169619_000015_000005	And about a hundred and fifty Colts, all models and most variants.	And about a hundred and fifty Colts, all models and most variants.
2769_169619_000015_000007	He got that one in 1924, at the Fred Hines sale, at the old Walpole Galleries.	He got that one in nineteen twenty four, at the Fred Hines sale, at the old Walpole Galleries.
2769_169619_000015_000008	And seven Paterson Colts, including a couple of cased sets.	And seven Paterson Colts, including a couple of cased sets.
2769_169619_000015_000010	A Hall flintlock breech-loader; an Elisha Collier flintlock revolver; a pair of Forsythe detonator-lock pistols....	A Hall flintlock breech loader; an Elisha Collier flintlock revolver; a pair of Forsythe detonator lock pistols....
2769_169619_000015_000011	Oh, that's a collection to end collections."	Oh, that's a collection to end collections."
2769_169619_000016_000000	"By the way, Humphrey Goode showed me a pair of big ball-butt wheel locks, all covered with ivory inlay," Rand mentioned.	"By the way, Humphrey Goode showed me a pair of big ball butt wheel locks, all covered with ivory inlay," Rand mentioned.
2769_169619_000017_000000	Gresham laughed heartily.	Gresham laughed heartily.
2769_169619_000017_000001	"Aren't they the damnedest ever seen, though?" he asked.	"Aren't they the damnedest ever seen, though?" he asked.
2769_169619_000017_000002	"Made in Germany, about 1870 or '80, about the time arms-collecting was just getting out of the family-heirloom stage, wouldn't you say?"	"Made in Germany, about eighteen seventy or 'eighty, about the time arms collecting was just getting out of the family heirloom stage, wouldn't you say?"
2769_169619_000018_000000	"I'd say made in Japan, about 1920," Rand replied.	"I'd say made in Japan, about nineteen twenty," Rand replied.
2769_169619_000018_000001	"Remember, there were a couple of small human figures on each pistol, a knight and a huntsman? Did you notice that they had slant eyes?" He stopped laughing, and looked at Gresham seriously.	"Remember, there were a couple of small human figures on each pistol, a knight and a huntsman? Did you notice that they had slant eyes?" He stopped laughing, and looked at Gresham seriously.
2769_169619_000019_000000	Gresham shook his head.	Gresham shook his head.
2769_169619_000019_000001	"They're all.	"They're all.
2769_169619_000019_000002	They were Lane Fleming's one false step.	They were Lane Fleming's one false step.
2769_169619_000019_000003	Ordinarily, Lane was a careful buyer; he must have let himself get hypnotized by all that ivory and gold, and all that documentation on crested notepaper.	Ordinarily, Lane was a careful buyer; he must have let himself get hypnotized by all that ivory and gold, and all that documentation on crested notepaper.
2769_169619_000019_000004	You know, Fleming's death was an undeserved stroke of luck for Arnold Rivers.	You know, Fleming's death was an undeserved stroke of luck for Arnold Rivers.
2769_169619_000019_000005	If he hadn't been killed just when he was, he'd have run Rivers out of the old-arms business."	If he hadn't been killed just when he was, he'd have run Rivers out of the old arms business."
2769_169619_000021_000000	"No; the National Rifle Association stopped his ad, and lifted his membership card for good measure," Gresham said.	"No; the National Rifle Association stopped his ad, and lifted his membership card for good measure," Gresham said.
2769_169619_000021_000001	"Rivers sold a rifle to a collector down in Virginia, about three years ago, while you were still occupying Germany.	"Rivers sold a rifle to a collector down in Virginia, about three years ago, while you were still occupying Germany.
2769_169619_000021_000002	A fine, early flintlock Kentuck, that had been made out of a fine, late percussion Kentuck by sawing off the breech-end of the barrel, rethreading it for the breech-plug, drilling a new vent, and fitting the lock with a flint hammer and a pan-and-frizzen assembly, and shortening the fore-end to fit.	A fine, early flintlock Kentuck, that had been made out of a fine, late percussion Kentuck by sawing off the breech end of the barrel, rethreading it for the breech plug, drilling a new vent, and fitting the lock with a flint hammer and a pan and frizzen assembly, and shortening the fore end to fit.
2769_169619_000021_000004	I have an example of Umholtz's craftsmanship, myself.	I have an example of Umholtz's craftsmanship, myself.
2769_169619_000021_000005	The collector who bought this spurious flintlock spotted what had been done, and squawked to the Rifle Association, and to the postal authorities."	The collector who bought this spurious flintlock spotted what had been done, and squawked to the Rifle Association, and to the postal authorities."
2769_169619_000022_000000	"Rivers claimed, I suppose, that he had gotten it from a family that had owned it ever since it was made, and showed letters signed 'D.	"Rivers claimed, I suppose, that he had gotten it from a family that had owned it ever since it was made, and showed letters signed 'D.
2769_169619_000022_000001	Boone' and 'Davy Crockett' to prove it?"	Boone' and 'Davy Crockett' to prove it?"
2769_169619_000023_000000	"No, he claimed to have gotten it in trade from some wayfaring collector," Gresham replied.	"No, he claimed to have gotten it in trade from some wayfaring collector," Gresham replied.
2769_169619_000024_000000	"Wasn't there some talk about Whitneyville Walker Colts that had been made out of 1848 Model Colt Dragoons?" Rand asked.	"Wasn't there some talk about Whitneyville Walker Colts that had been made out of eighteen forty eight Model Colt Dragoons?" Rand asked.
2769_169619_000025_000000	"Oh Lord, yes!	"Oh Lord, yes!
2769_169619_000025_000001	This fellow Umholtz was practically turning them out on an assembly-line, for a while.	This fellow Umholtz was practically turning them out on an assembly line, for a while.
2769_169619_000025_000003	I hate to see him prostitute his talents the way he does by making these fake antiques for Rivers.	I hate to see him prostitute his talents the way he does by making these fake antiques for Rivers.
2769_169619_000025_000005	That story you find in Sawyer's book."	That story you find in Sawyer's book."
2769_169619_000026_000000	"Why, that story's been absolutely disproved," Rand said.	"Why, that story's been absolutely disproved," Rand said.
2769_169619_000027_000000	"Not till Umholtz made one," Gresham replied.	"Not till Umholtz made one," Gresham replied.
2769_169619_000028_000000	"This fellow who bought it, now; did he see Belden and Haven's Colt book, when it came out in 1940?"	"This fellow who bought it, now; did he see Belden and Haven's Colt book, when it came out in nineteen forty?"
2769_169619_000029_000000	"Yes, and he was plenty burned up, but what could he do?	"Yes, and he was plenty burned up, but what could he do?
2769_169619_000029_000001	Rivers was dug in behind this innocent-purchase-and-sale-in-good-faith Maginot Line of his.	Rivers was dug in behind this innocent purchase and sale in good faith Maginot Line of his.
2769_169619_000029_000002	You know, that bastard took me, once, just one-tenth as badly, with a fake U.S. North & Cheney Navy flintlock 1799 Model that had been made out of a French 1777 Model." The lawyer muttered obscenely.	You know, that bastard took me, once, just one tenth as badly, with a fake u s North and Cheney Navy flintlock seventeen ninety nine Model that had been made out of a French seventeen seventy seven Model." The lawyer muttered obscenely.
2769_169619_000030_000001	"You might not have gotten anything, but you'd have given him a lot of dirty publicity. That's all Fleming was expecting to do about those wheel locks."	"You might not have gotten anything, but you'd have given him a lot of dirty publicity. That's all Fleming was expecting to do about those wheel locks."
2769_169619_000031_000000	"I'm not Fleming.	"I'm not Fleming.
2769_169619_000031_000001	He could afford litigation like that; I can't.	He could afford litigation like that; I can't.
2769_169619_000031_000002	I want my money, and if I don't get it in cash, I'm going to beat it out of that dirty little swindler's hide," Gresham replied, an ugly look appearing on his face.	I want my money, and if I don't get it in cash, I'm going to beat it out of that dirty little swindler's hide," Gresham replied, an ugly look appearing on his face.
2769_169619_000032_000000	"I wouldn't blame you.	"I wouldn't blame you.
2769_169619_000033_000000	Gresham frowned.	Gresham frowned.
2769_169619_000033_000001	"I really don't know; I didn't see it.	"I really don't know; I didn't see it.
2769_169619_000034_000000	Rand nodded.	Rand nodded.
2769_169619_000034_000001	He was familiar with the type.	He was familiar with the type.
2769_169619_000035_000000	"The story is that Fleming found it hanging back of the counter at some roadside lunch-stand, along with a lot of other old pistols, and talked the proprietor into letting it go for a few dollars," Gresham continued. "It was supposed to have been loaded at the time, and went off while Fleming was working on it, at home." He shook his head.	"The story is that Fleming found it hanging back of the counter at some roadside lunch stand, along with a lot of other old pistols, and talked the proprietor into letting it go for a few dollars," Gresham continued. "It was supposed to have been loaded at the time, and went off while Fleming was working on it, at home." He shook his head.
2769_169619_000035_000001	"I can't believe that, Jeff.	"I can't believe that, Jeff.
2769_169619_000035_000002	Lane Fleming would know a loaded revolver when he saw one.	Lane Fleming would know a loaded revolver when he saw one.
2769_169619_000035_000003	I believe he deliberately shot himself, and the family faked the accident and fixed the authorities.	I believe he deliberately shot himself, and the family faked the accident and fixed the authorities.
2769_169619_000035_000004	The police never made any investigation; it was handled by the coroner alone.	The police never made any investigation; it was handled by the coroner alone.
2769_169619_000035_000005	And our coroner, out in Scott County, is eminently fixable, if you go about it right; a pitiful little nonentity with a tremendous inferiority complex."	And our coroner, out in Scott County, is eminently fixable, if you go about it right; a pitiful little nonentity with a tremendous inferiority complex."
2769_169619_000036_000000	"But good Lord, why?" Rand demanded.	"But good Lord, why?" Rand demanded.
2769_169619_000036_000001	"I never heard of Fleming having any troubles worth killing himself over."	"I never heard of Fleming having any troubles worth killing himself over."
2769_169619_000037_000001	"Jeff, I'm not supposed to talk about this, but the fact is that I believe Fleming was about to lose control of the Premix Company," he said.	"Jeff, I'm not supposed to talk about this, but the fact is that I believe Fleming was about to lose control of the Premix Company," he said.
2769_169619_000037_000003	"Lane Fleming's death is on record as accidental, Jeff.	"Lane Fleming's death is on record as accidental, Jeff.
2769_169619_000037_000004	It's been written off as such.	It's been written off as such.
