2769_169619_000000_000000	CHAPTER 4	CHAPTER four	true	9.33	10.27	26.4611
2769_169619_000001_000000	Stephen Gresham was in his early sixties, but he could have still worn his World War I uniform without anything giving at the seams, and buckled the old Sam Browne at the same hole.	Stephen Gresham was in his early sixties, but he could have still worn his World War one uniform without anything giving at the seams, and buckled the old Sam Browne at the same hole.	true	11.18	21.6	21
2769_169619_000001_000001	As Rand entered, he rose from behind his desk and advanced, smiling cordially.	As Rand entered, he rose from behind his desk and advanced, smiling cordially.	false	21.6	26.83	21.284395
2769_169619_000002_000000	"Why, hello, Jeff!" he greeted the detective, grasping his hand heartily. "You haven't been around for months.	"Why, hello, Jeff!" he greeted the detective, grasping his hand heartily. "You haven't been around for months.	true	27.71	34.33	25.543644
2769_169619_000002_000001	What have you been doing, and why don't you come out to Rosemont to see us?	What have you been doing, and why don't you come out to Rosemont to see us?	true	34.64	38.14	22.881624
2769_169619_000002_000002	Dot and Irene were wondering what had become of you."	Dot and Irene were wondering what had become of you."	true	38.42	41.23	20.30148
2769_169619_000003_000000	"I'm afraid I've been neglecting too many of my old friends lately," Rand admitted, sitting down and getting his pipe out.	"I'm afraid I've been neglecting too many of my old friends lately," Rand admitted, sitting down and getting his pipe out.	true	42.05	48.82	20.765625
2769_169619_000003_000001	"Been busy as the devil.	"Been busy as the devil.	true	49.46	51.25	21.51531
2769_169619_000003_000002	Fact is, it was business that finally brought me around here.	Fact is, it was business that finally brought me around here.	true	51.44	54.7	23.103685
2769_169619_000003_000003	I understand that you and some others are forming a pool to buy the Lane Fleming collection."	I understand that you and some others are forming a pool to buy the Lane Fleming collection."	true	55.13	59.92	22.587708
2769_169619_000004_000000	"Yes!" Gresham became enthusiastic.	"Yes!" Gresham became enthusiastic.	true	60.29	63.16	22.1852
2769_169619_000004_000001	"Want in on it?	"Want in on it?	true	63.44	64.51	36.83331
2769_169619_000004_000002	I'm sure the others would be glad to have you in with us.	I'm sure the others would be glad to have you in with us.	true	64.79	67.78	18.360552
2769_169619_000004_000003	We're going to need all the money we can scrape together, with this damned Rivers bidding against us."	We're going to need all the money we can scrape together, with this damned Rivers bidding against us."	true	68.06	73.27	23.968287
2769_169619_000005_000000	"I'm afraid you will, at that, Stephen," Rand told him.	"I'm afraid you will, at that, Stephen," Rand told him.	true	74	77.32	30.441164
2769_169619_000005_000001	"And not necessarily on account of Rivers.	"And not necessarily on account of Rivers.	true	77.6	80.02	24.454214
2769_169619_000005_000002	You see, the Fleming estate has just employed me to expertize the collection and handle the sale for them." Rand got his pipe lit and drawing properly.	You see, the Fleming estate has just employed me to expertize the collection and handle the sale for them." Rand got his pipe lit and drawing properly.	true	80.27	89.44	22.749805
2769_169619_000005_000003	"I hate doing this to you, but you know how it is."	"I hate doing this to you, but you know how it is."	false	89.6	92.7	21.458975
2769_169619_000006_000000	"Oh, of course.	"Oh, of course.	false	92.7	94.38	21.470928
2769_169619_000006_000001	I should have known they'd get somebody like you in to sell the collection for them.	I should have known they'd get somebody like you in to sell the collection for them.	false	94.38	98.11	22.809702
2769_169619_000006_000002	Humphrey Goode isn't competent to handle that.	Humphrey Goode isn't competent to handle that.	true	98.42	100.78	20.175776
2769_169619_000006_000003	What we were all afraid of was a public auction at some sales-gallery."	What we were all afraid of was a public auction at some sales gallery."	true	101.24	105.52	20.668318
2769_169619_000007_000000	Rand shook his head.	Rand shook his head.	true	106.01	107.35	24.05573
2769_169619_000007_000001	"Worst thing they could do; a collection like that would go for peanuts at auction.	"Worst thing they could do; a collection like that would go for peanuts at auction.	true	107.84	112.15	28.196651
2769_169619_000007_000002	Remember the big sales in the twenties?...	Remember the big sales in the twenties?...	false	112.46	114.64	19.506506
