4039_184264_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
4039_184264_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
4039_184264_000002_000000	THE HUNTING OF THE SNARK	THE HUNTING OF THE SNARK
4039_184264_000006_000000	PREFACE	PREFACE
4039_184264_000010_000000	The Bellman, who was almost morbidly sensitive about appearances, used to have the bowsprit unshipped once or twice a week to be revarnished, and it more than once happened, when the time came for replacing it, that no one on board could remember which end of the ship it belonged to.	The Bellman, who was almost morbidly sensitive about appearances, used to have the bowsprit unshipped once or twice a week to be revarnished, and it more than once happened, when the time came for replacing it, that no one on board could remember which end of the ship it belonged to.
4039_184264_000010_000002	The helmsman used to stand by with tears in his eyes; he knew it was all wrong, but alas!	The helmsman used to stand by with tears in his eyes; he knew it was all wrong, but alas!
4039_184264_000010_000003	Rule 42 of the Code, "No one shall speak to the Man at the Helm," had been completed by the Bellman himself with the words "and the Man at the Helm shall speak to no one." So remonstrance was impossible, and no steering could be done till the next varnishing day.	Rule forty two of the Code, "No one shall speak to the Man at the Helm," had been completed by the Bellman himself with the words "and the Man at the Helm shall speak to no one." So remonstrance was impossible, and no steering could be done till the next varnishing day.
4039_184264_000011_000001	Such is Human Perversity.	Such is Human Perversity.
4039_184264_000012_000001	Humpty-Dumpty's theory, of two meanings packed into one word like a portmanteau, seems to me the right explanation for all.	Humpty Dumpty's theory, of two meanings packed into one word like a portmanteau, seems to me the right explanation for all.
4039_184264_000013_000001	Now open your mouth and speak.	Now open your mouth and speak.
4039_184264_000015_000000	"Under which king, Bezonian?	"Under which king, Bezonian?
4039_184264_000015_000001	Speak or die!"	Speak or die!"
4039_184264_000017_000000	Fit the First	Fit the First
4039_184264_000018_000000	THE LANDING	THE LANDING
4039_184264_000020_000000	"Just the place for a Snark!	"Just the place for a Snark!
4039_184264_000020_000001	I have said it twice: That alone should encourage the crew. Just the place for a Snark!	I have said it twice: That alone should encourage the crew. Just the place for a Snark!
4039_184264_000020_000002	I have said it thrice: What I tell you three times is true."	I have said it thrice: What I tell you three times is true."
4039_184264_000021_000000	The crew was complete: it included a Boots-- A maker of Bonnets and Hoods-- A Barrister, brought to arrange their disputes-- And a Broker, to value their goods.	The crew was complete: it included a Boots- A maker of Bonnets and Hoods- A Barrister, brought to arrange their disputes- And a Broker, to value their goods.
4039_184264_000022_000000	A Billiard-marker, whose skill was immense, Might perhaps have won more than his share-- But a Banker, engaged at enormous expense, Had the whole of their cash in his care.	A Billiard marker, whose skill was immense, Might perhaps have won more than his share- But a Banker, engaged at enormous expense, Had the whole of their cash in his care.
4039_184264_000023_000000	There was also a Beaver, that paced on the deck, Or would sit making lace in the bow: And had often (the Bellman said) saved them from wreck, Though none of the sailors knew how.	There was also a Beaver, that paced on the deck, Or would sit making lace in the bow: And had often (the Bellman said) saved them from wreck, Though none of the sailors knew how.
4039_184264_000024_000000	There was one who was famed for the number of things He forgot when he entered the ship: His umbrella, his watch, all his jewels and rings, And the clothes he had bought for the trip.	There was one who was famed for the number of things He forgot when he entered the ship: His umbrella, his watch, all his jewels and rings, And the clothes he had bought for the trip.
4039_184264_000025_000000	He had forty-two boxes, all carefully packed, With his name painted clearly on each: But, since he omitted to mention the fact, They were all left behind on the beach.	He had forty two boxes, all carefully packed, With his name painted clearly on each: But, since he omitted to mention the fact, They were all left behind on the beach.
4039_184264_000027_000000	He would answer to "Hi!" or to any loud cry, Such as "Fry me!" or "Fritter my wig!" To "What-you-may-call-um!" or "What-was-his-name!" But especially "Thing-um-a-jig!"	He would answer to "Hi!" or to any loud cry, Such as "Fry me!" or "Fritter my wig!" To "What you may call um!" or "What was his name!" But especially "Thing um a jig!"
4039_184264_000028_000000	While, for those who preferred a more forcible word, He had different names from these: His intimate friends called him "Candle-ends," And his enemies "Toasted-cheese."	While, for those who preferred a more forcible word, He had different names from these: His intimate friends called him "Candle ends," And his enemies "Toasted cheese."
4039_184264_000029_000000	"His form is ungainly--his intellect small--" (So the Bellman would often remark) "But his courage is perfect!	"His form is ungainly-his intellect small-" (So the Bellman would often remark) "But his courage is perfect!
4039_184264_000029_000001	And that, after all, Is the thing that one needs with a Snark."	And that, after all, Is the thing that one needs with a Snark."
4039_184264_000031_000000	He came as a Baker: but owned, when too late-- And it drove the poor Bellman half-mad-- He could only bake Bridecake--for which, I may state, No materials were to be had.	He came as a Baker: but owned, when too late- And it drove the poor Bellman half mad- He could only bake Bridecake-for which, I may state, No materials were to be had.
4039_184264_000032_000000	The last of the crew needs especial remark, Though he looked an incredible dunce: He had just one idea--but, that one being "Snark," The good Bellman engaged him at once.	The last of the crew needs especial remark, Though he looked an incredible dunce: He had just one idea-but, that one being "Snark," The good Bellman engaged him at once.
4039_184264_000033_000000	He came as a Butcher: but gravely declared, When the ship had been sailing a week, He could only kill Beavers.	He came as a Butcher: but gravely declared, When the ship had been sailing a week, He could only kill Beavers.
4039_184264_000033_000001	The Bellman looked scared, And was almost too frightened to speak:	The Bellman looked scared, And was almost too frightened to speak:
4039_184264_000034_000000	But at length he explained, in a tremulous tone, There was only one Beaver on board; And that was a tame one he had of his own, Whose death would be deeply deplored.	But at length he explained, in a tremulous tone, There was only one Beaver on board; And that was a tame one he had of his own, Whose death would be deeply deplored.
4039_184264_000035_000000	The Beaver, who happened to hear the remark, Protested, with tears in its eyes, That not even the rapture of hunting the Snark Could atone for that dismal surprise!	The Beaver, who happened to hear the remark, Protested, with tears in its eyes, That not even the rapture of hunting the Snark Could atone for that dismal surprise!
4039_184264_000036_000000	It strongly advised that the Butcher should be Conveyed in a separate ship: But the Bellman declared that would never agree With the plans he had made for the trip:	It strongly advised that the Butcher should be Conveyed in a separate ship: But the Bellman declared that would never agree With the plans he had made for the trip:
4039_184264_000037_000000	Navigation was always a difficult art, Though with only one ship and one bell: And he feared he must really decline, for his part, Undertaking another as well.	Navigation was always a difficult art, Though with only one ship and one bell: And he feared he must really decline, for his part, Undertaking another as well.
4039_184264_000038_000000	The Beaver's best course was, no doubt, to procure A second-hand dagger-proof coat-- So the Baker advised it--and next, to insure Its life in some Office of note:	The Beaver's best course was, no doubt, to procure A second-hand dagger proof coat- So the Baker advised it-and next, to insure Its life in some Office of note:
4039_184264_000039_000000	This the Banker suggested, and offered for hire (On moderate terms), or for sale, Two excellent Policies, one Against Fire, And one Against Damage From Hail.	This the Banker suggested, and offered for hire (On moderate terms), or for sale, Two excellent Policies, one Against Fire, And one Against Damage From Hail.
4039_184264_000040_000000	Yet still, ever after that sorrowful day, Whenever the Butcher was by, The Beaver kept looking the opposite way, And appeared unaccountably shy.	Yet still, ever after that sorrowful day, Whenever the Butcher was by, The Beaver kept looking the opposite way, And appeared unaccountably shy.
4039_184264_000041_000000	Fit the Second	Fit the Second
4039_184264_000043_000000	The Bellman himself they all praised to the skies-- Such a carriage, such ease and such grace! Such solemnity, too!	The Bellman himself they all praised to the skies- Such a carriage, such ease and such grace! Such solemnity, too!
4039_184264_000043_000001	One could see he was wise, The moment one looked in his face!	One could see he was wise, The moment one looked in his face!
4039_184264_000044_000000	He had bought a large map representing the sea, Without the least vestige of land: And the crew were much pleased when they found it to be A map they could all understand.	He had bought a large map representing the sea, Without the least vestige of land: And the crew were much pleased when they found it to be A map they could all understand.
4039_184264_000045_000000	"What's the good of Mercator's North Poles and Equators, Tropics, Zones, and Meridian Lines?" So the Bellman would cry: and the crew would reply "They are merely conventional signs!	"What's the good of Mercator's North Poles and Equators, Tropics, Zones, and Meridian Lines?" So the Bellman would cry: and the crew would reply "They are merely conventional signs!
4039_184264_000046_000000	"Other maps are such shapes, with their islands and capes! But we've got our brave Captain to thank:" (So the crew would protest) "that he's bought us the best-- A perfect and absolute blank!"	"Other maps are such shapes, with their islands and capes! But we've got our brave Captain to thank:" (So the crew would protest) "that he's bought us the best- A perfect and absolute blank!"
4039_184264_000047_000000	This was charming, no doubt; but they shortly found out That the Captain they trusted so well Had only one notion for crossing the ocean, And that was to tingle his bell.	This was charming, no doubt; but they shortly found out That the Captain they trusted so well Had only one notion for crossing the ocean, And that was to tingle his bell.
4039_184264_000048_000000	He was thoughtful and grave--but the orders he gave Were enough to bewilder a crew. When he cried "Steer to starboard, but keep her head larboard!" What on earth was the helmsman to do?	He was thoughtful and grave-but the orders he gave Were enough to bewilder a crew. When he cried "Steer to starboard, but keep her head larboard!" What on earth was the helmsman to do?
4039_184264_000049_000000	Then the bowsprit got mixed with the rudder sometimes: A thing, as the Bellman remarked, That frequently happens in tropical climes, When a vessel is, so to speak, "snarked."	Then the bowsprit got mixed with the rudder sometimes: A thing, as the Bellman remarked, That frequently happens in tropical climes, When a vessel is, so to speak, "snarked."
4039_184264_000050_000000	But the principal failing occurred in the sailing, And the Bellman, perplexed and distressed, Said he had hoped, at least, when the wind blew due East, That the ship would not travel due West!	But the principal failing occurred in the sailing, And the Bellman, perplexed and distressed, Said he had hoped, at least, when the wind blew due East, That the ship would not travel due West!
4039_184264_000052_000000	The Bellman perceived that their spirits were low, And repeated in musical tone Some jokes he had kept for a season of woe-- But the crew would do nothing but groan.	The Bellman perceived that their spirits were low, And repeated in musical tone Some jokes he had kept for a season of woe- But the crew would do nothing but groan.
4039_184264_000053_000000	He served out some grog with a liberal hand, And bade them sit down on the beach: And they could not but own that their Captain looked grand, As he stood and delivered his speech.	He served out some grog with a liberal hand, And bade them sit down on the beach: And they could not but own that their Captain looked grand, As he stood and delivered his speech.
4039_184264_000055_000000	"We have sailed many months, we have sailed many weeks, (Four weeks to the month you may mark), But never as yet ('tis your Captain who speaks) Have we caught the least glimpse of a Snark!	"We have sailed many months, we have sailed many weeks, (Four weeks to the month you may mark), But never as yet ('tis your Captain who speaks) Have we caught the least glimpse of a Snark!
4039_184264_000056_000000	"We have sailed many weeks, we have sailed many days, (Seven days to the week I allow), But a Snark, on the which we might lovingly gaze, We have never beheld till now!	"We have sailed many weeks, we have sailed many days, (Seven days to the week I allow), But a Snark, on the which we might lovingly gaze, We have never beheld till now!
4039_184264_000057_000000	"Come, listen, my men, while I tell you again The five unmistakable marks By which you may know, wheresoever you go, The warranted genuine Snarks.	"Come, listen, my men, while I tell you again The five unmistakable marks By which you may know, wheresoever you go, The warranted genuine Snarks.
4039_184264_000058_000000	"Let us take them in order.	"Let us take them in order.
4039_184264_000058_000001	The first is the taste, Which is meagre and hollow, but crisp: Like a coat that is rather too tight in the waist, With a flavour of Will-o'-the-wisp.	The first is the taste, Which is meagre and hollow, but crisp: Like a coat that is rather too tight in the waist, With a flavour of Will o'-the wisp.
4039_184264_000059_000000	"Its habit of getting up late you'll agree That it carries too far, when I say That it frequently breakfasts at five-o'clock tea, And dines on the following day.	"Its habit of getting up late you'll agree That it carries too far, when I say That it frequently breakfasts at five o'clock tea, And dines on the following day.
4039_184264_000060_000000	"The third is its slowness in taking a jest. Should you happen to venture on one, It will sigh like a thing that is deeply distressed: And it always looks grave at a pun.	"The third is its slowness in taking a jest. Should you happen to venture on one, It will sigh like a thing that is deeply distressed: And it always looks grave at a pun.
4039_184264_000063_000000	"For, although common Snarks do no manner of harm, Yet, I feel it my duty to say, Some are Boojums--"	"For, although common Snarks do no manner of harm, Yet, I feel it my duty to say, Some are Boojums-"
