5717_61421_000003_000000	CHAPTER XV.	CHAPTER fifteen.
5717_61421_000003_000001	AFTER THE STORM	AFTER THE STORM
5717_61421_000004_000000	The young husband's apologies were profuse and abject.	The young husband's apologies were profuse and abject.
5717_61421_000005_000000	At first Billy did not speak, or even vouchsafe a glance in his direction.	At first Billy did not speak, or even vouchsafe a glance in his direction.
5717_61421_000005_000002	But that her ears were only seemingly, and not really deaf, was shown very clearly a little later, when, at a particularly abject wail on the part of the babbling shadow at her heels, Billy choked into a little gasp, half laughter, half sob.	But that her ears were only seemingly, and not really deaf, was shown very clearly a little later, when, at a particularly abject wail on the part of the babbling shadow at her heels, Billy choked into a little gasp, half laughter, half sob.
5717_61421_000005_000003	It was all over then.	It was all over then.
5717_61421_000005_000004	Bertram had her in his arms in a twinkling, while to the floor clattered and rolled a knife and a half-peeled baked potato.	Bertram had her in his arms in a twinkling, while to the floor clattered and rolled a knife and a half peeled baked potato.
5717_61421_000006_000000	Naturally, after that, there could be no more dignified silences on the part of the injured wife.	Naturally, after that, there could be no more dignified silences on the part of the injured wife.
5717_61421_000007_000000	Torn between his craving for food and his desire not to interfere with any possible peace-making, William was obviously hesitating what to do, when Billy glanced up and saw him.	Torn between his craving for food and his desire not to interfere with any possible peace making, William was obviously hesitating what to do, when Billy glanced up and saw him.
5717_61421_000007_000001	She saw, too, at the same time, the empty, blazing gas-stove burner, and the pile of half-prepared potatoes, to warm which the burner had long since been lighted.	She saw, too, at the same time, the empty, blazing gas stove burner, and the pile of half prepared potatoes, to warm which the burner had long since been lighted.
5717_61421_000007_000002	With a little cry she broke away from her husband's arms.	With a little cry she broke away from her husband's arms.
5717_61421_000009_000000	They all got dinner then, together, with many a sigh and quick-coming tear as everywhere they met some sad reminder of the gentle old hands that would never again minister to their comfort.	They all got dinner then, together, with many a sigh and quick coming tear as everywhere they met some sad reminder of the gentle old hands that would never again minister to their comfort.
5717_61421_000010_000000	It was a silent meal, and little, after all, was eaten, though brave attempts at cheerfulness and naturalness were made by all three. Bertram, especially, talked, and tried to make sure that the shadow on Billy's face was at least not the one his own conduct had brought there.	It was a silent meal, and little, after all, was eaten, though brave attempts at cheerfulness and naturalness were made by all three. Bertram, especially, talked, and tried to make sure that the shadow on Billy's face was at least not the one his own conduct had brought there.
5717_61421_000011_000000	"For you do--you surely do forgive me, don't you?" he begged, as he followed her into the kitchen after the sorry meal was over.	"For you do-you surely do forgive me, don't you?" he begged, as he followed her into the kitchen after the sorry meal was over.
5717_61421_000012_000000	"Why, yes, dear, yes," sighed Billy, trying to smile.	"Why, yes, dear, yes," sighed Billy, trying to smile.
5717_61421_000013_000000	"And you'll forget?"	"And you'll forget?"
5717_61421_000014_000000	There was no answer.	There was no answer.
5717_61421_000015_000000	"Billy!	"Billy!
5717_61421_000015_000001	And you'll forget?" Bertram's voice was insistent, reproachful.	And you'll forget?" Bertram's voice was insistent, reproachful.
5717_61421_000016_000000	Billy changed color and bit her lip.	Billy changed color and bit her lip.
5717_61421_000016_000001	She looked plainly distressed.	She looked plainly distressed.
5717_61421_000017_000000	"Billy!" cried the man, still more reproachfully.	"Billy!" cried the man, still more reproachfully.
5717_61421_000018_000000	"But, Bertram, I can't forget--quite yet," faltered Billy.	"But, Bertram, I can't forget-quite yet," faltered Billy.
5717_61421_000019_000000	Bertram frowned.	Bertram frowned.
5717_61421_000020_000001	So, there!" he finished, with a smilingly determined "now-everything-is-just-as-it-was-before" air.	So, there!" he finished, with a smilingly determined "now everything is just as it was before" air.
5717_61421_000021_000000	Billy made no response.	Billy made no response.
5717_61421_000021_000001	She turned hurriedly and began to busy herself with the dishes at the sink.	She turned hurriedly and began to busy herself with the dishes at the sink.
5717_61421_000021_000002	In her heart she was wondering: could she ever forget what Bertram had said?	In her heart she was wondering: could she ever forget what Bertram had said?
5717_61421_000021_000004	It seemed now that always, for evermore, they would ring in her ears; always, for evermore, they would burn deeper and deeper into her soul.	It seemed now that always, for evermore, they would ring in her ears; always, for evermore, they would burn deeper and deeper into her soul.
5717_61421_000021_000005	And not once, in all Bertram's apologies, had he referred to them--those words he had uttered.	And not once, in all Bertram's apologies, had he referred to them-those words he had uttered.
