2401_144485_000003_000000	CHAPTER 36.	CHAPTER thirty six.
2401_144485_000004_000000	I began the next day with another dive into the Roman bath, and then started for Highgate.	I began the next day with another dive into the Roman bath, and then started for Highgate.
2401_144485_000004_000001	I was not dispirited now.	I was not dispirited now.
2401_144485_000004_000002	I was not afraid of the shabby coat, and had no yearnings after gallant greys.	I was not afraid of the shabby coat, and had no yearnings after gallant greys.
2401_144485_000004_000003	My whole manner of thinking of our late misfortune was changed.	My whole manner of thinking of our late misfortune was changed.
2401_144485_000004_000004	What I had to do, was, to show my aunt that her past goodness to me had not been thrown away on an insensible, ungrateful object.	What I had to do, was, to show my aunt that her past goodness to me had not been thrown away on an insensible, ungrateful object.
2401_144485_000004_000007	And I went on at a mighty rate, as if it could be done by walking.	And I went on at a mighty rate, as if it could be done by walking.
2401_144485_000005_000000	When I found myself on the familiar Highgate road, pursuing such a different errand from that old one of pleasure, with which it was associated, it seemed as if a complete change had come on my whole life. But that did not discourage me.	When I found myself on the familiar Highgate road, pursuing such a different errand from that old one of pleasure, with which it was associated, it seemed as if a complete change had come on my whole life. But that did not discourage me.
2401_144485_000005_000001	With the new life, came new purpose, new intention.	With the new life, came new purpose, new intention.
2401_144485_000005_000002	Great was the labour; priceless the reward.	Great was the labour; priceless the reward.
2401_144485_000005_000003	Dora was the reward, and Dora must be won.	Dora was the reward, and Dora must be won.
2401_144485_000006_000000	I got into such a transport, that I felt quite sorry my coat was not a little shabby already.	I got into such a transport, that I felt quite sorry my coat was not a little shabby already.
2401_144485_000006_000001	I wanted to be cutting at those trees in the forest of difficulty, under circumstances that should prove my strength. I had a good mind to ask an old man, in wire spectacles, who was breaking stones upon the road, to lend me his hammer for a little while, and let me begin to beat a path to Dora out of granite.	I wanted to be cutting at those trees in the forest of difficulty, under circumstances that should prove my strength. I had a good mind to ask an old man, in wire spectacles, who was breaking stones upon the road, to lend me his hammer for a little while, and let me begin to beat a path to Dora out of granite.
2401_144485_000006_000002	I stimulated myself into such a heat, and got so out of breath, that I felt as if I had been earning I don't know how much.	I stimulated myself into such a heat, and got so out of breath, that I felt as if I had been earning I don't know how much.
2401_144485_000007_000002	I came out again, hotter and faster than ever, and dashed up to Highgate, at such a rate that I was there an hour too early; and, though I had not been, should have been obliged to stroll about to cool myself, before I was at all presentable.	I came out again, hotter and faster than ever, and dashed up to Highgate, at such a rate that I was there an hour too early; and, though I had not been, should have been obliged to stroll about to cool myself, before I was at all presentable.
2401_144485_000008_000000	My first care, after putting myself under this necessary course of preparation, was to find the Doctor's house.	My first care, after putting myself under this necessary course of preparation, was to find the Doctor's house.
2401_144485_000008_000001	It was not in that part of Highgate where Mrs. Steerforth lived, but quite on the opposite side of the little town.	It was not in that part of Highgate where mrs Steerforth lived, but quite on the opposite side of the little town.
2401_144485_000008_000002	When I had made this discovery, I went back, in an attraction I could not resist, to a lane by Mrs. Steerforth's, and looked over the corner of the garden wall.	When I had made this discovery, I went back, in an attraction I could not resist, to a lane by mrs Steerforth's, and looked over the corner of the garden wall.
2401_144485_000008_000003	His room was shut up close. The conservatory doors were standing open, and Rosa Dartle was walking, bareheaded, with a quick, impetuous step, up and down a gravel walk on one side of the lawn.	His room was shut up close. The conservatory doors were standing open, and Rosa Dartle was walking, bareheaded, with a quick, impetuous step, up and down a gravel walk on one side of the lawn.
2401_144485_000008_000004	She gave me the idea of some fierce thing, that was dragging the length of its chain to and fro upon a beaten track, and wearing its heart out.	She gave me the idea of some fierce thing, that was dragging the length of its chain to and fro upon a beaten track, and wearing its heart out.
2401_144485_000009_000000	I came softly away from my place of observation, and avoiding that part of the neighbourhood, and wishing I had not gone near it, strolled about until it was ten o'clock.	I came softly away from my place of observation, and avoiding that part of the neighbourhood, and wishing I had not gone near it, strolled about until it was ten o'clock.
2401_144485_000009_000001	The church with the slender spire, that stands on the top of the hill now, was not there then to tell me the time.	The church with the slender spire, that stands on the top of the hill now, was not there then to tell me the time.
2401_144485_000009_000002	An old red-brick mansion, used as a school, was in its place; and a fine old house it must have been to go to school at, as I recollect it.	An old red brick mansion, used as a school, was in its place; and a fine old house it must have been to go to school at, as I recollect it.
2401_144485_000010_000000	When I approached the Doctor's cottage--a pretty old place, on which he seemed to have expended some money, if I might judge from the embellishments and repairs that had the look of being just completed--I saw him walking in the garden at the side, gaiters and all, as if he had never left off walking since the days of my pupilage.	When I approached the Doctor's cottage-a pretty old place, on which he seemed to have expended some money, if I might judge from the embellishments and repairs that had the look of being just completed-I saw him walking in the garden at the side, gaiters and all, as if he had never left off walking since the days of my pupilage.
2401_144485_000010_000001	He had his old companions about him, too; for there were plenty of high trees in the neighbourhood, and two or three rooks were on the grass, looking after him, as if they had been written to about him by the Canterbury rooks, and were observing him closely in consequence.	He had his old companions about him, too; for there were plenty of high trees in the neighbourhood, and two or three rooks were on the grass, looking after him, as if they had been written to about him by the Canterbury rooks, and were observing him closely in consequence.
2401_144485_000011_000000	Knowing the utter hopelessness of attracting his attention from that distance, I made bold to open the gate, and walk after him, so as to meet him when he should turn round.	Knowing the utter hopelessness of attracting his attention from that distance, I made bold to open the gate, and walk after him, so as to meet him when he should turn round.
2401_144485_000011_000001	When he did, and came towards me, he looked at me thoughtfully for a few moments, evidently without thinking about me at all; and then his benevolent face expressed extraordinary pleasure, and he took me by both hands.	When he did, and came towards me, he looked at me thoughtfully for a few moments, evidently without thinking about me at all; and then his benevolent face expressed extraordinary pleasure, and he took me by both hands.
2401_144485_000012_000001	How do you do?	How do you do?
2401_144485_000012_000002	I am delighted to see you.	I am delighted to see you.
2401_144485_000012_000003	My dear Copperfield, how very much you have improved!	My dear Copperfield, how very much you have improved!
2401_144485_000012_000004	You are quite--yes--dear me!'	You are quite-yes-dear me!'
2401_144485_000014_000000	'Oh dear, yes!' said the Doctor; 'Annie's quite well, and she'll be delighted to see you.	'Oh dear, yes!' said the Doctor; 'Annie's quite well, and she'll be delighted to see you.
2401_144485_000014_000001	You were always her favourite.	You were always her favourite.
2401_144485_000014_000002	She said so, last night, when I showed her your letter.	She said so, last night, when I showed her your letter.
2401_144485_000014_000003	And--yes, to be sure--you recollect Mr. Jack Maldon, Copperfield?'	And-yes, to be sure-you recollect mr Jack Maldon, Copperfield?'
2401_144485_000015_000000	'Perfectly, sir.'	'Perfectly, sir.'
