4734_220952_000001_000000	4: ABRAHAM	four: ABRAHAM
4734_220952_000002_000001	He opposed His own nation and people, and even His own family, by rejecting all their gods.	He opposed His own nation and people, and even His own family, by rejecting all their gods.
4734_220952_000002_000002	Alone and without help He resisted a powerful tribe, a task which is neither simple nor easy.	Alone and without help He resisted a powerful tribe, a task which is neither simple nor easy.
4734_220952_000003_000000	These people believed not in one God but in many gods, to whom they ascribed miracles; therefore, they all arose against Him, and no one supported Him except Lot, His brother's son, and one or two other people of no importance.	These people believed not in one God but in many gods, to whom they ascribed miracles; therefore, they all arose against Him, and no one supported Him except Lot, His brother's son, and one or two other people of no importance.
4734_220952_000003_000002	In reality they banished Him in order that He might be crushed and destroyed, and that no trace of Him might be left.	In reality they banished Him in order that He might be crushed and destroyed, and that no trace of Him might be left.
4734_220952_000004_000003	As a result the teachings of Abraham were spread abroad, a Jacob appeared among His posterity, and a Joseph who became ruler in Egypt.	As a result the teachings of Abraham were spread abroad, a Jacob appeared among His posterity, and a Joseph who became ruler in Egypt.
4734_220952_000004_000004	In consequence of His exile a Moses and a being like Christ were manifested from His posterity, and Hagar was found from whom Ishmael was born, one of whose descendants was Muhammad.	In consequence of His exile a Moses and a being like Christ were manifested from His posterity, and Hagar was found from whom Ishmael was born, one of whose descendants was Muhammad.
4734_220952_000004_000006	And so it will continue for ever and ever.	And so it will continue for ever and ever.
4734_220952_000004_000008	See what a power it is that enabled a Man Who was a fugitive from His country to found such a family, to establish such a faith, and to promulgate such teachings.	See what a power it is that enabled a Man Who was a fugitive from His country to found such a family, to establish such a faith, and to promulgate such teachings.
4734_220952_000004_000010	We must be just: was this Man an Educator or not?	We must be just: was this Man an Educator or not?
4734_220952_000007_000000	5: MOSES	five: MOSES
4734_220952_000008_000000	Moses was for a long time a shepherd in the wilderness.	Moses was for a long time a shepherd in the wilderness.
4734_220952_000009_000000	It was such a Man as this that freed a great nation from the chains of captivity, made them contented, brought them out from Egypt, and led them to the Holy Land.	It was such a Man as this that freed a great nation from the chains of captivity, made them contented, brought them out from Egypt, and led them to the Holy Land.
4734_220952_000010_000000	This people from the depths of degradation were lifted up to the height of glory.	This people from the depths of degradation were lifted up to the height of glory.
4734_220952_000010_000001	They were captive; they became free.	They were captive; they became free.
4734_220952_000010_000002	They were the most ignorant of peoples; they became the most wise.	They were the most ignorant of peoples; they became the most wise.
4734_220952_000011_000002	Later the people of Greece rose in opposition to him, accused him of impiety, arraigned him before the Areopagus, and condemned him to death by poison.	Later the people of Greece rose in opposition to him, accused him of impiety, arraigned him before the Areopagus, and condemned him to death by poison.
4734_220952_000012_000000	Now, how could a Man Who was a stammerer, Who had been brought up in the house of Pharaoh, Who was known among men as a murderer, Who through fear had for a long time remained in concealment, and Who had become a shepherd, establish so great a Cause, when the wisest philosophers on earth have not displayed one thousandth part of this influence?	Now, how could a Man Who was a stammerer, Who had been brought up in the house of Pharaoh, Who was known among men as a murderer, Who through fear had for a long time remained in concealment, and Who had become a shepherd, establish so great a Cause, when the wisest philosophers on earth have not displayed one thousandth part of this influence?
4734_220952_000012_000001	This is indeed a prodigy.	This is indeed a prodigy.
4734_220952_000013_000000	A Man Who had a stammering tongue, Who could not even converse correctly, succeeded in sustaining this great Cause!	A Man Who had a stammering tongue, Who could not even converse correctly, succeeded in sustaining this great Cause!
