8591_284445_000000_000000	[Illustration]	[Illustration]	false	8.4	9.12	22.23601
8591_284445_000001_000000	[Illustration]	[Illustration]	false	9.12	9.81	15.164105
8591_284445_000002_000000	TROT'S INVISIBLE ADVENTURE	TROT'S INVISIBLE ADVENTURE	false	9.81	19.65	23.90309
8591_284445_000003_000000	CHAPTER 22.	CHAPTER twenty two.	false	19.65	24.48	21.303583
8591_284445_000004_000000	All the Blueskins except a few sentries had gone to bed and were sound asleep.	All the Blueskins except a few sentries had gone to bed and were sound asleep.	true	24.48	28.96	21.142893
8591_284445_000004_000001	A blue gloom hung over the City, which was scarcely relieved by a few bluish, wavering lights here and there, but Trot knew the general direction in which the palace lay and she decided to go there first.	A blue gloom hung over the City, which was scarcely relieved by a few bluish, wavering lights here and there, but Trot knew the general direction in which the palace lay and she decided to go there first.	true	28.97	41.2	21.619776
8591_284445_000004_000002	She believed the Boolooroo would surely keep so important a prisoner as Cap'n Bill locked up in his own palace.	She believed the Boolooroo would surely keep so important a prisoner as Cap'n Bill locked up in his own palace.	false	41.39	47.68	20
8591_284445_000005_000000	Once or twice the little girl lost her way, for the streets were very puzzling to one not accustomed to them, but finally she sighted the great palace and went up to the entrance.	Once or twice the little girl lost her way, for the streets were very puzzling to one not accustomed to them, but finally she sighted the great palace and went up to the entrance.	true	48.86	59.05	22.27782
8591_284445_000005_000001	There she found a double guard posted.	There she found a double guard posted.	true	59.36	61.81	22.762041
8591_284445_000005_000002	They were sitting on a bench outside the doorway and both stood up as she approached.	They were sitting on a bench outside the doorway and both stood up as she approached.	true	61.82	66.73	24.10203
8591_284445_000006_000000	"We thought we heard footsteps," said one.	"We thought we heard footsteps," said one.	true	67.16	69.43	22.035328
8591_284445_000007_000000	"So did we," replied the other; "yet there is no one in sight."	"So did we," replied the other; "yet there is no one in sight."	false	69.59	72.79	21.04239
8591_284445_000008_000000	Trot then saw that the guards were the two patched men, Jimfred Jonesjinks and Fredjim Jinksjones, who had been talking together quite cheerfully.	Trot then saw that the guards were the two patched men, Jimfred Jonesjinks and Fredjim Jinksjones, who had been talking together quite cheerfully.	false	73.61	82.96	22.411564
8591_284445_000008_000001	It was the first time the girl had seen them together and she marveled at the queer patching that had so strongly united them, yet so thoroughly separated them.	It was the first time the girl had seen them together and she marveled at the queer patching that had so strongly united them, yet so thoroughly separated them.	true	83.36	92.59	21.935137
8591_284445_000009_000000	"You see," remarked Jimfred, as they seated themselves again upon the bench, "the Boolooroo has ordered the patching to take place to-morrow morning after breakfast.	"You see," remarked Jimfred, as they seated themselves again upon the bench, "the Boolooroo has ordered the patching to take place to morrow morning after breakfast.	true	93.26	102.28	23.105253
8591_284445_000009_000001	The old Earth man is to be patched to poor Tiggle, instead of Ghip-Ghisizzle, who has in some way managed to escape from the Room of the Great Knife--no one knows how but Tiggle, and Tiggle won't tell."	The old Earth man is to be patched to poor Tiggle, instead of g h i p Ghisizzle, who has in some way managed to escape from the Room of the Great Knife-no one knows how but Tiggle, and Tiggle won't tell."	false	102.5	114.25	22.416922
8591_284445_000010_000000	"We're sorry for anyone who has to be patched," replied Fredjim in a reflective tone, "for although it didn't hurt us as much as we expected, it's a terrible mix-up to be in--until we become used to our strange combination.	"We're sorry for anyone who has to be patched," replied Fredjim in a reflective tone, "for although it didn't hurt us as much as we expected, it's a terrible mix up to be in-until we become used to our strange combination.	true	115.19	128.65	23.666538
8591_284445_000010_000001	You and we are about alike now, Jimfred, although we were so different before."	You and we are about alike now, Jimfred, although we were so different before."	true	129.2	134.05	22.414389
8591_284445_000011_000000	"Not so," said Jimfred; "we are really more intelligent than you are, for the left side of our brain was always the keenest before we were patched."	"Not so," said Jimfred; "we are really more intelligent than you are, for the left side of our brain was always the keenest before we were patched."	true	134.78	143.23	23.143585
8591_284445_000012_000000	"That may be," admitted Fredjim, "but we are much the strongest, because our right arm was by far the best before we were patched."	"That may be," admitted Fredjim, "but we are much the strongest, because our right arm was by far the best before we were patched."	true	143.78	151.75	22.250195
8591_284445_000013_000000	"We are not sure of that," responded Jimfred, "for we have a right arm, too, and it is pretty strong."	"We are not sure of that," responded Jimfred, "for we have a right arm, too, and it is pretty strong."	true	152.18	157.81	24.90625
8591_284445_000014_000000	"We will test it," suggested the other, "by all pulling upon one end of this bench with our right arms.	"We will test it," suggested the other, "by all pulling upon one end of this bench with our right arms.	true	158.09	163.93	23.32872
8591_284445_000014_000001	Whichever can pull the bench from the others must be the stronger."	Whichever can pull the bench from the others must be the stronger."	false	164.06	168.72	21.670128
8591_284445_000015_000000	While they were tussling at the bench, dragging it first here and then there in the trial of strength, Trot opened the door of the palace and walked in.	While they were tussling at the bench, dragging it first here and then there in the trial of strength, Trot opened the door of the palace and walked in.	true	168.72	177.1	23.311739
8591_284445_000015_000001	It was pretty dark in the hall and only a few dim blue lights showed at intervals down the long corridors.	It was pretty dark in the hall and only a few dim blue lights showed at intervals down the long corridors.	true	177.47	183.97	21
8591_284445_000015_000002	As the girl walked through these passages she could hear snores of various degrees coming from behind some of the closed doors and knew that all the regular inmates of the place were sound asleep.	As the girl walked through these passages she could hear snores of various degrees coming from behind some of the closed doors and knew that all the regular inmates of the place were sound asleep.	true	184.43	196.06	22.564077
8591_284445_000015_000003	So she mounted to the upper floor, and thinking she would be likely to find Cap'n Bill in the Room of the Great Knife she went there and tried the door.	So she mounted to the upper floor, and thinking she would be likely to find Cap'n Bill in the Room of the Great Knife she went there and tried the door.	true	196.28	205.66	23.157816
8591_284445_000015_000004	It was locked, but the key had been left on the outside.	It was locked, but the key had been left on the outside.	true	206.03	209.59	25.291935
8591_284445_000015_000005	She waited until the sentry who was pacing the corridor had his back toward her and then she turned the key and slipped within, softly closing the door behind her.	She waited until the sentry who was pacing the corridor had his back toward her and then she turned the key and slipped within, softly closing the door behind her.	true	209.84	219.88	24.158615
8591_284445_000016_000000	It was dark as pitch in the room and Trot didn't know how to make a light.	It was dark as pitch in the room and Trot didn't know how to make a light.	false	220.7	225.1	23.59081
8591_284445_000016_000001	After a moment's thought she began feeling her way to the window, stumbling over objects as she went.	After a moment's thought she began feeling her way to the window, stumbling over objects as she went.	true	225.38	231.46	22.56471
8591_284445_000016_000002	Every time she made a noise some one groaned, and that made the child uneasy.	Every time she made a noise some one groaned, and that made the child uneasy.	true	231.8	236.56	22.383032
8591_284445_000017_000000	At last she found a window and managed to open the shutters and let the moonlight in.	At last she found a window and managed to open the shutters and let the moonlight in.	true	237.59	242.26	20.923765
8591_284445_000017_000001	It wasn't a very strong moonlight but it enabled her to examine the interior of the room.	It wasn't a very strong moonlight but it enabled her to examine the interior of the room.	false	242.69	248.2	21.393421
8591_284445_000017_000002	In the center stood the Great Knife which the Boolooroo used to split people in two when he patched them, and at one side was a dark form huddled upon the floor and securely bound.	In the center stood the Great Knife which the Boolooroo used to split people in two when he patched them, and at one side was a dark form huddled upon the floor and securely bound.	true	248.66	259.75	23.614109
8591_284445_000018_000000	Trot hastened to this form and knelt beside it, but was disappointed to find it was only Tiggle.	Trot hastened to this form and knelt beside it, but was disappointed to find it was only Tiggle.	true	260.39	265.48	23.131647
8591_284445_000018_000001	The man stirred a little and rolled against Trot's knee, when she at once became visible to him.	The man stirred a little and rolled against Trot's knee, when she at once became visible to him.	false	266.09	271.6	23.505407
8591_284445_000019_000000	"Oh, it's the Earth Child," said he.	"Oh, it's the Earth Child," said he.	true	272.45	274.96	23.695707
8591_284445_000019_000001	"Are you condemned to be patched, too, little one?"	"Are you condemned to be patched, too, little one?"	true	275.18	277.78	24.678354
8591_284445_000020_000000	"No," answered Trot.	"No," answered Trot.	true	278.27	279.55	22.598616
8591_284445_000020_000001	"Tell me where Cap'n Bill is."	"Tell me where Cap'n Bill is."	true	279.65	281.2	24.901644
8591_284445_000021_000000	"I can't," said Tiggle.	"I can't," said Tiggle.	true	281.87	283.42	23.377731
8591_284445_000021_000001	"The Boolooroo has hidden him until to-morrow morning, when he's to be patched to me.	"The Boolooroo has hidden him until to morrow morning, when he's to be patched to me.	true	283.64	288.06	20.257936
8591_284445_000021_000002	Ghip-Ghisizzle was to have been my mate, but Ghip escaped, being carried away by the Six Snubnosed Princesses."	g h i p Ghisizzle was to have been my mate, but g h i p escaped, being carried away by the Six Snubnosed Princesses."	false	288.06	294.91	22.825787
