8591_284445_000004_000000	All the Blueskins except a few sentries had gone to bed and were sound asleep.	All the Blueskins except a few sentries had gone to bed and were sound asleep.
8591_284445_000004_000001	A blue gloom hung over the City, which was scarcely relieved by a few bluish, wavering lights here and there, but Trot knew the general direction in which the palace lay and she decided to go there first.	A blue gloom hung over the City, which was scarcely relieved by a few bluish, wavering lights here and there, but Trot knew the general direction in which the palace lay and she decided to go there first.
8591_284445_000005_000000	Once or twice the little girl lost her way, for the streets were very puzzling to one not accustomed to them, but finally she sighted the great palace and went up to the entrance.	Once or twice the little girl lost her way, for the streets were very puzzling to one not accustomed to them, but finally she sighted the great palace and went up to the entrance.
8591_284445_000005_000001	There she found a double guard posted.	There she found a double guard posted.
8591_284445_000005_000002	They were sitting on a bench outside the doorway and both stood up as she approached.	They were sitting on a bench outside the doorway and both stood up as she approached.
8591_284445_000006_000000	"We thought we heard footsteps," said one.	"We thought we heard footsteps," said one.
8591_284445_000008_000001	It was the first time the girl had seen them together and she marveled at the queer patching that had so strongly united them, yet so thoroughly separated them.	It was the first time the girl had seen them together and she marveled at the queer patching that had so strongly united them, yet so thoroughly separated them.
8591_284445_000009_000000	"You see," remarked Jimfred, as they seated themselves again upon the bench, "the Boolooroo has ordered the patching to take place to-morrow morning after breakfast.	"You see," remarked Jimfred, as they seated themselves again upon the bench, "the Boolooroo has ordered the patching to take place to morrow morning after breakfast.
8591_284445_000010_000000	"We're sorry for anyone who has to be patched," replied Fredjim in a reflective tone, "for although it didn't hurt us as much as we expected, it's a terrible mix-up to be in--until we become used to our strange combination.	"We're sorry for anyone who has to be patched," replied Fredjim in a reflective tone, "for although it didn't hurt us as much as we expected, it's a terrible mix up to be in-until we become used to our strange combination.
8591_284445_000010_000001	You and we are about alike now, Jimfred, although we were so different before."	You and we are about alike now, Jimfred, although we were so different before."
8591_284445_000011_000000	"Not so," said Jimfred; "we are really more intelligent than you are, for the left side of our brain was always the keenest before we were patched."	"Not so," said Jimfred; "we are really more intelligent than you are, for the left side of our brain was always the keenest before we were patched."
8591_284445_000012_000000	"That may be," admitted Fredjim, "but we are much the strongest, because our right arm was by far the best before we were patched."	"That may be," admitted Fredjim, "but we are much the strongest, because our right arm was by far the best before we were patched."
8591_284445_000013_000000	"We are not sure of that," responded Jimfred, "for we have a right arm, too, and it is pretty strong."	"We are not sure of that," responded Jimfred, "for we have a right arm, too, and it is pretty strong."
8591_284445_000014_000000	"We will test it," suggested the other, "by all pulling upon one end of this bench with our right arms.	"We will test it," suggested the other, "by all pulling upon one end of this bench with our right arms.
