1343_139681_000000_000000	CHAPTER VII--ENGLAND UNDER HAROLD THE SECOND, AND CONQUERED BY THE NORMANS	CHAPTER seven-ENGLAND UNDER HAROLD THE SECOND, AND CONQUERED BY THE NORMANS	false	4.02	30.76	19.942
1343_139681_000001_000000	Harold was crowned King of England on the very day of the maudlin Confessor's funeral.	Harold was crowned King of England on the very day of the maudlin Confessor's funeral.	true	31.85	36.82	16
1343_139681_000001_000001	He had good need to be quick about it.	He had good need to be quick about it.	true	37.34	39.34	19
1343_139681_000001_000002	When the news reached Norman William, hunting in his park at Rouen, he dropped his bow, returned to his palace, called his nobles to council, and presently sent ambassadors to Harold, calling on him to keep his oath and resign the Crown.	When the news reached Norman William, hunting in his park at Rouen, he dropped his bow, returned to his palace, called his nobles to council, and presently sent ambassadors to Harold, calling on him to keep his oath and resign the Crown.	true	39.98	55.99	20.74118
1343_139681_000001_000003	Harold would do no such thing.	Harold would do no such thing.	true	56.69	58.78	19
1343_139681_000001_000004	The barons of France leagued together round Duke William for the invasion of England.	The barons of France leagued together round Duke William for the invasion of England.	true	59.39	64.21	16
1343_139681_000001_000005	Duke William promised freely to distribute English wealth and English lands among them.	Duke William promised freely to distribute English wealth and English lands among them.	true	64.73	70.21	16
1343_139681_000001_000006	The Pope sent to Normandy a consecrated banner, and a ring containing a hair which he warranted to have grown on the head of Saint Peter.	The Pope sent to Normandy a consecrated banner, and a ring containing a hair which he warranted to have grown on the head of Saint peter.	true	70.76	80.23	20
1343_139681_000001_000007	He blessed the enterprise; and cursed Harold; and requested that the Normans would pay 'Peter's Pence'--or a tax to himself of a penny a year on every house--a little more regularly in future, if they could make it convenient.	He blessed the enterprise; and cursed Harold; and requested that the Normans would pay 'Peter's Pence'--or a tax to himself of a penny a year on every house-a little more regularly in future, if they could make it convenient.	true	81.05	96.43	21
1343_139681_000002_000000	King Harold had a rebel brother in Flanders, who was a vassal of HAROLD HARDRADA, King of Norway.	King Harold had a rebel brother in Flanders, who was a vassal of HAROLD h a r d r a d a, King of Norway.	false	98.03	104.41	19
1343_139681_000002_000001	This brother, and this Norwegian King, joining their forces against England, with Duke William's help, won a fight in which the English were commanded by two nobles; and then besieged York. Harold, who was waiting for the Normans on the coast at Hastings, with his army, marched to Stamford Bridge upon the river Derwent to give them instant battle.	This brother, and this Norwegian King, joining their forces against England, with Duke William's help, won a fight in which the English were commanded by two nobles; and then besieged York. Harold, who was waiting for the Normans on the coast at Hastings, with his army, marched to Stamford Bridge upon the river Derwent to give them instant battle.	true	105.05	128.8	20.87337
1343_139681_000003_000000	He found them drawn up in a hollow circle, marked out by their shining spears.	He found them drawn up in a hollow circle, marked out by their shining spears.	true	129.68	134.8	22
1343_139681_000003_000001	Riding round this circle at a distance, to survey it, he saw a brave figure on horseback, in a blue mantle and a bright helmet, whose horse suddenly stumbled and threw him.	Riding round this circle at a distance, to survey it, he saw a brave figure on horseback, in a blue mantle and a bright helmet, whose horse suddenly stumbled and threw him.	true	135.5	146.95	21.050661
1343_139681_000004_000000	'Who is that man who has fallen?' Harold asked of one of his captains.	'Who is that man who has fallen?' Harold asked of one of his captains.	true	147.77	152.89	22.252449
1343_139681_000005_000000	'The King of Norway,' he replied.	'The King of Norway,' he replied.	true	153.59	155.65	21.017942
1343_139681_000006_000000	'He is a tall and stately king,' said Harold, 'but his end is near.'	'He is a tall and stately king,' said Harold, 'but his end is near.'	true	156.47	161.47	20.311897
1343_139681_000007_000000	He added, in a little while, 'Go yonder to my brother, and tell him, if he withdraw his troops, he shall be Earl of Northumberland, and rich and powerful in England.'	He added, in a little while, 'Go yonder to my brother, and tell him, if he withdraw his troops, he shall be Earl of Northumberland, and rich and powerful in England.'	true	163.37	174.46	20.843077
1343_139681_000008_000000	The captain rode away and gave the message.	The captain rode away and gave the message.	true	175.25	177.88	18
