4110_11535_000002_000000	CHAPTER XXI	CHAPTER twenty one
4110_11535_000004_000001	Compared to the oncoming flames from Mars, the preceding display of lights had been as nothing. The whole Heavens between the Earth and Mars seemed alight with an unearthly glare, as though the very heart of the sun had burst and hurled part of its flaming mass outward into space.	Compared to the oncoming flames from Mars, the preceding display of lights had been as nothing. The whole Heavens between the Earth and Mars seemed alight with an unearthly glare, as though the very heart of the sun had burst and hurled part of its flaming mass outward into space.
4110_11535_000005_000000	On it came with unbelievable speed.	On it came with unbelievable speed.
4110_11535_000006_000000	But there was no telling, yet, the form of the things which were coming.	But there was no telling, yet, the form of the things which were coming.
4110_11535_000007_000000	"What are they?" whispered Jaska, standing fearlessly at Sarka's side. "Interplanetary cars?	"What are they?" whispered Jaska, standing fearlessly at Sarka's side. "Interplanetary cars?
4110_11535_000007_000001	Rockets?	Rockets?
4110_11535_000007_000002	Balls of fire?	Balls of fire?
4110_11535_000007_000003	Or beings of Mars?"	Or beings of Mars?"
4110_11535_000008_000000	"I think," said Sarka, after studying the display for a few minutes, "that they are either rockets or fireballs, perhaps both together!	"I think," said Sarka, after studying the display for a few minutes, "that they are either rockets or fireballs, perhaps both together!
4110_11535_000008_000001	But the Martians cannot consolidate any position on the Earth without coming to handgrips.	But the Martians cannot consolidate any position on the Earth without coming to handgrips.
4110_11535_000008_000002	Since they must know this, we can expect to see the people of Mars themselves when, or soon after, those balls of fire strike the Earth!"	Since they must know this, we can expect to see the people of Mars themselves when, or soon after, those balls of fire strike the Earth!"
4110_11535_000009_000000	Sarka raced back to the room of the Master Beryl as a strident humming came through to him.	Sarka raced back to the room of the Master Beryl as a strident humming came through to him.
4110_11535_000010_000000	The Spokesmen of the Gens whose borders touched those of the devasted Dalis area, were reporting again, and their voices were high pitched with fear that threatened to break the bounds of sanity.	The Spokesmen of the Gens whose borders touched those of the devasted Dalis area, were reporting again, and their voices were high pitched with fear that threatened to break the bounds of sanity.
4110_11535_000011_000000	"The ferment in the devasted area," was the gist of their report, "is assuming myriads of shapes!	"The ferment in the devasted area," was the gist of their report, "is assuming myriads of shapes!
4110_11535_000012_000000	"What forms?" snapped Sarka.	"What forms?" snapped Sarka.
4110_11535_000012_000001	"Quickly!"	"Quickly!"
4110_11535_000013_000003	The columnar formations are topped by globes which emit an ethereal radiance!"	The columnar formations are topped by globes which emit an ethereal radiance!"
4110_11535_000014_000000	"Listen!" Sarka's voice was vibrant with excitement.	"Listen!" Sarka's voice was vibrant with excitement.
4110_11535_000014_000001	"Spokesmen of the Gens, make sure that every individual member of your Gens is fully equipped with flying clothing including belts and ovoids--prepared for an indefinite stay outside on the roof of the world!	"Spokesmen of the Gens, make sure that every individual member of your Gens is fully equipped with flying clothing including belts and ovoids-prepared for an indefinite stay outside on the roof of the world!
4110_11535_000014_000002	Get your people out swiftly, keeping them in formation!	Get your people out swiftly, keeping them in formation!
4110_11535_000015_000000	The contacts were broken.	The contacts were broken.
4110_11535_000015_000001	Sarka stared into the Beryl, glancing swiftly in all directions, to see whether his orders were obeyed.	Sarka stared into the Beryl, glancing swiftly in all directions, to see whether his orders were obeyed.
4110_11535_000016_000001	The advance fires from Mars seemed to have no effect on them, which Sarka had expected, since the fires seemed to consume nothing they had touched previously.	The advance fires from Mars seemed to have no effect on them, which Sarka had expected, since the fires seemed to consume nothing they had touched previously.
4110_11535_000017_000001	People dressed in the clothing of this Gens or that, wearing each the insignia of the house of his Spokesman.	People dressed in the clothing of this Gens or that, wearing each the insignia of the house of his Spokesman.
4110_11535_000017_000002	A brave show.	A brave show.
4110_11535_000018_000000	Strange, too, that the fireballs made no noise.	Strange, too, that the fireballs made no noise.
4110_11535_000018_000001	Noiseless flame which rebounded from the surface of the Earth broke in silence, deluging the heavens with shooting stars of great brilliance.	Noiseless flame which rebounded from the surface of the Earth broke in silence, deluging the heavens with shooting stars of great brilliance.
4110_11535_000018_000002	Through its display flew the people of the Gens, mustering in flight above flight, each to his own level, under command of the Spokesmen of the Gens.	Through its display flew the people of the Gens, mustering in flight above flight, each to his own level, under command of the Spokesmen of the Gens.
4110_11535_000019_000000	"How long, father," queried Sarka, "should it take to empty the Gens areas?"	"How long, father," queried Sarka, "should it take to empty the Gens areas?"
4110_11535_000021_000000	"I wonder," mused Sarka, "if that is soon enough!"	"I wonder," mused Sarka, "if that is soon enough!"
4110_11535_000022_000000	Perhaps yes, perhaps no.	Perhaps yes, perhaps no
4110_11535_000022_000001	It would be a race, in any case.	It would be a race, in any case.
4110_11535_000023_000000	Even as the last flights of the Gens of Earth were slipping into the icy air from the roof of the world, the Moon-cubes began their terrifying, appalling attack, every detail of which could be seen by Sarka from the Master Beryl.	Even as the last flights of the Gens of Earth were slipping into the icy air from the roof of the world, the Moon cubes began their terrifying, appalling attack, every detail of which could be seen by Sarka from the Master Beryl.
4110_11535_000024_000001	The top of each of them was a gleaming globe whose eery light played over the country immediately surrounding each column, their weird light reflected in the squares, rectangles and globes that other cubes had formed.	The top of each of them was a gleaming globe whose eery light played over the country immediately surrounding each column, their weird light reflected in the squares, rectangles and globes that other cubes had formed.
4110_11535_000025_000000	Sarka sought swiftly among the columns for the one which might conceivably be in supreme command; but even as he sought the Moon-cubes moved to the attack.	Sarka sought swiftly among the columns for the one which might conceivably be in supreme command; but even as he sought the Moon cubes moved to the attack.
4110_11535_000025_000001	The globes on the tops of the columns dimmed their lights, and the squares, rectangles and globes got instantly into terrible motion.	The globes on the tops of the columns dimmed their lights, and the squares, rectangles and globes got instantly into terrible motion.
