4110_11535_000000_000000	Then he dimmed the lights, indicating that for the moment there was nothing more to be said.	Then he dimmed the lights, indicating that for the moment there was nothing more to be said.	false	0	6.21	21
4110_11535_000000_000001	Just then his father, face very gray and very old, entered the room of the Master Beryl from the laboratory.	Just then his father, face very gray and very old, entered the room of the Master Beryl from the laboratory.	false	6.21	13.44	24.51726
4110_11535_000001_000000	"Son!" he said.	"Son!" he said.	false	13.44	17.85	22.010693
4110_11535_000001_000001	"The crisis is almost upon us!	"The crisis is almost upon us!	false	17.85	25.545	19.161137
4110_11535_000001_000002	The Martians are coming!"	The Martians are coming!"	false	25.545	29.25	22.243704
4110_11535_000002_000000	CHAPTER XXI	CHAPTER twenty one	true	29.25	30.63	22.652073
4110_11535_000003_000000	_Cubes of Chaos_	underscore Cubes of Chaos underscore	false	30.63	35.64	19.009455
4110_11535_000004_000000	Sarka raced into the Observatory, wondering as he ran how the attack of the Martians would manifest itself; but scarcely prepared for the brilliant display which greeted his gaze.	Sarka raced into the Observatory, wondering as he ran how the attack of the Martians would manifest itself; but scarcely prepared for the brilliant display which greeted his gaze.	true	35.64	45.67	19
4110_11535_000004_000001	Compared to the oncoming flames from Mars, the preceding display of lights had been as nothing. The whole Heavens between the Earth and Mars seemed alight with an unearthly glare, as though the very heart of the sun had burst and hurled part of its flaming mass outward into space.	Compared to the oncoming flames from Mars, the preceding display of lights had been as nothing. The whole Heavens between the Earth and Mars seemed alight with an unearthly glare, as though the very heart of the sun had burst and hurled part of its flaming mass outward into space.	true	45.95	63.76	22
4110_11535_000005_000000	On it came with unbelievable speed.	On it came with unbelievable speed.	true	64.94	68.53	20.965845
4110_11535_000006_000000	But there was no telling, yet, the form of the things which were coming.	But there was no telling, yet, the form of the things which were coming.	true	68.84	72.61	23.420757
4110_11535_000007_000000	"What are they?" whispered Jaska, standing fearlessly at Sarka's side. "Interplanetary cars?	"What are they?" whispered Jaska, standing fearlessly at Sarka's side. "Interplanetary cars?	true	73.19	80.08	22.39667
4110_11535_000007_000001	Rockets?	Rockets?	true	80.24	81.12	31.63911
4110_11535_000007_000002	Balls of fire?	Balls of fire?	true	81.12	82.39	21.678282
4110_11535_000007_000003	Or beings of Mars?"	Or beings of Mars?"	true	82.49	84.16	23.68417
4110_11535_000008_000000	"I think," said Sarka, after studying the display for a few minutes, "that they are either rockets or fireballs, perhaps both together!	"I think," said Sarka, after studying the display for a few minutes, "that they are either rockets or fireballs, perhaps both together!	true	85.13	94.57	22.600965
4110_11535_000008_000001	But the Martians cannot consolidate any position on the Earth without coming to handgrips.	But the Martians cannot consolidate any position on the Earth without coming to handgrips.	true	94.82	99.91	21
