207_131203_000001_000000	CHAPTER XVII.	CHAPTER seventeen.
207_131203_000001_000001	DIAMOND GOES ON	DIAMOND GOES ON
207_131203_000002_000001	Some may think it was not the best place in the world for him to be brought up in; but it must have been, for there he was.	Some may think it was not the best place in the world for him to be brought up in; but it must have been, for there he was.
207_131203_000002_000002	At first, he heard a good many rough and bad words; but he did not like them, and so they did him little harm.	At first, he heard a good many rough and bad words; but he did not like them, and so they did him little harm.
207_131203_000002_000003	He did not know in the least what they meant, but there was something in the very sound of them, and in the tone of voice in which they were said, which Diamond felt to be ugly.	He did not know in the least what they meant, but there was something in the very sound of them, and in the tone of voice in which they were said, which Diamond felt to be ugly.
207_131203_000002_000005	He never took any notice of them, and his face shone pure and good in the middle of them, like a primrose in a hailstorm.	He never took any notice of them, and his face shone pure and good in the middle of them, like a primrose in a hailstorm.
207_131203_000002_000006	At first, because his face was so quiet and sweet, with a smile always either awake or asleep in his eyes, and because he never heeded their ugly words and rough jokes, they said he wasn't all there, meaning that he was half an idiot, whereas he was a great deal more there than they had the sense to see.	At first, because his face was so quiet and sweet, with a smile always either awake or asleep in his eyes, and because he never heeded their ugly words and rough jokes, they said he wasn't all there, meaning that he was half an idiot, whereas he was a great deal more there than they had the sense to see.
207_131203_000002_000009	When they talked to him nicely he had always a good answer, sometimes a smart one, ready, and that helped much to make them change their minds about him.	When they talked to him nicely he had always a good answer, sometimes a smart one, ready, and that helped much to make them change their minds about him.
207_131203_000005_000001	He sat on his withers, and reaching forward as he ate his hay, he curried and he brushed, first at one side of his neck, and then at the other.	He sat on his withers, and reaching forward as he ate his hay, he curried and he brushed, first at one side of his neck, and then at the other.
207_131203_000005_000002	When that was done he asked for a dressing-comb, and combed his mane thoroughly.	When that was done he asked for a dressing comb, and combed his mane thoroughly.
207_131203_000005_000004	Then he sat on his croup, and did his back and sides; then he turned around like a monkey, and attacked his hind-quarters, and combed his tail.	Then he sat on his croup, and did his back and sides; then he turned around like a monkey, and attacked his hind quarters, and combed his tail.
207_131203_000005_000006	But Jack fetched it again, and Diamond began once more, and did not leave off until he had done the whole business fairly well, if not in a first-rate, experienced fashion.	But Jack fetched it again, and Diamond began once more, and did not leave off until he had done the whole business fairly well, if not in a first rate, experienced fashion.
207_131203_000005_000007	All the time the old horse went on eating his hay, and, but with an occasional whisk of his tail when Diamond tickled or scratched him, took no notice of the proceeding. But that was all a pretence, for he knew very well who it was that was perched on his back, and rubbing away at him with the comb and the brush.	All the time the old horse went on eating his hay, and, but with an occasional whisk of his tail when Diamond tickled or scratched him, took no notice of the proceeding. But that was all a pretence, for he knew very well who it was that was perched on his back, and rubbing away at him with the comb and the brush.
207_131203_000007_000000	I won't vouch for what the old horse was thinking, for it is very difficult to find out what any old horse is thinking.	I won't vouch for what the old horse was thinking, for it is very difficult to find out what any old horse is thinking.
207_131203_000008_000000	"Oh dear!" said Diamond when he had done, "I'm so tired!"	"Oh dear!" said Diamond when he had done, "I'm so tired!"
