2628_153958_000000_000000	For the Erewhonians hold that unalloyed virtue is not a thing to be immoderately indulged in.	For the Erewhonians hold that unalloyed virtue is not a thing to be immoderately indulged in.	false	0	5.22	19.276031
2628_153958_000000_000001	I was shown more than one case in which the real or supposed virtues of parents were visited upon the children to the third and fourth generation.	I was shown more than one case in which the real or supposed virtues of parents were visited upon the children to the third and fourth generation.	false	5.22	8.13	16
2628_153958_000000_000002	The straighteners say that the most that can be truly said for virtue is that there is a considerable balance in its favour, and that it is on the whole a good deal better to be on its side than against it; but they urge that there is much pseudo-virtue going about, which is apt to let people in very badly before they find it out.	The straighteners say that the most that can be truly said for virtue is that there is a considerable balance in its favour, and that it is on the whole a good deal better to be on its side than against it; but they urge that there is much pseudo virtue going about, which is apt to let people in very badly before they find it out.	false	8.13	9.21	14.74595
2628_153958_000000_000003	Those men, they say, are best who are not remarkable either for vice or virtue.	Those men, they say, are best who are not remarkable either for vice or virtue.	false	9.21	9.96	7
2628_153958_000000_000004	I told them about Hogarth's idle and industrious apprentices, but they did not seem to think that the industrious apprentice was a very nice person.	I told them about Hogarth's idle and industrious apprentices, but they did not seem to think that the industrious apprentice was a very nice person.	false	9.96	18.12	18.76242
2628_153958_000001_000000	CHAPTER XI: SOME EREWHONIAN TRIALS	CHAPTER eleven: SOME e r e w h o n i a n TRIALS	false	18.12	21.55	20
2628_153958_000002_000000	In Erewhon as in other countries there are some courts of justice that deal with special subjects.	In Erewhon as in other countries there are some courts of justice that deal with special subjects.	true	23.36	28.84	19
2628_153958_000002_000001	Misfortune generally, as I have above explained, is considered more or less criminal, but it admits of classification, and a court is assigned to each of the main heads under which it can be supposed to fall.	Misfortune generally, as I have above explained, is considered more or less criminal, but it admits of classification, and a court is assigned to each of the main heads under which it can be supposed to fall.	true	29.24	41.41	17.435287
2628_153958_000002_000002	Not very long after I had reached the capital I strolled into the Personal Bereavement Court, and was much both interested and pained by listening to the trial of a man who was accused of having just lost a wife to whom he had been tenderly attached, and who had left him with three little children, of whom the eldest was only three years old.	Not very long after I had reached the capital I strolled into the Personal Bereavement Court, and was much both interested and pained by listening to the trial of a man who was accused of having just lost a wife to whom he had been tenderly attached, and who had left him with three little children, of whom the eldest was only three years old.	true	41.78	60.42	17
2628_153958_000003_000000	The defence which the prisoner's counsel endeavoured to establish was, that the prisoner had never really loved his wife; but it broke down completely, for the public prosecutor called witness after witness who deposed to the fact that the couple had been devoted to one another, and the prisoner repeatedly wept as incidents were put in evidence that reminded him of the irreparable nature of the loss he had sustained.	The defence which the prisoner's counsel endeavoured to establish was, that the prisoner had never really loved his wife; but it broke down completely, for the public prosecutor called witness after witness who deposed to the fact that the couple had been devoted to one another, and the prisoner repeatedly wept as incidents were put in evidence that reminded him of the irreparable nature of the loss he had sustained.	true	60.42	84.34	18
2628_153958_000003_000001	The jury returned a verdict of guilty after very little deliberation, but recommended the prisoner to mercy on the ground that he had but recently insured his wife's life for a considerable sum, and might be deemed lucky inasmuch as he had received the money without demur from the insurance company, though he had only paid two premiums.	The jury returned a verdict of guilty after very little deliberation, but recommended the prisoner to mercy on the ground that he had but recently insured his wife's life for a considerable sum, and might be deemed lucky inasmuch as he had received the money without demur from the insurance company, though he had only paid two premiums.	true	84.47	103.24	17
