3864_185126_000001_000000	A FLORIDA SHRINE.	A FLORIDA SHRINE.
3864_185126_000002_000001	It is one of the most conveniently accessible of those "points of interest" with which guide-books so anxiously, and with so much propriety, concern themselves.	It is one of the most conveniently accessible of those "points of interest" with which guide books so anxiously, and with so much propriety, concern themselves.
3864_185126_000002_000002	What a tourist prays for is something to see.	What a tourist prays for is something to see.
3864_185126_000002_000003	If I had ever been a tourist in Boston, no doubt I should before now have surveyed the world from the top of the Bunker Hill monument.	If I had ever been a tourist in Boston, no doubt I should before now have surveyed the world from the top of the Bunker Hill monument.
3864_185126_000002_000004	In Tallahassee, at all events, I went to the Murat estate.	In Tallahassee, at all events, I went to the Murat estate.
3864_185126_000002_000005	In fact, I went more than once; but I remember especially my first visit, which had a livelier sentimental interest than the others because I was then under the agreeable delusion that the Prince himself had lived there.	In fact, I went more than once; but I remember especially my first visit, which had a livelier sentimental interest than the others because I was then under the agreeable delusion that the Prince himself had lived there.
3864_185126_000002_000006	The guide-book told me so, vouchsafing also the information that after building the house he "interested himself actively in local affairs, became a naturalized citizen, and served successively as postmaster, alderman, and mayor"--a model immigrant, surely, though it is rather the way of immigrants, perhaps, not to refuse political responsibilities.	The guide book told me so, vouchsafing also the information that after building the house he "interested himself actively in local affairs, became a naturalized citizen, and served successively as postmaster, alderman, and mayor"--a model immigrant, surely, though it is rather the way of immigrants, perhaps, not to refuse political responsibilities.
3864_185126_000003_000001	Here lived once the son of the King of Naples; himself a Prince, and--worthy son of a worthy sire--alderman and then mayor of the city of Tallahassee.	Here lived once the son of the King of Naples; himself a Prince, and-worthy son of a worthy sire-alderman and then mayor of the city of Tallahassee.
3864_185126_000003_000002	Thus did an uncompromising democrat pay court to the shades of Royalty, while a mocking-bird sang from a fringe-bush by the gate, and an oriole flew madly from tree to tree in pursuit of a fair creature of the reluctant sex.	Thus did an uncompromising democrat pay court to the shades of Royalty, while a mocking bird sang from a fringe bush by the gate, and an oriole flew madly from tree to tree in pursuit of a fair creature of the reluctant sex.
3864_185126_000004_000000	The inconsistency, if such it was, was quickly punished.	The inconsistency, if such it was, was quickly punished.
3864_185126_000004_000001	For, alas!	For, alas!
3864_185126_000004_000003	I appealed to the guide-book.	I appealed to the guide book.
3864_185126_000004_000005	For once, the guide-book compiler must have been misinformed.	For once, the guide book compiler must have been misinformed.
3864_185126_000005_000000	The question, happily, was one of no great consequence.	The question, happily, was one of no great consequence.
3864_185126_000005_000003	Prince Murat, or no Prince Murat, I should love to travel that road to-day, instead of sitting before a Massachusetts fire, with the ground deep under snow, and the air full of thirty or forty degrees of frost.	Prince Murat, or no Prince Murat, I should love to travel that road to day, instead of sitting before a Massachusetts fire, with the ground deep under snow, and the air full of thirty or forty degrees of frost.
3864_185126_000006_000000	In the front yard of one of the cabins opposite the car-wheel foundry, and near the station, as I now remember, a middle-aged negress was cutting up an oak log.	In the front yard of one of the cabins opposite the car wheel foundry, and near the station, as I now remember, a middle aged negress was cutting up an oak log.
3864_185126_000006_000001	She swung the axe with vigor and precision, and the chips flew; but I could not help saying, "You ought to make the man do that."	She swung the axe with vigor and precision, and the chips flew; but I could not help saying, "You ought to make the man do that."
3864_185126_000007_000000	She answered on the instant.	She answered on the instant.
3864_185126_000008_000000	"I'm sure you would," I thought.	"I'm sure you would," I thought.
3864_185126_000008_000001	Her tongue was as sharp as her axe.	Her tongue was as sharp as her axe.
3864_185126_000009_000001	His wife had died a year before, he said, and so far, though he had not let the grass grow under his feet, he had found no one to take her place.	His wife had died a year before, he said, and so far, though he had not let the grass grow under his feet, he had found no one to take her place.
3864_185126_000009_000002	He still meant to do so, if he could.	He still meant to do so, if he could.
3864_185126_000009_000003	He was only seventy-four years old, and it was not good for a man to be alone.	He was only seventy four years old, and it was not good for a man to be alone.
3864_185126_000009_000004	He seemed a gentle spirit, and I withheld all mention of the stalwart and manless wood-cutter.	He seemed a gentle spirit, and I withheld all mention of the stalwart and manless wood cutter.
3864_185126_000009_000005	I hope he went farther, and fared better.	I hope he went farther, and fared better.
3864_185126_000009_000006	So youthful as he was, surely there was no occasion for haste.	So youthful as he was, surely there was no occasion for haste.
3864_185126_000010_000000	When I had skirted a cotton-field--the crop just out of the ground--and a bit of wood on the right, and a swamp with a splendid display of white water-lilies on the left, and had begun to ascend the gentle slope, I met a man of considerably more than seventy-four years.	When I had skirted a cotton field-the crop just out of the ground-and a bit of wood on the right, and a swamp with a splendid display of white water lilies on the left, and had begun to ascend the gentle slope, I met a man of considerably more than seventy four years.
3864_185126_000011_000000	"Can you tell me just where the Murat place is?" I inquired.	"Can you tell me just where the Murat place is?" I inquired.
3864_185126_000012_000000	He grinned broadly, and thought he could.	He grinned broadly, and thought he could.
3864_185126_000012_000001	He was one of the old Murat servants, as his father had been before him.	He was one of the old Murat servants, as his father had been before him.
3864_185126_000012_000002	"I was borned on to him," he said, speaking of the Prince.	"I was borned on to him," he said, speaking of the Prince.
3864_185126_000012_000006	He "never was for barbarizing a poor colored person at all." Whipping?	He "never was for barbarizing a poor colored person at all." Whipping?
3864_185126_000012_000007	Oh, yes.	Oh, yes.
3864_185126_000012_000008	"He didn't miss your fault.	"He didn't miss your fault.
3864_185126_000013_000000	The old man was thankful to be free; but to his mind emancipation had not made everything heavenly.	The old man was thankful to be free; but to his mind emancipation had not made everything heavenly.
3864_185126_000013_000002	They had "sold their birthright," though exactly what he meant by that remark I did not gather.	They had "sold their birthright," though exactly what he meant by that remark I did not gather.
3864_185126_000013_000003	"They ain't got no sense," he declared, "and what sense they has got don't do 'em no good."	"They ain't got no sense," he declared, "and what sense they has got don't do 'em no good."
3864_185126_000014_000000	I told him finally that I was from the North.	I told him finally that I was from the North.
3864_185126_000014_000001	"Oh, I knows it," he exclaimed, "I knows it;" and he beamed with delight.	"Oh, I knows it," he exclaimed, "I knows it;" and he beamed with delight.
3864_185126_000014_000005	Anybody would know it that had any jedgment at all.	Anybody would know it that had any jedgment at all.
3864_185126_000015_000002	So it will be with us, if we live so long.	So it will be with us, if we live so long.
3864_185126_000015_000003	May we find once in a while a patient listener.	May we find once in a while a patient listener.
3864_185126_000016_000000	This patriarch's unfavorable opinion as to the prospects of the colored people was shared by my hopeful young widower before mentioned, who expressed himself quite as emphatically.	This patriarch's unfavorable opinion as to the prospects of the colored people was shared by my hopeful young widower before mentioned, who expressed himself quite as emphatically.
3864_185126_000016_000002	But he was less perspicacious than the older man.	But he was less perspicacious than the older man.
3864_185126_000016_000003	He was one of the very few persons whom I met at the South who did not recognize me at sight as a Yankee.	He was one of the very few persons whom I met at the South who did not recognize me at sight as a Yankee.
3864_185126_000016_000005	But perhaps, after all, he only meant to flatter me.	But perhaps, after all, he only meant to flatter me.
3864_185126_000017_000000	If I am long on the way, it is because, as I love always to have it, the going and coming were the better part of the pilgrimage.	If I am long on the way, it is because, as I love always to have it, the going and coming were the better part of the pilgrimage.
3864_185126_000017_000001	The estate itself is beautifully situated, with far-away horizons; but it has fallen into great neglect, while the house, almost in ruins, and occupied by colored people, is to Northern eyes hardly more than a larger cabin.	The estate itself is beautifully situated, with far away horizons; but it has fallen into great neglect, while the house, almost in ruins, and occupied by colored people, is to Northern eyes hardly more than a larger cabin.
3864_185126_000017_000004	"Have you seen any of those fine old country mansions," he asked, "about which we read so often in descriptions of Southern, life?" He had been on the lookout for them, he averred, ever since he left home, and had yet to find the first one; and from his tone it was evident that he thought the Southern idea of a "fine old mansion" must be different from his.	"Have you seen any of those fine old country mansions," he asked, "about which we read so often in descriptions of Southern, life?" He had been on the lookout for them, he averred, ever since he left home, and had yet to find the first one; and from his tone it was evident that he thought the Southern idea of a "fine old mansion" must be different from his.
3864_185126_000018_000000	The Murat house, certainly, was never a palace, except as love may have made it so.	The Murat house, certainly, was never a palace, except as love may have made it so.
3864_185126_000018_000001	But it was old; people had lived in it, and died in it; those who once owned it, whose name and memory still clung to it, were now in narrower houses; and it was easy for the visitor--for one visitor, at least--to fall into pensive meditation.	But it was old; people had lived in it, and died in it; those who once owned it, whose name and memory still clung to it, were now in narrower houses; and it was easy for the visitor-for one visitor, at least-to fall into pensive meditation.
3864_185126_000019_000001	I recall in particular some white-crowned sparrows, the first ones I had seen in Florida.	I recall in particular some white crowned sparrows, the first ones I had seen in Florida.
3864_185126_000019_000002	At a bend in the road opposite the water-lily swamp, while I was cooling myself in the shade of a friendly pine-tree,--enjoying at the same time a fence overrun with Cherokee roses,--a man and his little boy came along in a wagon.	At a bend in the road opposite the water lily swamp, while I was cooling myself in the shade of a friendly pine tree,--enjoying at the same time a fence overrun with Cherokee roses,--a man and his little boy came along in a wagon.
3864_185126_000019_000003	The man seemed really disappointed when I told him that I was going into town, instead of coming from it.	The man seemed really disappointed when I told him that I was going into town, instead of coming from it.
3864_185126_000019_000004	It was pretty warm weather for walking, and he had meant to offer me a lift.	It was pretty warm weather for walking, and he had meant to offer me a lift.
3864_185126_000019_000005	He was a Scandinavian, who had been for some years in Florida.	He was a Scandinavian, who had been for some years in Florida.
3864_185126_000019_000007	He talked of his crops, his children, the climate, and so on, all in a cheerful strain, pleasant to hear.	He talked of his crops, his children, the climate, and so on, all in a cheerful strain, pleasant to hear.
3864_185126_000019_000008	If the pessimists are right,--which may I be kept from believing,--the optimists are certainly more comfortable to live with, though it be only for ten minutes under a roadside shade-tree.	If the pessimists are right,--which may I be kept from believing,--the optimists are certainly more comfortable to live with, though it be only for ten minutes under a roadside shade tree.
3864_185126_000020_000000	When I reached the street-car track at the foot of the hill, the one car which plies back and forth through the city was in its place, with the driver beside it, but no mules.	When I reached the street car track at the foot of the hill, the one car which plies back and forth through the city was in its place, with the driver beside it, but no mules.
3864_185126_000021_000000	"Are you going to start directly?" I asked.	"Are you going to start directly?" I asked.
3864_185126_000022_000001	Do about!"	Do about!"
3864_185126_000025_000000	Half a minute afterwards two very neatly dressed little colored boys stepped upon the rear platform.	Half a minute afterwards two very neatly dressed little colored boys stepped upon the rear platform.
3864_185126_000026_000001	"Uptown?"	"Uptown?"
3864_185126_000028_000000	"Well, come inside.	"Well, come inside.
3864_185126_000029_000002	"Sit down there," he said, "right there." They obeyed, and as he turned away he added, what I found more and more to be true, as I saw more of him, "I ain't de boss, but I's got right smart to say."	"Sit down there," he said, "right there." They obeyed, and as he turned away he added, what I found more and more to be true, as I saw more of him, "I ain't de boss, but I's got right smart to say."
