1046_133225_000001_000000	DOING BUSINESS WITH A BANK	DOING BUSINESS WITH A BANK
1046_133225_000002_000000	In opening your account with a bank it is proper that you should first be introduced to the cashier, or some other official.	In opening your account with a bank it is proper that you should first be introduced to the cashier, or some other official.
1046_133225_000002_000001	If you are engaged in business, that officer will inquire as to your particular business or calling, your address, etc., and unless he is already satisfied on this point, he may make inquiries as to your business standing.	If you are engaged in business, that officer will inquire as to your particular business or calling, your address, etc, and unless he is already satisfied on this point, he may make inquiries as to your business standing.
1046_133225_000002_000002	This being satisfactory, he will hand you a passbook, and some deposit tickets, whereupon you make your first deposit, entering the amount on the ticket.	This being satisfactory, he will hand you a passbook, and some deposit tickets, whereupon you make your first deposit, entering the amount on the ticket.
1046_133225_000002_000003	You will then be asked to write your signature in a book provided for that purpose, or upon a card to be filed away for reference.	You will then be asked to write your signature in a book provided for that purpose, or upon a card to be filed away for reference.
1046_133225_000003_000000	The Signature.	The Signature.
1046_133225_000004_000002	John H. Smith or John Henry Smith, but whatever form you adopt should be used all the time. Once having adopted the form, it should be maintained in exactly that way.	john h Smith or john Henry Smith, but whatever form you adopt should be used all the time. Once having adopted the form, it should be maintained in exactly that way.
1046_133225_000004_000004	In that case, supposing you had adopted the form J. Henry Smith for your regular signature, and the check is made payable to John H. Smith, you should first write on the back of that check "John H. Smith," and immediately under this you should place your regular signature.	In that case, supposing you had adopted the form j Henry Smith for your regular signature, and the check is made payable to john h Smith, you should first write on the back of that check "john h Smith," and immediately under this you should place your regular signature.
1046_133225_000006_000000	When making a deposit, always use the deposit ticket provided by the bank, filling it out yourself in ink.	When making a deposit, always use the deposit ticket provided by the bank, filling it out yourself in ink.
1046_133225_000006_000001	From this ticket, which is first checked up by the receiving teller, the amount of your deposit is placed to your credit.	From this ticket, which is first checked up by the receiving teller, the amount of your deposit is placed to your credit.
1046_133225_000007_000000	How to Avoid Mistakes.	How to Avoid Mistakes.
1046_133225_000008_000001	Sometimes the requirements of the banks may seem arbitrary and troublesome, but reflection will show that they safeguard the depositor as well as the bank.	Sometimes the requirements of the banks may seem arbitrary and troublesome, but reflection will show that they safeguard the depositor as well as the bank.
1046_133225_000008_000002	The simple rules here laid down will enable anyone who has business with a bank to do so with the least trouble and with absolute safety.	The simple rules here laid down will enable anyone who has business with a bank to do so with the least trouble and with absolute safety.
1046_133225_000009_000000	How to Make Out a Check.	How to Make Out a Check.
