3046_148993_000000_000000	Chapter 19.	Chapter nineteen.	true	13.65	14.91	18
3046_148993_000000_000001	WHITE ROSES	WHITE ROSES	true	14.91	16.06	16
3046_148993_000001_000000	While the travellers refreshed, and Mrs President struggled into her best gown, Josie ran into the garden to gather flowers for the brides. The sudden arrival of these interesting beings had quite enchanted the romantic girl, and her head was full of heroic rescues, tender admiration, dramatic situations, and feminine wonder as to whether the lovely creatures would wear their veils or not.	While the travellers refreshed, and Mrs President struggled into her best gown, Josie ran into the garden to gather flowers for the brides. The sudden arrival of these interesting beings had quite enchanted the romantic girl, and her head was full of heroic rescues, tender admiration, dramatic situations, and feminine wonder as to whether the lovely creatures would wear their veils or not.	true	17.18	45.64	17
3046_148993_000001_000001	She was standing before a great bush of white roses, culling the most perfect for the bouquets which she meant to tie with the ribbon festooned over her arm, and lay on the toilette tables of the new cousins, as a delicate attention.	She was standing before a great bush of white roses, culling the most perfect for the bouquets which she meant to tie with the ribbon festooned over her arm, and lay on the toilette tables of the new cousins, as a delicate attention.	false	46.37	60.61	19
3046_148993_000001_000002	A step startled her, and looking up she saw her brother coming down the path with folded arms, bent head, and the absent air of one absorbed in deep thought.	A step startled her, and looking up she saw her brother coming down the path with folded arms, bent head, and the absent air of one absorbed in deep thought.	true	61.22	71.44	20.843517
3046_148993_000002_000000	'Sophy Wackles,' said the sharp child, with a superior smile, as she sucked her thumb just pricked by a too eager pull at the thorny branches.	'Sophy Wackles,' said the sharp child, with a superior smile, as she sucked her thumb just pricked by a too eager pull at the thorny branches.	true	72.38	80.92	19
3046_148993_000003_000000	'What are you at here, Mischief?' asked Demi, with an Irvingesque start, as he felt rather than saw a disturbing influence in his day-dream.	'What are you at here, Mischief?' asked Demi, with an Irvingesque start, as he felt rather than saw a disturbing influence in his day dream.	true	81.92	91.33	21.319902
3046_148993_000004_000000	'Getting flowers for "our brides".	'Getting flowers for "our brides".	true	91.97	94.06	21.054853
3046_148993_000004_000001	Don't you wish you had one?' answered Josie, to whom the word 'mischief' suggested her favourite amusement.	Don't you wish you had one?' answered Josie, to whom the word 'mischief' suggested her favourite amusement.	true	94.25	100.93	18
3046_148993_000005_000000	'A bride or a flower?' asked Demi calmly, though he eyed the blooming bush as if it had a sudden and unusual interest for him.	'A bride or a flower?' asked Demi calmly, though he eyed the blooming bush as if it had a sudden and unusual interest for him.	true	101.3	110.05	20.363623
3046_148993_000006_000000	'Both; you get the one, and I'll give you the other.'	'Both; you get the one, and I'll give you the other.'	true	110.21	113.83	21.492577
3046_148993_000007_000000	'Wish I could!' and Demi picked a little bud, with a sigh that went to Josie's warm heart.	'Wish I could!' and Demi picked a little bud, with a sigh that went to Josie's warm heart.	true	114.26	120.19	20.888899
3046_148993_000008_000000	'Why don't you, then?	'Why don't you, then?	true	120.74	122.02	19.091944
3046_148993_000008_000001	It's lovely to see people so happy.	It's lovely to see people so happy.	true	122.36	124.84	20
3046_148993_000008_000002	Now's a good time to do it if you ever mean to.	Now's a good time to do it if you ever mean to.	true	125.12	127.93	16
3046_148993_000008_000003	She will be going away for ever soon.'	She will be going away for ever soon.'	true	128.06	130.51	18
3046_148993_000009_000000	'Who?' and Demi pulled a half-opened bud, with a sudden colour in his own face; which sign of confusion delighted little Jo.	'Who?' and Demi pulled a half opened bud, with a sudden colour in his own face; which sign of confusion delighted little Jo.	true	130.82	140.71	19.692478
3046_148993_000010_000000	'Don't be a hypocrite.	'Don't be a hypocrite.	true	141.17	142.75	20.806707
3046_148993_000010_000001	You know I mean Alice.	You know I mean Alice.	true	142.88	144.52	16
3046_148993_000010_000002	Now, Jack, I'm fond of you, and want to help; it's so interesting--all these lovers and weddings and things, and we ought to have our share.	Now, Jack, I'm fond of you, and want to help; it's so interesting-all these lovers and weddings and things, and we ought to have our share.	true	144.83	153.61	20.264751
3046_148993_000010_000003	So you take my advice and speak up like a man, and make sure of Alice before she goes.'	So you take my advice and speak up like a man, and make sure of Alice before she goes.'	true	153.8	159.25	17
3046_148993_000011_000000	Demi laughed at the seriousness of the small girl's advice; but he liked it, and showed that it suited him by saying blandly, instead of snubbing her as usual:	Demi laughed at the seriousness of the small girl's advice; but he liked it, and showed that it suited him by saying blandly, instead of snubbing her as usual:	true	159.92	169.27	19
3046_148993_000012_000000	'You are very kind, child.	'You are very kind, child.	true	169.85	171.79	21.839693
3046_148993_000012_000001	Since you are so wise, could you give me a hint how I'd better 'speak up', as you elegantly express it?'	Since you are so wise, could you give me a hint how I'd better 'speak up', as you elegantly express it?'	true	171.89	177.67	17
3046_148993_000013_000000	'Oh, well, there are various ways, you know.	'Oh, well, there are various ways, you know.	true	178.16	181.48	20.84368
3046_148993_000013_000001	In plays the lovers go down on their knees; but that's awkward when they have long legs.	In plays the lovers go down on their knees; but that's awkward when they have long legs.	true	181.64	186.52	19
3046_148993_000013_000002	Ted never does it well, though I drill him for hours.	Ted never does it well, though I drill him for hours.	true	186.59	189.55	19
3046_148993_000013_000003	You could say, "Be mine, be mine!" like the old man who threw cucumbers over the wall to Mrs Nickleby, if you want to be gay and easy; or you could write a poetical pop.	You could say, "Be mine, be mine!" like the old man who threw cucumbers over the wall to Mrs Nickleby, if you want to be gay and easy; or you could write a poetical pop	true	189.71	200.955	19.991377
3046_148993_000013_000004	You've tried it, I dare say.'	You've tried it, I dare say.'	true	200.955	202.63	23.618671
3046_148993_000014_000000	'But seriously, Jo, I do love Alice, and I think she knows it.	'But seriously, Jo, I do love Alice, and I think she knows it.	true	203.3	207.67	19.664593
3046_148993_000014_000001	I want to tell her so; but I lose my head when I try, and don't care to make a fool of myself.	I want to tell her so; but I lose my head when I try, and don't care to make a fool of myself.	true	207.83	213.55	20
3046_148993_000014_000002	Thought you might suggest some pretty way; you read so much poetry and are so romantic.'	Thought you might suggest some pretty way; you read so much poetry and are so romantic.'	true	213.77	218.86	17
3046_148993_000015_000000	Demi tried to express himself clearly, but forgot his dignity and his usual reserve in the sweet perplexity of his love, and asked his little sister to teach him how to put the question which a single word can answer.	Demi tried to express himself clearly, but forgot his dignity and his usual reserve in the sweet perplexity of his love, and asked his little sister to teach him how to put the question which a single word can answer.	true	219.38	231.16	18
