4111_184447_000000_000000	Leaf III.	Leaf three.	false	0.66	30.16	20.279327
4111_184447_000001_000000	Men are very strange people.	Men are very strange people.	true	33.65	36.19	21
4111_184447_000001_000001	They are like those sums in algebra that you think about and worry about and cry about and try to get help from other women about, and then, all of a sudden, X works itself out into perfectly good sense.	They are like those sums in algebra that you think about and worry about and cry about and try to get help from other women about, and then, all of a sudden, X works itself out into perfectly good sense.	true	36.35	48.85	22
4111_184447_000002_000000	I know now that I really never got any older than the poor, foolish, eighteen-years child that Aunt Adeline married off "safe." But all that was a mild sort of exasperation to what a widow has to go through with in the matter of--of, well, I think worrying interference is about the best name to give it.	I know now that I really never got any older than the poor, foolish, eighteen years child that Aunt Adeline married off "safe." But all that was a mild sort of exasperation to what a widow has to go through with in the matter of-of, well, I think worrying interference is about the best name to give it.	true	49.25	69.16	17
4111_184447_000003_000000	"Molly Carter," said Mrs. Johnson just day before yesterday, after the white-dress, Judge-Wade episode that Aunt Adeline had gone to all the friends up and down the street to be consoled about, "if you haven't got sense enough to appreciate your present blissful condition, somebody ought to operate on your mind."	"Molly Carter," said mrs Johnson just day before yesterday, after the white dress, Judge Wade episode that Aunt Adeline had gone to all the friends up and down the street to be consoled about, "if you haven't got sense enough to appreciate your present blissful condition, somebody ought to operate on your mind."	true	69.98	89.38	17
4111_184447_000004_000000	I was tempted to say, "Why not my heart?" I was glad she didn't know how good that heart did feel under my blouse when the boy brought that basket of fish from Judge Wade's fishing expedition Saturday.	I was tempted to say, "Why not my heart?" I was glad she didn't know how good that heart did feel under my blouse when the boy brought that basket of fish from Judge Wade's fishing expedition Saturday.	true	89.96	101.77	20
4111_184447_000004_000001	I have firmly determined not to blush any more at the thought of that gorgeous man--at least outwardly.	I have firmly determined not to blush any more at the thought of that gorgeous man-at least outwardly.	true	102.26	109.42	24.068918
4111_184447_000005_000000	"Don't you think it is very--very lonely to be a widow, Mrs. Johnson?" I asked timidly to see what she would say about Mr. Johnson, who is really a kind-hearted sort of man, I think.	"Don't you think it is very-very lonely to be a widow, mrs Johnson?" I asked timidly to see what she would say about mr Johnson, who is really a kind hearted sort of man, I think.	true	110.63	123.07	19.440062
4111_184447_000005_000001	He gives me the gentlest understanding smile when he meets me in the street of late weeks.	He gives me the gentlest understanding smile when he meets me in the street of late weeks.	false	123.23	129.13	15
4111_184447_000006_000000	"Lonely, _lonely_, Molly?	"Lonely, underscore lonely underscore, Molly?	false	129.74	132.13	17.389593
4111_184447_000006_000001	You talk about the married state exactly like an old maid.	You talk about the married state exactly like an old maid.	true	132.23	135.97	18
4111_184447_000006_000002	Don't do it--it's foolish, and you will get the lone notion really fastened in your mind and let some man find out that is how you feel.	Don't do it-it's foolish, and you will get the lone notion really fastened in your mind and let some man find out that is how you feel.	true	136.01	144.01	17
4111_184447_000006_000003	Then it will be all over with you.	Then it will be all over with you.	false	144.44	146.895	21.751318
4111_184447_000006_000004	I have only one regret; and it is that if I ever should be a widow Mr. Johnson wouldn't be here to see how quickly I turned into an old maid." Mrs. Johnson sews by assassinating the cloth with the needle, and as she talked she was mending the sleeve of Mr. Johnson's lounge coat.	I have only one regret; and it is that if I ever should be a widow mr Johnson wouldn't be here to see how quickly I turned into an old maid." mrs Johnson sews by assassinating the cloth with the needle, and as she talked she was mending the sleeve of mr Johnson's lounge coat.	false	146.895	164.26	19
4111_184447_000007_000000	"I think an old maid is just a woman who has never been in love with a man who loves her.	"I think an old maid is just a woman who has never been in love with a man who loves her.	false	165.29	169.87	14
4111_184447_000007_000001	Lots of them have been married for years," I said, just as innocently as the soft face of a pan of cream, and went on darning one of Billy's socks.	Lots of them have been married for years," I said, just as innocently as the soft face of a pan of cream, and went on darning one of Billy's socks.	true	170.12	179.77	17
4111_184447_000008_000000	"Well, be that as it may, they are the blessed members of the women tribe," she answered, looking at me sharply.	"Well, be that as it may, they are the blessed members of the women tribe," she answered, looking at me sharply.	true	180.26	188.47	19.82559
4111_184447_000008_000001	"Now I have often told Mr. Johnson--" but here we were interrupted in what might have been the rehearsal of a glorious scrap by the appearance of Aunt Bettie Pollard, and with her came a long, tall, lovely vision of a woman in the most wonderful close clingy dress and hat that you wanted to eat the minute you saw it.	"Now I have often told mr Johnson-" but here we were interrupted in what might have been the rehearsal of a glorious scrap by the appearance of Aunt Bettie Pollard, and with her came a long, tall, lovely vision of a woman in the most wonderful close clingy dress and hat that you wanted to eat the minute you saw it.	false	188.66	208.84	19
4111_184447_000008_000002	I hated her instantly with the most intense adoration that made me want to lie down at her feet, and also made me feel as though I had gained all the more than twenty pounds that I have slaved off me and doubled them on again.	I hated her instantly with the most intense adoration that made me want to lie down at her feet, and also made me feel as though I had gained all the more than twenty pounds that I have slaved off me and doubled them on again.	true	209.27	223.27	17
4111_184447_000008_000003	I would have liked to lead her that minute into Dr. John's office and just to have looked at him and said one word--"Scarlet-runner!" Aunt Betty introduced her as Miss Clinton from London.	I would have liked to lead her that minute into dr John's office and just to have looked at him and said one word-"Scarlet runner!" Aunt Betty introduced her as Miss Clinton from London.	false	224.3	236.28	20.770008
4111_184447_000009_000000	"Oh, my dear Mrs. Carter, how glad I am to meet you!" she said as she towered over me in a willowy way, and her voice was lovely and cool almost to slimness.	"Oh, my dear mrs Carter, how glad I am to meet you!" she said as she towered over me in a willowy way, and her voice was lovely and cool almost to slimness.	false	236.28	247.12	18
4111_184447_000009_000001	"I am the bearer of so many gracious messages that I am anxious to deliver them safely to you.	"I am the bearer of so many gracious messages that I am anxious to deliver them safely to you.	true	247.49	252.85	15
4111_184447_000009_000002	Not six weeks ago I left Alfred Bennett in Paris, and really--really his greetings to you almost amounted to a pile of luggage.	Not six weeks ago I left Alfred Bennett in Paris, and really-really his greetings to you almost amounted to a pile of luggage.	true	253.16	261.67	16
4111_184447_000009_000003	He came down to Cherbourg to see me off, and almost the last thing he said to me was, 'Now, don't fail to see Mrs. Carter as soon as you get to Hillsboro; and the more you see of her the more you'll enjoy your visit to Mrs. Pollard.' Isn't he the most delightful of men?" She asked me the question, but she had the most wonderful way of seeming to be talking to everybody at one time, so Mrs. Johnson got in the first answer.	He came down to Cherbourg to see me off, and almost the last thing he said to me was, 'Now, don't fail to see mrs Carter as soon as you get to Hillsboro; and the more you see of her the more you'll enjoy your visit to mrs Pollard.' Isn't he the most delightful of men?" She asked me the question, but she had the most wonderful way of seeming to be talking to everybody at one time, so mrs Johnson got in the first answer.	false	261.86	286.93	16
4111_184447_000010_000000	"Delightful indeed!	"Delightful indeed!	true	287.33	288.97	23.29938
4111_184447_000010_000001	But Alfred Bennett is a man of sense not to marry any of the string of women who I suppose are running after him!" she said.	But Alfred Bennett is a man of sense not to marry any of the string of women who I suppose are running after him!" she said.	true	289.01	296.05	16
