7294_86026_000002_000000	The Sacred Milk of Koumongoe	The Sacred Milk of Koumongoe
7294_86026_000004_000000	Early in the morning and late in the evenings the parents worked hard in the fields, resting, when the sun was high, under the shade of some tree.	Early in the morning and late in the evenings the parents worked hard in the fields, resting, when the sun was high, under the shade of some tree.
7294_86026_000004_000001	While they were absent the little girl kept house alone, for her brother always got up before the dawn, when the air was fresh and cool, and drove out the cattle to the sweetest patches of grass he could find.	While they were absent the little girl kept house alone, for her brother always got up before the dawn, when the air was fresh and cool, and drove out the cattle to the sweetest patches of grass he could find.
7294_86026_000006_000001	Give me a drink from the tree Koumongoe, which has the best milk in the world.'	Give me a drink from the tree Koumongoe, which has the best milk in the world.'
7294_86026_000007_000001	What would father say when he came home?	What would father say when he came home?
7294_86026_000007_000002	For he would be sure to know.'	For he would be sure to know.'
7294_86026_000011_000001	She was afraid to disobey her parents, who would most likely beat her, yet the beasts would be sure to suffer if they were kept in, and she would perhaps be beaten for that too.	She was afraid to disobey her parents, who would most likely beat her, yet the beasts would be sure to suffer if they were kept in, and she would perhaps be beaten for that too.
7294_86026_000013_000001	Go and get me three times as much!'	Go and get me three times as much!'
7294_86026_000014_000001	In an instant there poured forth such a stream of milk that it ran like a river into the hut.	In an instant there poured forth such a stream of milk that it ran like a river into the hut.
7294_86026_000016_000000	The man saw a white stream a long way off, and guessed what had happened.	The man saw a white stream a long way off, and guessed what had happened.
7294_86026_000017_000001	That is some mischief of the children's, I am sure.	That is some mischief of the children's, I am sure.
7294_86026_000017_000002	I must go home and find out what is the matter.' And they both threw down their hoes and hurried to the side of Koumongoe.	I must go home and find out what is the matter.' And they both threw down their hoes and hurried to the side of Koumongoe.
7294_86026_000018_000000	Kneeling on the grass, the man and his wife made a cup of their hands and drank the milk from it.	Kneeling on the grass, the man and his wife made a cup of their hands and drank the milk from it.
7294_86026_000019_000001	Why did Koumongoe come to us in the fields instead of staying in the garden?'	Why did Koumongoe come to us in the fields instead of staying in the garden?'
7294_86026_000020_000001	So, as I did not know what else to do, I gave it to him.'	So, as I did not know what else to do, I gave it to him.'
7294_86026_000021_000001	Instead, he went outside and brought in two sheepskins, which he stained red and sent for a blacksmith to forge some iron rings.	Instead, he went outside and brought in two sheepskins, which he stained red and sent for a blacksmith to forge some iron rings.
7294_86026_000021_000003	When all was ready, the man sent for his servants and said:	When all was ready, the man sent for his servants and said:
7294_86026_000022_000000	'I am going to get rid of Thakane.'	'I am going to get rid of Thakane.'
7294_86026_000023_000000	'Get rid of your only daughter?' they answered, in surprise.	'Get rid of your only daughter?' they answered, in surprise.
7294_86026_000023_000001	'But why?'	'But why?'
7294_86026_000024_000000	'Because she has eaten what she ought not to have eaten.	'Because she has eaten what she ought not to have eaten.
7294_86026_000025_000000	They were passing along some fields where the corn was ripening, when a rabbit suddenly sprang out at their feet, and standing on its hind legs, it sang:	They were passing along some fields where the corn was ripening, when a rabbit suddenly sprang out at their feet, and standing on its hind legs, it sang:
7294_86026_000026_000000	Why do you give to the ogre Your child, so fair, so fair?	Why do you give to the ogre Your child, so fair, so fair?
7294_86026_000027_000000	'You had better ask her,' replied the man, 'she is old enough to give you an answer.'	'You had better ask her,' replied the man, 'she is old enough to give you an answer.'
7294_86026_000032_000000	Why do you give to the ogre Your child, so fair, so fair?	Why do you give to the ogre Your child, so fair, so fair?
7294_86026_000034_000000	Then, in her turn, Thakane sang:	Then, in her turn, Thakane sang:
7294_86026_000037_000000	By this time it was nearly dark, and the father said they could travel no further that night, and must go to sleep where they were.	By this time it was nearly dark, and the father said they could travel no further that night, and must go to sleep where they were.
7294_86026_000037_000002	So, in spite of her dread of the ogre, she slept till dawn, when her father woke her, and told her roughly that he was ready to continue their journey.	So, in spite of her dread of the ogre, she slept till dawn, when her father woke her, and told her roughly that he was ready to continue their journey.
7294_86026_000038_000000	Crossing the plain, the girl and her father passed a herd of gazelles feeding.	Crossing the plain, the girl and her father passed a herd of gazelles feeding.
