4899_32658_000000_000000	Chapter 24	Chapter twenty four	false	0.9	20.7	24.02881
4899_32658_000001_000000	XXIV.	twenty four.	true	20.7	21.58	24.180786
4899_32658_000002_000000	MARCH 20.	march twentieth.	true	22.55	23.8	27.802673
4899_32658_000003_000000	HELEN returned Dr. Cabot's letter in silence this morning, but, directly after breakfast, set forth to visit Mrs. Campbell, with the little bottle of beef-tea in her hands, which ought to have gone yesterday.	HELEN returned dr Cabot's letter in silence this morning, but, directly after breakfast, set forth to visit mrs Campbell, with the little bottle of beef tea in her hands, which ought to have gone yesterday.	false	24.68	36.85	23.57984
4899_32658_000003_000001	I had a busy day before me; the usual Saturday baking and Sunday dinner to oversee, the children's lessons for to-morrow to superintend and hear them repeat, their clean clothes to lay out, and a basket of stockings to mend.	I had a busy day before me; the usual Saturday baking and Sunday dinner to oversee, the children's lessons for to morrow to superintend and hear them repeat, their clean clothes to lay out, and a basket of stockings to mend.	true	37.4	51.34	26.42074
4899_32658_000003_000002	My mind was somewhat distracted with these cares, and I found it a little difficult to keep on with my morning devotions in spite of them.	My mind was somewhat distracted with these cares, and I found it a little difficult to keep on with my morning devotions in spite of them.	true	51.83	58.06	21
4899_32658_000003_000003	But I have learned, at least, to face and fight such distractions, instead of running away from them as I used to do.	But I have learned, at least, to face and fight such distractions, instead of running away from them as I used to do.	true	58.61	65.02	23.644566
4899_32658_000003_000004	My faith in prayer, my resort to it, becomes more and more the foundation of my life, and I believe, with one wiser and better than myself, that nothing but prayer stands between my soul and the best gifts of God; in other words, that I can and shall get what I ask for.	My faith in prayer, my resort to it, becomes more and more the foundation of my life, and I believe, with one wiser and better than myself, that nothing but prayer stands between my soul and the best gifts of God; in other words, that I can and shall get what I ask for.	true	65.63	83.74	24.11554
4899_32658_000004_000000	I went down into the kitchen, put on my large baking apron, and began my labors; of course the door-bell rang, and a poor woman was announced.	I went down into the kitchen, put on my large baking apron, and began my labors; of course the door bell rang, and a poor woman was announced.	true	84.32	93.7	23.497292
4899_32658_000004_000001	It is very sweet to follow Fenelon's counsel and give oneself to Christ in all these interruptions; but this time I said, "oh, dear!" before I thought.	It is very sweet to follow Fenelon's counsel and give oneself to Christ in all these interruptions; but this time I said, "oh, dear!" before I thought.	true	94.01	103.48	24.636961
4899_32658_000004_000002	Then I wished I hadn't, and went up, with a cheerful face at any rate, to my unwelcome visitor, who proved to be one of my aggravating poor folks-a great giant of a woman, in perfect health, and with a husband to support her if he will.	Then I wished I hadn't, and went up, with a cheerful face at any rate, to my unwelcome visitor, who proved to be one of my aggravating poor folks a great giant of a woman, in perfect health, and with a husband to support her if he will.	true	103.7	117.73	25.577175
4899_32658_000004_000003	I told her that I could do no more for her; she answered me rudely, and kept urging her claims.	I told her that I could do no more for her; she answered me rudely, and kept urging her claims.	true	118.04	123.82	25.02717
4899_32658_000004_000004	I felt ruffled; why should my time be thus frittered away, I asked myself.	I felt ruffled; why should my time be thus frittered away, I asked myself.	false	124.13	128.83	26.19691
4899_32658_000004_000005	At last she went off, abusing me in a way that chilled my heart.	At last she went off, abusing me in a way that chilled my heart.	true	129.2	133	22.592918
