4899_32658_000001_000000	XXIV.	twenty four.
4899_32658_000002_000000	MARCH 20.	march twentieth.
4899_32658_000003_000001	I had a busy day before me; the usual Saturday baking and Sunday dinner to oversee, the children's lessons for to-morrow to superintend and hear them repeat, their clean clothes to lay out, and a basket of stockings to mend.	I had a busy day before me; the usual Saturday baking and Sunday dinner to oversee, the children's lessons for to morrow to superintend and hear them repeat, their clean clothes to lay out, and a basket of stockings to mend.
4899_32658_000003_000002	My mind was somewhat distracted with these cares, and I found it a little difficult to keep on with my morning devotions in spite of them.	My mind was somewhat distracted with these cares, and I found it a little difficult to keep on with my morning devotions in spite of them.
4899_32658_000003_000003	But I have learned, at least, to face and fight such distractions, instead of running away from them as I used to do.	But I have learned, at least, to face and fight such distractions, instead of running away from them as I used to do.
4899_32658_000003_000004	My faith in prayer, my resort to it, becomes more and more the foundation of my life, and I believe, with one wiser and better than myself, that nothing but prayer stands between my soul and the best gifts of God; in other words, that I can and shall get what I ask for.	My faith in prayer, my resort to it, becomes more and more the foundation of my life, and I believe, with one wiser and better than myself, that nothing but prayer stands between my soul and the best gifts of God; in other words, that I can and shall get what I ask for.
4899_32658_000004_000000	I went down into the kitchen, put on my large baking apron, and began my labors; of course the door-bell rang, and a poor woman was announced.	I went down into the kitchen, put on my large baking apron, and began my labors; of course the door bell rang, and a poor woman was announced.
4899_32658_000004_000001	It is very sweet to follow Fenelon's counsel and give oneself to Christ in all these interruptions; but this time I said, "oh, dear!" before I thought.	It is very sweet to follow Fenelon's counsel and give oneself to Christ in all these interruptions; but this time I said, "oh, dear!" before I thought.
4899_32658_000004_000002	Then I wished I hadn't, and went up, with a cheerful face at any rate, to my unwelcome visitor, who proved to be one of my aggravating poor folks-a great giant of a woman, in perfect health, and with a husband to support her if he will.	Then I wished I hadn't, and went up, with a cheerful face at any rate, to my unwelcome visitor, who proved to be one of my aggravating poor folks a great giant of a woman, in perfect health, and with a husband to support her if he will.
4899_32658_000004_000003	I told her that I could do no more for her; she answered me rudely, and kept urging her claims.	I told her that I could do no more for her; she answered me rudely, and kept urging her claims.
4899_32658_000004_000005	At last she went off, abusing me in a way that chilled my heart.	At last she went off, abusing me in a way that chilled my heart.
