3482_170453_000009_000000	This is perhaps a fitting time to give some personal description of Miss Bronte.	This is perhaps a fitting time to give some personal description of Miss Bronte.
3482_170453_000009_000002	They were large and well shaped; their colour a reddish brown; but if the iris was closely examined, it appeared to be composed of a great variety of tints.	They were large and well shaped; their colour a reddish brown; but if the iris was closely examined, it appeared to be composed of a great variety of tints.
3482_170453_000009_000003	The usual expression was of quiet, listening intelligence; but now and then, on some just occasion for vivid interest or wholesome indignation, a light would shine out, as if some spiritual lamp had been kindled, which glowed behind those expressive orbs.	The usual expression was of quiet, listening intelligence; but now and then, on some just occasion for vivid interest or wholesome indignation, a light would shine out, as if some spiritual lamp had been kindled, which glowed behind those expressive orbs.
3482_170453_000009_000004	I never saw the like in any other human creature.	I never saw the like in any other human creature.
3482_170453_000009_000006	Her hands and feet were the smallest I ever saw; when one of the former was placed in mine, it was like the soft touch of a bird in the middle of my palm.	Her hands and feet were the smallest I ever saw; when one of the former was placed in mine, it was like the soft touch of a bird in the middle of my palm.
3482_170453_000009_000007	The delicate long fingers had a peculiar fineness of sensation, which was one reason why all her handiwork, of whatever kind--writing, sewing, knitting--was so clear in its minuteness.	The delicate long fingers had a peculiar fineness of sensation, which was one reason why all her handiwork, of whatever kind-writing, sewing, knitting-was so clear in its minuteness.
3482_170453_000009_000008	She was remarkably neat in her whole personal attire; but she was dainty as to the fit of her shoes and gloves.	She was remarkably neat in her whole personal attire; but she was dainty as to the fit of her shoes and gloves.
3482_170453_000010_000000	I can well imagine that the grave serious composure, which, when I knew her, gave her face the dignity of an old Venetian portrait, was no acquisition of later years, but dated from that early age when she found herself in the position of an elder sister to motherless children.	I can well imagine that the grave serious composure, which, when I knew her, gave her face the dignity of an old Venetian portrait, was no acquisition of later years, but dated from that early age when she found herself in the position of an elder sister to motherless children.
3482_170453_000011_000005	It is just such a neighbourhood as the monks loved, and traces of the old Plantagenet times are to be met with everywhere, side by side with the manufacturing interests of the West Riding of to-day.	It is just such a neighbourhood as the monks loved, and traces of the old Plantagenet times are to be met with everywhere, side by side with the manufacturing interests of the West Riding of to day.
3482_170453_000011_000010	Within six miles of Miss W---'s house--on the left of the road, coming from Leeds--lie the remains of Howley Hall, now the property of Lord Cardigan, but formerly belonging to a branch of the Saviles.	Within six miles of Miss W---'s house-on the left of the road, coming from Leeds-lie the remains of Howley Hall, now the property of Lord Cardigan, but formerly belonging to a branch of the Saviles.
3482_170453_000012_000001	These are to be seen in every direction, picturesque, many-gabled, with heavy stone carvings of coats of arms for heraldic ornament; belonging to decayed families, from whose ancestral lands field after field has been shorn away, by the urgency of rich manufacturers pressing hard upon necessity.	These are to be seen in every direction, picturesque, many gabled, with heavy stone carvings of coats of arms for heraldic ornament; belonging to decayed families, from whose ancestral lands field after field has been shorn away, by the urgency of rich manufacturers pressing hard upon necessity.
