3482_170453_000000_000000	THE WOUNDED STAG.	THE WOUNDED STAG.	false	0	1.65	100
3482_170453_000001_000000	Passing amid the deepest shade Of the wood's sombre heart, Last night I saw a wounded deer Laid lonely and apart.	Passing amid the deepest shade Of the wood's sombre heart, Last night I saw a wounded deer Laid lonely and apart.	false	1.65	9.36	21.71192
3482_170453_000002_000000	Such light as pierced the crowded boughs (Light scattered, scant and dim,) Passed through the fern that formed his couch And centred full on him.	Such light as pierced the crowded boughs (Light scattered, scant and dim,) Passed through the fern that formed his couch And centred full on him.	false	9.36	11.4	15.998762
3482_170453_000003_000000	Pain trembled in his weary limbs, Pain filled his patient eye, Pain-crushed amid the shadowy fern His branchy crown did lie.	Pain trembled in his weary limbs, Pain filled his patient eye, Pain crushed amid the shadowy fern His branchy crown did lie.	false	11.4	12.81	22.275574
3482_170453_000004_000000	Where were his comrades?	Where were his comrades?	false	12.81	13.41	-20
3482_170453_000004_000001	where his mate? All from his death-bed gone! And he, thus struck and desolate, Suffered and bled alone.	where his mate? All from his death bed gone! And he, thus struck and desolate, Suffered and bled alone.	false	13.41	16.23	21.642195
3482_170453_000005_000000	Did he feel what a man might feel, Friend-left, and sore distrest? Did Pain's keen dart, and Grief's sharp sting Strive in his mangled breast?	Did he feel what a man might feel, Friend left, and sore distrest? Did Pain's keen dart, and Grief's sharp sting Strive in his mangled breast?	false	16.23	18.84	22.713436
3482_170453_000006_000000	Did longing for affection lost Barb every deadly dart; Love unrepaid, and Faith betrayed, Did these torment his heart?	Did longing for affection lost Barb every deadly dart; Love unrepaid, and Faith betrayed, Did these torment his heart?	false	18.84	21.45	19.932667
3482_170453_000007_000000	No! leave to man his proper doom! These are the pangs that rise Around the bed of state and gloom, Where Adam's offspring dies!	No! leave to man his proper doom! These are the pangs that rise Around the bed of state and gloom, Where Adam's offspring dies!	false	21.45	28.545	21.64892
3482_170453_000008_000000	CHAPTER VI	CHAPTER six	false	28.545	31.95	20.642073
3482_170453_000009_000000	This is perhaps a fitting time to give some personal description of Miss Bronte.	This is perhaps a fitting time to give some personal description of Miss Bronte.	true	31.95	36.91	22
3482_170453_000009_000001	In 1831, she was a quiet, thoughtful girl, of nearly fifteen years of age, very small in figure--"stunted" was the word she applied to herself,--but as her limbs and head were in just proportion to the slight, fragile body, no word in ever so slight a degree suggestive of deformity could properly be applied to her; with soft, thick, brown hair, and peculiar eyes, of which I find it difficult to give a description, as they appeared to me in her later life.	In eighteen thirty one, she was a quiet, thoughtful girl, of nearly fifteen years of age, very small in figure-"stunted" was the word she applied to herself,--but as her limbs and head were in just proportion to the slight, fragile body, no word in ever so slight a degree suggestive of deformity could properly be applied to her; with soft, thick, brown hair, and peculiar eyes, of which I find it difficult to give a description, as they appeared to me in her later life.	false	37.34	69.1	22.24661
3482_170453_000009_000002	They were large and well shaped; their colour a reddish brown; but if the iris was closely examined, it appeared to be composed of a great variety of tints.	They were large and well shaped; their colour a reddish brown; but if the iris was closely examined, it appeared to be composed of a great variety of tints.	true	69.86	80.71	23.558577
3482_170453_000009_000003	The usual expression was of quiet, listening intelligence; but now and then, on some just occasion for vivid interest or wholesome indignation, a light would shine out, as if some spiritual lamp had been kindled, which glowed behind those expressive orbs.	The usual expression was of quiet, listening intelligence; but now and then, on some just occasion for vivid interest or wholesome indignation, a light would shine out, as if some spiritual lamp had been kindled, which glowed behind those expressive orbs.	true	81.23	97.48	20.925903
3482_170453_000009_000004	I never saw the like in any other human creature.	I never saw the like in any other human creature.	true	97.91	100.81	20.487192
3482_170453_000009_000005	As for the rest of her features, they were plain, large, and ill set; but, unless you began to catalogue them, you were hardly aware of the fact, for the eyes and power of the countenance over-balanced every physical defect; the crooked mouth and the large nose were forgotten, and the whole face arrested the attention, and presently attracted all those whom she herself would have cared to attract.	As for the rest of her features, they were plain, large, and ill set; but, unless you began to catalogue them, you were hardly aware of the fact, for the eyes and power of the countenance over balanced every physical defect; the crooked mouth and the large nose were forgotten, and the whole face arrested the attention, and presently attracted all those whom she herself would have cared to attract.	false	101.81	126.28	22.324873
3482_170453_000009_000006	Her hands and feet were the smallest I ever saw; when one of the former was placed in mine, it was like the soft touch of a bird in the middle of my palm.	Her hands and feet were the smallest I ever saw; when one of the former was placed in mine, it was like the soft touch of a bird in the middle of my palm.	true	127.34	136.18	22.52965
3482_170453_000009_000007	The delicate long fingers had a peculiar fineness of sensation, which was one reason why all her handiwork, of whatever kind--writing, sewing, knitting--was so clear in its minuteness.	The delicate long fingers had a peculiar fineness of sensation, which was one reason why all her handiwork, of whatever kind-writing, sewing, knitting-was so clear in its minuteness.	true	136.82	148.84	21.208328
3482_170453_000009_000008	She was remarkably neat in her whole personal attire; but she was dainty as to the fit of her shoes and gloves.	She was remarkably neat in her whole personal attire; but she was dainty as to the fit of her shoes and gloves.	true	149.06	155.92	24
3482_170453_000010_000000	I can well imagine that the grave serious composure, which, when I knew her, gave her face the dignity of an old Venetian portrait, was no acquisition of later years, but dated from that early age when she found herself in the position of an elder sister to motherless children.	I can well imagine that the grave serious composure, which, when I knew her, gave her face the dignity of an old Venetian portrait, was no acquisition of later years, but dated from that early age when she found herself in the position of an elder sister to motherless children.	true	157.28	175.96	20.903109
