2194_141248_000000_000000	XVIII	eighteen
2194_141248_000001_000001	The magter knocked him down and beat him into silence.	The magter knocked him down and beat him into silence.
2194_141248_000001_000003	Even if all life on the surface of the planet was dead, this would have no effect on the magter. They would go ahead as planned, without emotion or imagination enough to alter their set course.	Even if all life on the surface of the planet was dead, this would have no effect on the magter. They would go ahead as planned, without emotion or imagination enough to alter their set course.
2194_141248_000002_000000	As the technicians worked, their attitude changed from shocked numbness to anger.	As the technicians worked, their attitude changed from shocked numbness to anger.
2194_141248_000002_000001	Right and wrong were forgotten.	Right and wrong were forgotten.
2194_141248_000002_000003	Swiftly they brought their work to completion, with a speed and precision they had concealed before.	Swiftly they brought their work to completion, with a speed and precision they had concealed before.
2194_141248_000004_000002	They pushed it over to the latticework of the jump-field.	They pushed it over to the latticework of the jump field.
2194_141248_000007_000001	In spite of everything he had done to prevent it, Nyjord had dropped the bombs. And this act alone may have destroyed their own planet.	In spite of everything he had done to prevent it, Nyjord had dropped the bombs. And this act alone may have destroyed their own planet.
2194_141248_000007_000003	Should he? Should he save the lives of his killers?	Should he? Should he save the lives of his killers?
2194_141248_000007_000005	He literally had to do nothing.	He literally had to do nothing.
2194_141248_000007_000006	The score would be even, and his and the Disans' death avenged.	The score would be even, and his and the Disans' death avenged.
2194_141248_000010_000001	The caveman first had this feeling for his mate, then for his family.	The caveman first had this feeling for his mate, then for his family.
2194_141248_000010_000004	And beyond that to life of all kinds.	And beyond that to life of all kinds.
2194_141248_000011_000002	He pulled his gun out, and as he did he wondered what Ulv's answer might be.	He pulled his gun out, and as he did he wondered what Ulv's answer might be.
2194_141248_000012_000001	It struck one of the technicians, who gasped and fell to the floor.	It struck one of the technicians, who gasped and fell to the floor.
2194_141248_000013_000000	Brion's shots crashed into the control board, shorting and destroying it, removing the menace to Nyjord for all time.	Brion's shots crashed into the control board, shorting and destroying it, removing the menace to Nyjord for all time.
2194_141248_000014_000001	A life form that cooperates and aids other life forms.	A life form that cooperates and aids other life forms.
2194_141248_000014_000002	It may kill in self-defense, but it is essentially not a killer or destroyer.	It may kill in self defense, but it is essentially not a killer or destroyer.
2194_141248_000015_000000	With this realization came the painful knowledge that the planet and the people that had produced this understanding were dead.	With this realization came the painful knowledge that the planet and the people that had produced this understanding were dead.
2194_141248_000017_000004	A believer in life, he destroyed the anti-life.	A believer in life, he destroyed the anti life.
2194_141248_000018_000000	They retreated into the darkness, still firing.	They retreated into the darkness, still firing.
2194_141248_000019_000001	Let's find a spot we can defend and settle into it."	Let's find a spot we can defend and settle into it."
2194_141248_000021_000000	"Let's go!"	"Let's go!"
2194_141248_000022_000002	Once inside, they found cover behind a ridge and waited. The end was certain.	Once inside, they found cover behind a ridge and waited. The end was certain.
