340_124368_000000_000000	Yours as ever,	Yours as ever,	false	10.2	14.625	23.833885
340_124368_000001_000000	A. LINCOLN	A. LINCOLN	false	14.625	16.38	6
340_124368_000002_000000	1860	eighteen sixty	false	16.38	16.8	11
340_124368_000003_000000	SPEECH AT THE COOPER INSTITUTE, NEW YORK FEBRUARY 27, 1860	SPEECH AT THE COOPER INSTITUTE, NEW YORK february twenty seventh eighteen sixty	false	16.8	22.69	22.785652
340_124368_000004_000000	MR.	mr	true	23.3	23.73	35
340_124368_000004_000001	PRESIDENT AND FELLOW-CITIZENS OF NEW YORK:--The facts with which I shall deal this evening are mainly old and familiar; nor is there anything new in the general use I shall make of them.	PRESIDENT AND FELLOW CITIZENS OF NEW YORK:--The facts with which I shall deal this evening are mainly old and familiar; nor is there anything new in the general use I shall make of them.	true	23.73	35.14	18.171618
340_124368_000004_000002	If there shall be any novelty, it will be in the mode of presenting the facts, and the inferences and observations following that presentation.	If there shall be any novelty, it will be in the mode of presenting the facts, and the inferences and observations following that presentation.	true	35.36	44.01	18
340_124368_000005_000000	In his speech last autumn at Columbus, Ohio, as reported in the New York Times, Senator Douglas said:	In his speech last autumn at columbus ohio, as reported in the New York Times, Senator Douglas said:	false	44.01	51.25	20.095764
340_124368_000006_000000	"Our fathers, when they framed the Government under which we live, understood this question just as well, and even better than we do now."	"Our fathers, when they framed the Government under which we live, understood this question just as well, and even better than we do now."	true	51.56	59.92	18.613508
340_124368_000007_000000	I fully indorse this, and I adopt it as a text for this discourse.	I fully indorse this, and I adopt it as a text for this discourse.	true	61.07	65.5	18
340_124368_000007_000001	I so adopt it because it furnishes a precise and an agreed starting-point for a discussion between Republicans and that wing of the Democracy headed by Senator Douglas.	I so adopt it because it furnishes a precise and an agreed starting point for a discussion between Republicans and that wing of the Democracy headed by Senator Douglas.	false	65.9	75.52	16
340_124368_000007_000002	It simply leaves the inquiry: What was the understanding those fathers had of the question mentioned?	It simply leaves the inquiry: What was the understanding those fathers had of the question mentioned?	true	75.74	82	21.092329
340_124368_000008_000000	What is the frame of Government under which we live?	What is the frame of Government under which we live?	true	82.4	85.42	20.28302
340_124368_000009_000000	The answer must be--the Constitution of the United States.	The answer must be-the Constitution of the United States.	true	85.43	88.96	19.606184
340_124368_000009_000001	That Constitution consists of the original, framed in 1787 (and under which the present Government first went into operation), and twelve subsequently framed amendments, the first ten of which were framed in 1789.	That Constitution consists of the original, framed in seventeen eighty seven (and under which the present Government first went into operation), and twelve subsequently framed amendments, the first ten of which were framed in seventeen eighty nine.	true	89.66	103.42	19
340_124368_000010_000000	Who were our fathers that framed the Constitution?	Who were our fathers that framed the Constitution?	true	103.88	106.78	19.30339
340_124368_000010_000001	I suppose the "thirty-nine" who signed the original instrument may be fairly called our fathers who framed that part of the present Government.	I suppose the "thirty nine" who signed the original instrument may be fairly called our fathers who framed that part of the present Government.	true	106.82	114.7	18
340_124368_000010_000002	It is almost exactly true to say they framed it, and it is altogether true to say they fairly represented the opinion and sentiment of the whole nation at that time.	It is almost exactly true to say they framed it, and it is altogether true to say they fairly represented the opinion and sentiment of the whole nation at that time.	true	115.46	124.78	17
340_124368_000011_000000	Their names, being familiar to nearly all, and accessible to quite all, need not now be repeated.	Their names, being familiar to nearly all, and accessible to quite all, need not now be repeated.	true	125.51	132.04	21.13733
340_124368_000012_000000	I take these "thirty-nine," for the present, as being our "fathers who framed the Government under which we live."	I take these "thirty nine," for the present, as being our "fathers who framed the Government under which we live."	true	132.74	139.03	18
340_124368_000013_000000	What is the question which, according to the text, those fathers understood "just as well, and even better than we do now"?	What is the question which, according to the text, those fathers understood "just as well, and even better than we do now"?	true	139.49	147.1	18.742031
340_124368_000014_000000	It is this: Does the proper division of local from Federal authority, or anything in the Constitution, forbid our Federal Government to control as to slavery in our Federal Territories?	It is this: Does the proper division of local from Federal authority, or anything in the Constitution, forbid our Federal Government to control as to slavery in our Federal Territories?	true	147.5	160.15	18.938885
340_124368_000015_000000	Upon this Senator Douglas holds the affirmative, and Republicans the negative.	Upon this Senator Douglas holds the affirmative, and Republicans the negative.	true	161.78	166.42	18.957788
340_124368_000015_000001	This affirmation and denial form an issue, and this issue--this question is precisely what the text declares our fathers understood "better than we."	This affirmation and denial form an issue, and this issue-this question is precisely what the text declares our fathers understood "better than we."	true	167	176.44	20.44683
340_124368_000016_000000	Let us now inquire whether the "thirty-nine," or any of them, acted upon this question; and if they did, how they acted upon it--how they expressed that better understanding.	Let us now inquire whether the "thirty nine," or any of them, acted upon this question; and if they did, how they acted upon it-how they expressed that better understanding.	false	177.17	188.56	20.650011
340_124368_000017_000000	In 1784, three years before the Constitution--the United States then owning the Northwestern Territory, and no other--the Congress of the Confederation had before them the question of prohibiting slavery in that Territory; and four of the "thirty nine" who afterward framed the Constitution were in that Congress and voted on that question.	In seventeen eighty four, three years before the Constitution-the United States then owning the Northwestern Territory, and no other-the Congress of the Confederation had before them the question of prohibiting slavery in that Territory; and four of the "thirty nine" who afterward framed the Constitution were in that Congress and voted on that question.	true	189.89	212.23	17.977966
340_124368_000017_000001	Of these, Roger Sherman, Thomas Mifflin, and Hugh Williamson voted for the prohibition, thus showing that, in their understanding, no line dividing local from Federal authority, nor anything else, properly forbade the Federal Government to control as to slavery in Federal territory.	Of these, Roger Sherman, Thomas Mifflin, and Hugh Williamson voted for the prohibition, thus showing that, in their understanding, no line dividing local from Federal authority, nor anything else, properly forbade the Federal Government to control as to slavery in Federal territory.	false	212.75	231.43	18.609177
340_124368_000017_000002	The other of the four--James McHenry voted against the prohibition, showing that, for some cause, he thought it improper to vote for it.	The other of the four-james McHenry voted against the prohibition, showing that, for some cause, he thought it improper to vote for it.	true	231.56	239.98	20
340_124368_000018_000000	In 1787, still before the Constitution, but while the convention was in session framing it, and while the Northwestern Territory still was the only Territory owned by the United States, the same question of prohibiting slavery in the Territory again came before the Congress of the Confederation; and two more of the "thirty-nine" who afterward signed the Constitution were in that Congress, and voted on the question.	In seventeen eighty seven, still before the Constitution, but while the convention was in session framing it, and while the Northwestern Territory still was the only Territory owned by the United States, the same question of prohibiting slavery in the Territory again came before the Congress of the Confederation; and two more of the "thirty nine" who afterward signed the Constitution were in that Congress, and voted on the question.	false	240.89	265.33	17
340_124368_000018_000001	They were William Blount and William Few; and they both voted for the prohibition thus showing that, in their understanding, no line dividing local from Federal authority, nor anything else, properly forbade the Federal Government to control as to slavery in Federal territory.	They were William Blount and William Few; and they both voted for the prohibition thus showing that, in their understanding, no line dividing local from Federal authority, nor anything else, properly forbade the Federal Government to control as to slavery in Federal territory.	false	265.94	283.39	18.048494
340_124368_000018_000002	This time the prohibition became a law, being part of what is now well known as the Ordinance of '87.	This time the prohibition became a law, being part of what is now well known as the Ordinance of 'eighty seven.	true	283.76	290.32	17
340_124368_000019_000000	The question of Federal control of slavery in the Territories seems not to have been directly before the convention which framed the original Constitution; and hence it is not recorded that the "thirty-nine," or any of them, while engaged on that instrument, expressed any opinion on that precise question.	The question of Federal control of slavery in the Territories seems not to have been directly before the convention which framed the original Constitution; and hence it is not recorded that the "thirty nine," or any of them, while engaged on that instrument, expressed any opinion on that precise question.	false	291.44	309.61	18
