340_124368_000004_000000	MR.	mr
340_124368_000007_000002	It simply leaves the inquiry: What was the understanding those fathers had of the question mentioned?	It simply leaves the inquiry: What was the understanding those fathers had of the question mentioned?
340_124368_000008_000000	What is the frame of Government under which we live?	What is the frame of Government under which we live?
340_124368_000011_000000	Their names, being familiar to nearly all, and accessible to quite all, need not now be repeated.	Their names, being familiar to nearly all, and accessible to quite all, need not now be repeated.
340_124368_000015_000001	This affirmation and denial form an issue, and this issue--this question is precisely what the text declares our fathers understood "better than we."	This affirmation and denial form an issue, and this issue-this question is precisely what the text declares our fathers understood "better than we."
340_124368_000017_000002	The other of the four--James McHenry voted against the prohibition, showing that, for some cause, he thought it improper to vote for it.	The other of the four-james McHenry voted against the prohibition, showing that, for some cause, he thought it improper to vote for it.
340_124368_000020_000006	Fitzsimmons, William Few, Abraham Baldwin, Rufus King, William Paterson, George Claimer, Richard Bassett, George Read, Pierce Butler, Daniel Carroll, James Madison.	Fitzsimmons, William Few, Abraham Baldwin, Rufus King, William Paterson, George Claimer, Richard Bassett, George Read, Pierce Butler, Daniel Carroll, james Madison.
340_124368_000023_000003	Under these circumstances, Congress, on taking charge of these countries, did not absolutely prohibit slavery within them.	Under these circumstances, Congress, on taking charge of these countries, did not absolutely prohibit slavery within them.
340_124368_000023_000009	They all, probably, voted for it.	They all, probably, voted for it.
340_124368_000024_000000	In 1803, the Federal Government purchased the Louisiana country.	In eighteen o three, the Federal Government purchased the Louisiana country.
340_124368_000024_000002	In 1804, Congress gave a territorial organization to that part of it which now constitutes the State of Lousiana.	In eighteen o four, Congress gave a territorial organization to that part of it which now constitutes the State of Lousiana.
340_124368_000024_000003	New Orleans, lying within that part, was an old and comparatively large city.	New Orleans, lying within that part, was an old and comparatively large city.
340_124368_000025_000000	First.	First.
340_124368_000026_000000	Second.	Second.
340_124368_000029_000001	Many votes were taken, by yeas and nays, in both branches of Congress, upon the various phases of the general question.	Many votes were taken, by yeas and nays, in both branches of Congress, upon the various phases of the general question.
340_124368_000037_000003	The Supreme Court, in the Dred Scott case, plant themselves upon the fifth amendment, which provides that no person shall be deprived of "life, liberty, or property without due process of law"; while Senator Douglas and his peculiar adherents plant themselves upon the tenth amendment, providing that "the powers not delegated to the United States by the Constitution" "are reserved to the States respectively, or to the people."	The Supreme Court, in the Dred Scott case, plant themselves upon the fifth amendment, which provides that no person shall be deprived of "life, liberty, or property without due process of law"; while Senator Douglas and his peculiar adherents plant themselves upon the tenth amendment, providing that "the powers not delegated to the United States by the Constitution" "are reserved to the States respectively, or to the people."
340_124368_000043_000003	But he should, at the same time, brave the responsibility of declaring that, in his opinion, he understands their principles better than they did themselves; and especially should he not shirk that responsibility by asserting that they "understood the question just as well, and even better than we do now."	But he should, at the same time, brave the responsibility of declaring that, in his opinion, he understands their principles better than they did themselves; and especially should he not shirk that responsibility by asserting that they "understood the question just as well, and even better than we do now."
340_124368_000044_000002	This is all Republicans ask--all Republicans desire--in relation to slavery.	This is all Republicans ask-all Republicans desire-in relation to slavery.
340_124368_000046_000001	Still, when you speak of us Republicans, you do so only to denounce us as reptiles, or, at the best, as no better than outlaws.	Still, when you speak of us Republicans, you do so only to denounce us as reptiles, or, at the best, as no better than outlaws.
340_124368_000047_000001	We deny it.	We deny it.
340_124368_000047_000002	That makes an issue; and the burden of proof is upon you.	That makes an issue; and the burden of proof is upon you.
340_124368_000047_000012	If our principle, put in practice, would wrong your section for the benefit of ours, or for any other object, then our principle, and we with it, are sectional, and are justly opposed and denounced as such.	If our principle, put in practice, would wrong your section for the benefit of ours, or for any other object, then our principle, and we with it, are sectional, and are justly opposed and denounced as such.
340_124368_000047_000014	Do you accept the challenge?	Do you accept the challenge?
340_124368_000049_000002	We respect that warning of Washington, and we commend it to you, together with his example pointing to the right application of it.	We respect that warning of Washington, and we commend it to you, together with his example pointing to the right application of it.
340_124368_000050_000000	But you say you are conservative--eminently conservative--while we are revolutionary, destructive, or something, of the sort.	But you say you are conservative-eminently conservative-while we are revolutionary, destructive, or something, of the sort.
340_124368_000050_000001	What is conservatism?	What is conservatism?
340_124368_000051_000001	We deny it.	We deny it.
