8718_295445_000000_000000	WAYNE WHIPPLE.	WAYNE WHIPPLE.	false	6.93	19.095	27.267868
8718_295445_000001_000000	THE STORY OF YOUNG ABRAHAM LINCOLN	THE STORY OF YOUNG ABRAHAM LINCOLN	false	19.095	23.28	32.41768
8718_295445_000002_000000	CHAPTER I	CHAPTER one	true	23.28	24.4	23.569128
8718_295445_000003_000000	ABRAHAM LINCOLN'S FOREFATHERS	ABRAHAM LINCOLN'S FOREFATHERS	true	24.62	27.16	26.967745
8718_295445_000004_000000	Lincoln's grandfather, for whom he was named Abraham, was a distant cousin to Daniel Boone.	Lincoln's grandfather, for whom he was named Abraham, was a distant cousin to Daniel Boone.	true	27.71	34	24.579218
8718_295445_000004_000001	The Boones and the Lincolns had intermarried for generations.	The Boones and the Lincolns had intermarried for generations.	true	34.19	38.02	21.828325
8718_295445_000004_000002	The Lincolns were of good old English stock.	The Lincolns were of good old English stock.	true	38.15	41.11	27.031868
8718_295445_000004_000003	When he was President, Abraham Lincoln, who had never given much attention to the family pedigree, said that the history of his family was well described by a single line in Gray's "Elegy":	When he was President, Abraham Lincoln, who had never given much attention to the family pedigree, said that the history of his family was well described by a single line in Gray's "Elegy":	true	41.24	53.14	26.75629
8718_295445_000005_000000	"The short and simple annals of the poor."	"The short and simple annals of the poor."	true	53.33	56.44	28.19821
8718_295445_000006_000000	Yet Grandfather Abraham was wealthy for his day.	Yet Grandfather Abraham was wealthy for his day.	true	56.87	59.71	28.822372
8718_295445_000006_000001	He accompanied Boone from Virginia to Kentucky and lost his life there.	He accompanied Boone from Virginia to Kentucky and lost his life there.	true	60.23	64.69	25.700644
8718_295445_000006_000002	He had sacrificed part of his property to the pioneer spirit within him, and, with the killing of their father, his family lost the rest.	He had sacrificed part of his property to the pioneer spirit within him, and, with the killing of their father, his family lost the rest.	true	64.97	73.36	25.298397
8718_295445_000006_000003	They were "land poor" in the wilderness of the "Dark-and-Bloody-Ground"--the meaning of the Indian name, "Ken-tuc-kee."	They were "land poor" in the wilderness of the "Dark and Bloody Ground"--the meaning of the Indian name, "Ken t u c kee."	false	73.55	81.42	22.578299
8718_295445_000007_000000	Grandfather Lincoln had built a solid log cabin and cleared a field or two around it, near the Falls of the Ohio, about where Louisville now stands.	Grandfather Lincoln had built a solid log cabin and cleared a field or two around it, near the Falls of the Ohio, about where Louisville now stands.	true	81.42	91.51	25.269157
8718_295445_000007_000001	But, in the Summer of 1784, the tragic day dawned upon the Lincolns which has come to many a pioneer family in Kentucky and elsewhere.	But, in the Summer of seventeen eighty four, the tragic day dawned upon the Lincolns which has come to many a pioneer family in Kentucky and elsewhere.	true	91.88	101.08	24.079746
8718_295445_000007_000002	His son Thomas told this story to his children:	His son Thomas told this story to his children:	true	101.12	104.47	26.36957
8718_295445_000008_000000	HOW INDIANS KILLED "GRANDFATHER LINCOLN"	HOW INDIANS KILLED "GRANDFATHER LINCOLN"	true	104.99	107.86	25.574354
8718_295445_000009_000000	"My father--your grandfather, Abraham Lincoln--come over the mountains from Virginia with his cousin, Dan'l Boone.	"My father-your grandfather, Abraham Lincoln-come over the mountains from Virginia with his cousin, Dan'l Boone.	false	108.74	116.68	22.945633
8718_295445_000009_000001	He was rich for them times, as he had property worth seventeen thousand dollars; but Mr. Boone he told Father he could make a good deal more by trappin' and tradin' with the Injuns for valuable pelts, or fur skins.	He was rich for them times, as he had property worth seventeen thousand dollars; but mr Boone he told Father he could make a good deal more by trappin' and tradin' with the Injuns for valuable pelts, or fur skins.	true	116.72	129.52	24.472023
8718_295445_000010_000000	"You know, Dan'l Boone he had lived among the Injuns.	"You know, Dan'l Boone he had lived among the Injuns.	true	130.37	133.3	20.632954
8718_295445_000010_000001	He was a sure shot with the rifle so's he could beat the redskins at their own game.	He was a sure shot with the rifle so's he could beat the redskins at their own game.	true	133.55	138.73	23.200754
8718_295445_000010_000002	They took him a prisoner oncet, and instead of killin' him, they was about ready to make him chief--he pretended all the while as how he'd like that--when he got away from 'em.	They took him a prisoner oncet, and instead of killin' him, they was about ready to make him chief-he pretended all the while as how he'd like that-when he got away from 'em.	false	138.83	149.43	23.603823
8718_295445_000010_000003	He was such a good fellow that them Injuns admired his shrewdness, and they let him do about what he pleased.	He was such a good fellow that them Injuns admired his shrewdness, and they let him do about what he pleased.	true	149.43	155.475	22.679401
8718_295445_000010_000004	So he thought they'd let Father alone.	So he thought they'd let Father alone.	true	155.475	157.75	26.833387
8718_295445_000011_000000	"Well, your grandfather was a Quaker, you see, and believed in treatin' them red devils well--like William Penn done, you know.	"Well, your grandfather was a Quaker, you see, and believed in treatin' them red devils well-like William Penn done, you know.	true	158.09	165.25	23.631477
8718_295445_000011_000001	He was a man for peace and quiet, and everything was goin' smooth with the tribes of what we called the Beargrass Country, till one day, when he and my brothers, Mordecai--'Mord' was a big fellow for his age--and Josiah, a few years younger--was out in the clearin' with the oxen, haulin' logs down to the crick.	He was a man for peace and quiet, and everything was goin' smooth with the tribes of what we called the Beargrass Country, till one day, when he and my brothers, Mordecai-'Mord' was a big fellow for his age-and Josiah, a few years younger-was out in the clearin' with the oxen, haulin' logs down to the crick.	true	165.32	183.855	22.568075
8718_295445_000011_000002	I went along too, but I didn't help much--for I was only six.	I went along too, but I didn't help much-for I was only six.	true	183.855	187.84	25.998074
8718_295445_000012_000000	"Young as I was, I remember what happened that day like it was only yesterday.	"Young as I was, I remember what happened that day like it was only yesterday.	true	188.39	193.36	21.534252
8718_295445_000012_000001	It come like a bolt out of the blue.	It come like a bolt out of the blue.	true	193.58	196.08	26.72198
8718_295445_000012_000002	We see Father drop like he was shot--for he _was_ shot!	We see Father drop like he was shot-for he underscore was underscore shot!	false	196.08	200.08	24.987648
8718_295445_000012_000003	Then I heard the crack of a rifle and I saw a puff of smoke floatin' out o' the bushes.	Then I heard the crack of a rifle and I saw a puff of smoke floatin' out o' the bushes.	false	200.09	205.12	25.014956
8718_295445_000013_000000	"Injuns!" gasps Mord, and starts on the run for the house--to get his gun.	"Injuns!" gasps Mord, and starts on the run for the house-to get his gun.	true	205.25	210.73	20.583092
8718_295445_000013_000001	Josiah, he starts right off in the opposite direction to the Beargrass fort--we called it a fort, but it was nothin' but a stockade. The way we boys scattered was like a brood o' young turkeys, or pa'tridges, strikin' for cover when the old one is shot.	Josiah, he starts right off in the opposite direction to the Beargrass fort-we called it a fort, but it was nothin' but a stockade. The way we boys scattered was like a brood o' young turkeys, or pa'tridges, strikin' for cover when the old one is shot.	true	210.92	226.15	23.92518
8718_295445_000013_000002	I knowed I'd ought to run too, but I didn't want to leave my father layin' there on the ground.	I knowed I'd ought to run too, but I didn't want to leave my father layin' there on the ground.	true	226.22	231.22	23
8718_295445_000013_000003	Seemed like I'd ought to woke him up so he could run too. Yet I didn't feel like touchin' him.	Seemed like I'd ought to woke him up so he could run too. Yet I didn't feel like touchin' him.	true	231.32	237.285	28.172438
8718_295445_000013_000004	I think I must 'a' knowed he was dead.	I think I must 'a' knowed he was dead.	true	237.285	239.44	23.020876
8718_295445_000014_000000	"While I was standin' still, starin' like the oxen, not knowin' what to do, a big Injun come out o' the brush, with a big knife in his hand.	"While I was standin' still, starin' like the oxen, not knowin' what to do, a big Injun come out o' the brush, with a big knife in his hand.	false	239.87	248.77	23.605673
8718_295445_000014_000001	I knowed what he was goin' to do--skelp my father!	I knowed what he was goin' to do-skelp my father!	true	248.84	252.73	26.077536
8718_295445_000014_000002	I braced up to 'im to keep 'im away, an' he jist laffed at me.	I braced up to 'im to keep 'im away, an' he jist laffed at me.	false	252.77	257.2	22.81258
8718_295445_000014_000003	I never think what the devil looks like without seein' that red demon with his snaky black eyes, grinnin' at me!	I never think what the devil looks like without seein' that red demon with his snaky black eyes, grinnin' at me!	true	257.78	264.97	24.039194
8718_295445_000015_000000	TOM LINCOLN CHASED BY INDIANS	TOM LINCOLN CHASED BY INDIANS	true	265.61	268.57	30.37088
8718_295445_000016_000000	"He picked me up like I was a baby an set me on the sawlog, an' was turnin' back to skelp Father, when--biff!--another gun-crack--and Mr. Big Indian he drops jist like your grandfather did, only he wriggles and squirms around, bitin' the dust--like a big snake for all the world!	"He picked me up like I was a baby an set me on the sawlog, an' was turnin' back to skelp Father, when-biff!--another gun crack-and mr Big Indian he drops jist like your grandfather did, only he wriggles and squirms around, bitin' the dust-like a big snake for all the world!	false	269.36	288.97	23.654509
8718_295445_000017_000000	"I was standin' there, kind o' dazed, watchin' another puff o' white smoke, comin' out between two logs in the side of our house.	"I was standin' there, kind o' dazed, watchin' another puff o' white smoke, comin' out between two logs in the side of our house.	true	289.1	296.95	22.354647
8718_295445_000017_000001	Then I knowed 'Mord' had shot my Injun.	Then I knowed 'Mord' had shot my Injun.	true	297.08	299.58	21.623386
8718_295445_000017_000002	He had run in, got the gun down off'n the wall, an' peekin' out through a crack, he sees that Injun takin' hold o' me.	He had run in, got the gun down off'n the wall, an' peekin' out through a crack, he sees that Injun takin' hold o' me.	false	299.58	306.79	28.017866
8718_295445_000017_000003	Waitin' till the ol' demon turns away, so's not to hit me, 'Mord' he aims at a silver dangler on Mr. Injun's breast and makes him drop in his tracks like I said.	Waitin' till the ol' demon turns away, so's not to hit me, 'Mord' he aims at a silver dangler on mr Injun's breast and makes him drop in his tracks like I said.	true	306.95	317.14	20.154913
8718_295445_000017_000004	Your Uncle 'Mord' he was a sure shot--like Cousin Dan'l Boone.	Your Uncle 'Mord' he was a sure shot-like Cousin Dan'l Boone.	false	317.6	321.97	21.574293
8718_295445_000018_000000	"Then I hears the most blood-curdlin' yells, and a lot o' red devils jump out o' the bushes an' come for me brandishin' their tomahawks an' skelpin' knives.	"Then I hears the most blood curdlin' yells, and a lot o' red devils jump out o' the bushes an' come for me brandishin' their tomahawks an' skelpin' knives.	false	322.19	331.93	21
8718_295445_000018_000001	It was like hell broke loose.	It was like hell broke loose.	true	332	333.96	22.816544
8718_295445_000018_000002	They had been watchin' an', of course, 'twas all right to kill Father, but when 'Mord' killed one o' their bucks, that made a big difference.	They had been watchin' an', of course, 'twas all right to kill Father, but when 'Mord' killed one o' their bucks, that made a big difference.	true	333.96	341.76	24.801926
8718_295445_000018_000003	I had sense enough left to run for the house with them Injuns after me.	I had sense enough left to run for the house with them Injuns after me.	true	341.76	345.61	23.685362
8718_295445_000018_000004	Seemed like I couldn't run half as fast as usual, but I must 'a' made purty good time, from what 'Mord' an' Mother said afterward.	Seemed like I couldn't run half as fast as usual, but I must 'a' made purty good time, from what 'Mord' an' Mother said afterward.	true	345.68	353.23	25
8718_295445_000019_000000	"He said one was ahead o' the rest an' had his tomahawk raised to brain me with it when--bing!--an' 'Mord' fetches _him_ down like he did the fellow that was goin' to skelp Father.	"He said one was ahead o' the rest an' had his tomahawk raised to brain me with it when-bing!--an' 'Mord' fetches underscore him underscore down like he did the fellow that was goin' to skelp Father.	false	353.57	364.87	22.839579
8718_295445_000019_000001	That made the others mad an' they took after me, but 'Mord' he drops the head one jist when he's goin' to hit me.	That made the others mad an' they took after me, but 'Mord' he drops the head one jist when he's goin' to hit me.	true	364.97	371.17	23
8718_295445_000019_000002	But all I knowed at the time was that them red devils was a-chasin' me, and I'd got to 'leg it' for dear life!	But all I knowed at the time was that them red devils was a chasin' me, and I'd got to 'leg it' for dear life!	false	371.3	378.07	23.12817
8718_295445_000020_000000	"When I gits near enough to the house, I hears Mother and 'Mord' hollerin' to make me run faster and go to the door, for Mother had it open jist wide enough to reach out an' snatch me in--when the third Injun was stoopin' to grab me, but 'Mord' makes him bite the dust like the others.	"When I gits near enough to the house, I hears Mother and 'Mord' hollerin' to make me run faster and go to the door, for Mother had it open jist wide enough to reach out an' snatch me in-when the third Injun was stoopin' to grab me, but 'Mord' makes him bite the dust like the others.	false	378.74	395.5	24.064243
8718_295445_000021_000000	"My, but wasn't them Injuns mad!	"My, but wasn't them Injuns mad!	true	395.78	398.295	19.200949
8718_295445_000021_000001	Some of 'em sneaked around behind the house--they had to give 'Mord's' gun a wide berth to git there!--but he could only protect the front--and was a-settin' fire to our cabin to smoke us out or roast us alive, jist when the soldiers come with Josiah from the fort and saved our lives.	Some of 'em sneaked around behind the house-they had to give 'Mord's' gun a wide berth to git there!--but he could only protect the front-and was a settin' fire to our cabin to smoke us out or roast us alive, jist when the soldiers come with Josiah from the fort and saved our lives.	false	398.295	414.88	22.298826
8718_295445_000021_000002	Then the Injuns made 'emselves scurce--but they druv off the oxen and all our other stock.	Then the Injuns made 'emselves scurce-but they d r u v off the oxen and all our other stock.	false	414.95	420.88	24.074745
8718_295445_000022_000000	"MORD" LINCOLN, INDIAN FIGHTER	"MORD" LINCOLN, INDIAN FIGHTER	true	421.91	424.18	25.141787
8718_295445_000023_000000	"That was the breaking up of our family.	"That was the breaking up of our family.	true	424.76	427.155	25.26394
8718_295445_000023_000001	None of us boys was old enough to take Father's place, an' Mother she was afraid to live there alone. Accordin' to the laws o' Virginia--Kentucky belonged to Virginia then--the oldest son got all the proputty, so 'Mord' he gets it all.	None of us boys was old enough to take Father's place, an' Mother she was afraid to live there alone. Accordin' to the laws o' Virginia-Kentucky belonged to Virginia then-the oldest son got all the proputty, so 'Mord' he gets it all.	false	427.155	440.97	23.132446
8718_295445_000023_000002	He was welcome to it too, for he was the only one of us that could take care of it.	He was welcome to it too, for he was the only one of us that could take care of it.	true	440.97	445.51	21.88489
8718_295445_000023_000003	'Mord' he wasn't satisfied with killin' a few Injuns that day to revenge Father's death.	'Mord' he wasn't satisfied with killin' a few Injuns that day to revenge Father's death.	true	445.58	450.91	23.669476
8718_295445_000023_000004	He made a business of shootin' 'em on sight--a reg'lar Injun stalker!	He made a business of shootin' 'em on sight-a reg'lar Injun stalker!	true	450.95	455.77	21.828768
8718_295445_000023_000005	He couldn't see that he was jist as savage as the worst Injun, to murder 'em without waitin' to see whether Mr. Injun was a friend or a foe.	He couldn't see that he was jist as savage as the worst Injun, to murder 'em without waitin' to see whether mr Injun was a friend or a foe.	true	455.93	464.1	22
8718_295445_000024_000000	"Oncet when I told 'im there was good an' bad red men like they wuz good an' bad white men, he said I might jist as well say 'good _devil_' as 'good Injun!' He says 'the only good Injun's the dead Injun!'	"Oncet when I told 'im there was good an' bad red men like they w u z good an' bad white men, he said I might jist as well say 'good underscore devil underscore' as 'good Injun!' He says 'the only good Injun's the dead Injun!'	false	464.1	478.3	23.613512
8718_295445_000025_000000	"Well, the settlers must 'a' 'greed with 'Mord,' for they made him sheriff o' the county--he was sech a good shot, too--an' they 'lected him to the Legislatur' after Kentucky come in as a State.	"Well, the settlers must 'a' 'greed with 'Mord,' for they made him sheriff o' the county-he was sech a good shot, too-an' they 'lected him to the Legislatur' after Kentucky come in as a State.	false	478.73	491.08	23.006126
8718_295445_000025_000001	He stood high in the county.	He stood high in the county.	true	491.15	492.855	19.474333
8718_295445_000025_000002	Folks didn't mind his shootin' an' Injun or two, more or less, when he got the chancet.	Folks didn't mind his shootin' an' Injun or two, more or less, when he got the chancet.	true	492.855	497.38	23.084135
8718_295445_000025_000003	They all looked on redskins like they was catamounts an' other pesky varmints.	They all looked on redskins like they was catamounts an' other pesky varmints.	false	497.54	502.21	27.27911
8718_295445_000026_000000	"Your grandmother Lincoln an' Josiah an' me moved over into Washington County, but she had hard scrabblin' to git a livin'.	"Your grandmother Lincoln an' Josiah an' me moved over into Washington County, but she had hard scrabblin' to git a livin'.	false	502.91	510.01	22.637043
8718_295445_000026_000001	Josiah he stayed with her, an' between him an' 'Mord,' they helped her along, but I had to git out and scratch for a livin'.	Josiah he stayed with her, an' between him an' 'Mord,' they helped her along, but I had to git out and scratch for a livin'.	true	510.02	516.82	23.761856
8718_295445_000026_000002	From the time I was ten I was hired out to work for my 'keep,' an' anything else I could git.	From the time I was ten I was hired out to work for my 'keep,' an' anything else I could git.	false	516.92	522.63	25.474154
8718_295445_000026_000003	I knocked aroun' the country, doin' this, that an' t'other thing till I picked up carpenterin' o' Joseph Hanks, a cousin o' mine, an' there I met his sister Nancy, an' that's how she come to be your mother--an' 'bout how I come to be your father, too!"	I knocked aroun' the country, doin' this, that an' t'other thing till I picked up carpenterin' o' Joseph Hanks, a cousin o' mine, an' there I met his sister Nancy, an' that's how she come to be your mother-an' 'bout how I come to be your father, too!"	false	522.63	537.67	27.119122
8718_295445_000027_000000	Little is known today of Mordecai Lincoln, and there would be less interest in poor Thomas if he had not become the father of Abraham Lincoln, the sixteenth President of the United States.	Little is known today of Mordecai Lincoln, and there would be less interest in poor Thomas if he had not become the father of Abraham Lincoln, the sixteenth President of the United States.	true	538.37	549.43	24.015713
8718_295445_000027_000001	Mordecai Lincoln was a joker and humorist.	Mordecai Lincoln was a joker and humorist.	true	549.56	552.18	23.48754
8718_295445_000027_000002	One who knew him well said of him:	One who knew him well said of him:	true	552.18	554.26	20.17406
8718_295445_000028_000000	"He was a man of great drollery, and it would almost make you laugh to look at him.	"He was a man of great drollery, and it would almost make you laugh to look at him.	true	554.51	559.665	22.533798
8718_295445_000028_000001	I never saw but one other man whose quiet, droll look excited in me the disposition to laugh, and that was 'Artemus Ward.'	I never saw but one other man whose quiet, droll look excited in me the disposition to laugh, and that was 'Artemus Ward.'	true	559.665	566.98	22.911144
8718_295445_000029_000000	"Mordecai was quite a story-teller, and in this Abe resembled his 'Uncle Mord,' as we called him.	"Mordecai was quite a story teller, and in this Abe resembled his 'Uncle Mord,' as we called him.	true	567.2	572.71	23.359682
8718_295445_000029_000001	He was an honest man, as tender-hearted as a woman, and to the last degree charitable and benevolent.	He was an honest man, as tender hearted as a woman, and to the last degree charitable and benevolent.	true	572.78	578.95	22.7585
8718_295445_000030_000000	"Abe Lincoln had a very high opinion of his uncle, and on one occasion remarked, 'I have often said that Uncle Mord had run off with all the talents of the family.'"	"Abe Lincoln had a very high opinion of his uncle, and on one occasion remarked, 'I have often said that Uncle Mord had run off with all the talents of the family.'"	true	578.99	588.22	23.588104
8718_295445_000031_000000	In a letter about his family history, just before he was nominated for the presidency, Abraham Lincoln wrote:	In a letter about his family history, just before he was nominated for the presidency, Abraham Lincoln wrote:	true	589.22	596.14	24.615116
8718_295445_000032_000000	"My parents were both born in Virginia, of undistinguished families--second families, perhaps I should say.	"My parents were both born in Virginia, of undistinguished families-second families, perhaps I should say.	true	596.39	603.19	23.523188
8718_295445_000032_000001	My mother was of a family of the name of Hanks.	My mother was of a family of the name of Hanks.	true	603.2	606.13	24.187008
8718_295445_000032_000002	My paternal grandfather, Abraham Lincoln, emigrated from Rockingham County, Virginia, to Kentucky about 1781 or 2, where, a year or two later, he was killed by Indians--not in battle, but by stealth, when he was laboring to open a farm in the forest.	My paternal grandfather, Abraham Lincoln, emigrated from Rockingham county virginia, to Kentucky about seventeen eighty one or two, where, a year or two later, he was killed by Indians-not in battle, but by stealth, when he was laboring to open a farm in the forest.	true	606.41	623.62	25.67015
8718_295445_000032_000003	His ancestors, who were Quakers, went to Virginia from Berks County, Pennsylvania.	His ancestors, who were Quakers, went to Virginia from Berks County, Pennsylvania.	true	623.87	629.02	22.070347
8718_295445_000032_000004	An effort to identify them with the New England family of the same name ended in nothing more definite than a similarity of Christian names in both families, such as Enoch, Levi, Mordecai, Solomon, Abraham, and the like.	An effort to identify them with the New England family of the same name ended in nothing more definite than a similarity of Christian names in both families, such as Enoch, Levi, Mordecai, Solomon, Abraham, and the like.	true	629.3	644.2	25.242863
8718_295445_000033_000000	"My father, at the death of his father, was but six years of age; and he grew up, literally without education."	"My father, at the death of his father, was but six years of age; and he grew up, literally without education."	true	644.42	652.26	24.19104
8718_295445_000034_000000	CHAPTER II	CHAPTER two	false	652.26	652.47	15
8718_295445_000035_000000	ABRAHAM LINCOLN'S FATHER AND MOTHER	ABRAHAM LINCOLN'S FATHER AND MOTHER	false	652.47	653.43	25.777687
8718_295445_000036_000000	While Thomas Lincoln was living with a farmer and doing odd jobs of carpentering, he met Nancy Hanks, a tall, slender woman, with dark skin, dark brown hair and small, deep-set gray eyes.	While Thomas Lincoln was living with a farmer and doing odd jobs of carpentering, he met Nancy Hanks, a tall, slender woman, with dark skin, dark brown hair and small, deep set gray eyes.	false	653.43	653.79	24.486906
8718_295445_000036_000001	She had a full forehead, a sharp, angular face and a sad expression.	She had a full forehead, a sharp, angular face and a sad expression.	false	653.79	653.85	10
8718_295445_000036_000002	Yet her disposition was generally cheerful.	Yet her disposition was generally cheerful.	false	653.85	653.88	-12
8718_295445_000036_000003	For her backwoods advantages she was considered well educated.	For her backwoods advantages she was considered well educated.	false	653.88	653.94	6
8718_295445_000036_000004	She read well and could write, too.	She read well and could write, too.	false	653.94	653.97	-20
8718_295445_000036_000005	It is stated that Nancy Hanks taught Thomas Lincoln to write his own name.	It is stated that Nancy Hanks taught Thomas Lincoln to write his own name.	false	653.97	654.03	-20
8718_295445_000036_000006	Thomas was twenty-eight and Nancy twenty-three when their wedding day came. Christopher Columbus Graham, when almost one hundred years old, gave the following description of the marriage feast of the Lincoln bride and groom:	Thomas was twenty eight and Nancy twenty three when their wedding day came. Christopher Columbus Graham, when almost one hundred years old, gave the following description of the marriage feast of the Lincoln bride and groom:	false	654.03	658.77	17.256342
