8718_295445_000002_000000	CHAPTER I	CHAPTER one
8718_295445_000003_000000	ABRAHAM LINCOLN'S FOREFATHERS	ABRAHAM LINCOLN'S FOREFATHERS
8718_295445_000004_000000	Lincoln's grandfather, for whom he was named Abraham, was a distant cousin to Daniel Boone.	Lincoln's grandfather, for whom he was named Abraham, was a distant cousin to Daniel Boone.
8718_295445_000004_000001	The Boones and the Lincolns had intermarried for generations.	The Boones and the Lincolns had intermarried for generations.
8718_295445_000004_000002	The Lincolns were of good old English stock.	The Lincolns were of good old English stock.
8718_295445_000004_000003	When he was President, Abraham Lincoln, who had never given much attention to the family pedigree, said that the history of his family was well described by a single line in Gray's "Elegy":	When he was President, Abraham Lincoln, who had never given much attention to the family pedigree, said that the history of his family was well described by a single line in Gray's "Elegy":
8718_295445_000005_000000	"The short and simple annals of the poor."	"The short and simple annals of the poor."
8718_295445_000006_000000	Yet Grandfather Abraham was wealthy for his day.	Yet Grandfather Abraham was wealthy for his day.
8718_295445_000006_000001	He accompanied Boone from Virginia to Kentucky and lost his life there.	He accompanied Boone from Virginia to Kentucky and lost his life there.
8718_295445_000006_000002	He had sacrificed part of his property to the pioneer spirit within him, and, with the killing of their father, his family lost the rest.	He had sacrificed part of his property to the pioneer spirit within him, and, with the killing of their father, his family lost the rest.
8718_295445_000007_000000	Grandfather Lincoln had built a solid log cabin and cleared a field or two around it, near the Falls of the Ohio, about where Louisville now stands.	Grandfather Lincoln had built a solid log cabin and cleared a field or two around it, near the Falls of the Ohio, about where Louisville now stands.
8718_295445_000007_000001	But, in the Summer of 1784, the tragic day dawned upon the Lincolns which has come to many a pioneer family in Kentucky and elsewhere.	But, in the Summer of seventeen eighty four, the tragic day dawned upon the Lincolns which has come to many a pioneer family in Kentucky and elsewhere.
8718_295445_000007_000002	His son Thomas told this story to his children:	His son Thomas told this story to his children:
8718_295445_000008_000000	HOW INDIANS KILLED "GRANDFATHER LINCOLN"	HOW INDIANS KILLED "GRANDFATHER LINCOLN"
