7789_258266_000000_000000	When it was the Six Hundred and Eighty-fifth Night,	When it was the Six Hundred and Eighty fifth Night,	true	28.815	31.54	23.02238
7789_258266_000001_000000	She continued, It hath reached me, O auspicious King, that when Yunus the Scribe said to Walid, "Allah forbid I should repent over her!	She continued, It hath reached me, O auspicious King, that when Yunus the Scribe said to Walid, "Allah forbid I should repent over her!	true	31.7	40.45	24.875347
7789_258266_000001_000001	Had I made gift of her to the Prince, she were the least of gifts that are given to him, nor indeed is she worthy of his rank," Walid rejoined, "By Allah, but I repented me of having carried her away from thee and said to myself, 'This man is a stranger and knoweth me not, and I have taken him by surprise and acted inconsiderately by him, in my haste to take the damsel!' Dost thou recall what passed between us?" Quoth Yunus, "Yes!" and quoth Walid, "Dost thou sell this damsel to me for fifty thousand dirhams?" And Yunus said, "I do." Then the Prince called to one of his servants to bring him fifty thousand dirhams and a thousand and five hundred dinars to boot, and gave them all to Yunus, saying, "Take the slave's price: the thousand dinars are for thy fair opinion of us and the five hundred are for thy viaticum and for what present thou shalt buy for thy people.	Had I made gift of her to the Prince, she were the least of gifts that are given to him, nor indeed is she worthy of his rank," Walid rejoined, "By Allah, but I repented me of having carried her away from thee and said to myself, 'This man is a stranger and knoweth me not, and I have taken him by surprise and acted inconsiderately by him, in my haste to take the damsel!' Dost thou recall what passed between us?" Quoth Yunus, "Yes!" and quoth Walid, "Dost thou sell this damsel to me for fifty thousand dirhams?" And Yunus said, "I do." Then the Prince called to one of his servants to bring him fifty thousand dirhams and a thousand and five hundred dinars to boot, and gave them all to Yunus, saying, "Take the slave's price: the thousand dinars are for thy fair opinion of us and the five hundred are for thy viaticum and for what present thou shalt buy for thy people.	true	41.03	95.62	24.287746
7789_258266_000001_000002	Art thou content?"	Art thou content?"	true	95.78	97	30.913305
7789_258266_000001_000003	"I am content," answered Yunus and kissed his hands, saying, "By Allah, thou hast filled my eyes and my hands and my heart!" Quoth Walid, "By Allah, I have as yet had no privacy of her nor have I taken my fill of her singing.	"I am content," answered Yunus and kissed his hands, saying, "By Allah, thou hast filled my eyes and my hands and my heart!" Quoth Walid, "By Allah, I have as yet had no privacy of her nor have I taken my fill of her singing.	true	97.46	112.75	23.665152
7789_258266_000001_000004	Bring her to me!" So she came and he bade her sit, then said to her, "Sing." And she sang these verses,	Bring her to me!" So she came and he bade her sit, then said to her, "Sing." And she sang these verses,	true	112.94	120.61	24.258669
7789_258266_000002_000000	"O thou who dost comprise all Beauty's boons!	"O thou who dost comprise all Beauty's boons!	true	120.95	123.93	22.565287
7789_258266_000002_000001	* O sweet of nature, fain of coquetry! In Turks and Arabs many beauties dwell; * But, O my fawn, in none thy charms I see. Turn to thy lover, O my fair, and keep * Thy word, though but in visioned phantasy: Shame and disgrace are lawful for thy sake * And wakeful nights full fill with joy and glee: I'm not the first for thee who fared distraught; * Slain by thy love how many a many be! I am content with thee for worldly share * Dearer than life and good art thou to me!"	asterisk O sweet of nature, fain of coquetry! In Turks and Arabs many beauties dwell; asterisk But, O my fawn, in none thy charms I see. Turn to thy lover, O my fair, and keep asterisk Thy word, though but in visioned phantasy: Shame and disgrace are lawful for thy sake asterisk And wakeful nights full fill with joy and glee: I'm not the first for thee who fared distraught; asterisk Slain by thy love how many a many be! I am content with thee for worldly share asterisk Dearer than life and good art thou to me!"	false	123.93	158.74	25.543098
7789_258266_000003_000000	When he heard this, he was delighted exceedingly and praised Yunus for his excellent teaching of her and her fair education. Then he bade his servants bring him a roadster with saddle and housings for his riding, and a mule to carry his gear, and said to him, "O Yunus, when it shall reach thee that command hath come to me, do thou join me; and, by Allah, I will fill thy hands with good and advance thee to honour and make thee rich as long as thou livest!" So Yunus said, "I took his goods and went my ways; and when Walid succeeded to the Caliphate, I repaired to him; and by Allah, he kept his promise and entreated me with high honour and munificence.	When he heard this, he was delighted exceedingly and praised Yunus for his excellent teaching of her and her fair education. Then he bade his servants bring him a roadster with saddle and housings for his riding, and a mule to carry his gear, and said to him, "O Yunus, when it shall reach thee that command hath come to me, do thou join me; and, by Allah, I will fill thy hands with good and advance thee to honour and make thee rich as long as thou livest!" So Yunus said, "I took his goods and went my ways; and when Walid succeeded to the Caliphate, I repaired to him; and by Allah, he kept his promise and entreated me with high honour and munificence.	true	159.05	200.47	23.487843
7789_258266_000003_000001	Then I abode with him in all content of case and rise of rank and mine affairs prospered and my wealth increased and goods and farms became mine, such as sufficed me and will suffice my heirs after me; nor did I cease to abide with Walid, till he was slain, the mercy of Almighty Allah be on him!" And men tell a tale concerning	Then I abode with him in all content of case and rise of rank and mine affairs prospered and my wealth increased and goods and farms became mine, such as sufficed me and will suffice my heirs after me; nor did I cease to abide with Walid, till he was slain, the mercy of Almighty Allah be on him!" And men tell a tale concerning	true	201.26	223.12	23.81831
7789_258266_000004_000000	HARUN AL-RASHID AND THE ARAB GIRL.	HARUN AL RASHID AND THE ARAB GIRL.	true	223.79	226.09	24.13414
7789_258266_000005_000000	The Caliph Harun al-Rashid was walking one day with Ja'afar the Barmecide, when he espied a company of girls drawing water and went up to them, having a mind to drink.	The Caliph Harun al Rashid was walking one day with Ja'afar the Barmecide, when he espied a company of girls drawing water and went up to them, having a mind to drink.	false	226.58	235.93	24.39517
7789_258266_000005_000001	As he drew near, one of them turned to her fellows and improvised these lines,	As he drew near, one of them turned to her fellows and improvised these lines,	true	236.18	240.43	23.791248
7789_258266_000006_000000	"Thy phantom bid thou fleet, and fly * Far from the couch whereon I lie; So I may rest and quench the fire, * Bonfire in bones aye flaming high; My love-sick form Love's restless palm * Rolls o'er the rug whereon I sigh: How 'tis with me thou wottest well * How long, then, union wilt deny?"	"Thy phantom bid thou fleet, and fly asterisk Far from the couch whereon I lie; So I may rest and quench the fire, asterisk Bonfire in bones aye flaming high; My love sick form Love's restless palm asterisk Rolls o'er the rug whereon I sigh: How 'tis with me thou wottest well asterisk How long, then, union wilt deny?"	false	241.04	264.28	22.827236
7789_258266_000007_000000	The Caliph marvelled at her elegance and eloquence.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	The Caliph marvelled at her elegance and eloquence.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	true	265.04	273.28	25.830791
7789_258266_000008_000000	When it was the Six Hundred and Eighty-sixth Night,	When it was the Six Hundred and Eighty sixth Night,	true	273.86	277	25.472107
7789_258266_000009_000000	She resumed, It hath reached me, O auspicious King, that the Caliph, hearing the girl's verses, marvelled at her elegance and eloquence, and said to her, "O daughter of nobles, are these thine own or a quotation?" Replied she, "They are my very own," and he rejoined, "An thou say sooth keep the sense and change the rhyme." So she said,	She resumed, It hath reached me, O auspicious King, that the Caliph, hearing the girl's verses, marvelled at her elegance and eloquence, and said to her, "O daughter of nobles, are these thine own or a quotation?" Replied she, "They are my very own," and he rejoined, "An thou say sooth keep the sense and change the rhyme." So she said,	false	277.07	298.9	23.635601
