2592_5341_000001_000000	CHAPTER XV.	CHAPTER fifteen.
2592_5341_000002_000000	COMING HOME.	COMING HOME.
2592_5341_000003_000000	Miss Carlyle, having resolved upon her course, quitted her own house, and removed to East Lynne with Peter and her handmaidens.	Miss Carlyle, having resolved upon her course, quitted her own house, and removed to East Lynne with peter and her handmaidens.
2592_5341_000003_000001	In spite of Mr. Dill's grieved remonstrances, she discharged the servants whom Mr. Carlyle had engaged, all save one man.	In spite of mr Dill's grieved remonstrances, she discharged the servants whom mr Carlyle had engaged, all save one man.
2592_5341_000004_000000	On a Friday night, about a month after the wedding, Mr. Carlyle and his wife came home.	On a Friday night, about a month after the wedding, mr Carlyle and his wife came home.
2592_5341_000004_000001	They were expected, and Miss Carlyle went through the hall to receive them, and stood on the upper steps, between the pillars of the portico.	They were expected, and Miss Carlyle went through the hall to receive them, and stood on the upper steps, between the pillars of the portico.
2592_5341_000004_000002	An elegant chariot with four post-horses was drawing up.	An elegant chariot with four post horses was drawing up.
2592_5341_000004_000003	Miss Carlyle compressed her lips as she scanned it.	Miss Carlyle compressed her lips as she scanned it.
2592_5341_000004_000004	She was attired in a handsome dark silk dress and a new cap; her anger had had time to cool down in the last month, and her strong common sense told her that the wiser plan would be to make the best of it.	She was attired in a handsome dark silk dress and a new cap; her anger had had time to cool down in the last month, and her strong common sense told her that the wiser plan would be to make the best of it.
2592_5341_000004_000005	Mr. Carlyle came up the steps with Isabel.	mr Carlyle came up the steps with Isabel.
2592_5341_000005_000000	"You here, Cornelia!	"You here, Cornelia!
2592_5341_000005_000001	That was kind.	That was kind.
2592_5341_000005_000003	Isabel, this is my sister."	Isabel, this is my sister."
2592_5341_000006_000000	Lady Isabel put forth her hand, and Miss Carlyle condescended to touch the tips of her fingers.	Lady Isabel put forth her hand, and Miss Carlyle condescended to touch the tips of her fingers.
2592_5341_000006_000001	"I hope you are well, ma'am," she jerked out.	"I hope you are well, ma'am," she jerked out.
2592_5341_000007_000000	Mr. Carlyle left them together, and went back to search for some trifles which had been left in the carriage.	mr Carlyle left them together, and went back to search for some trifles which had been left in the carriage.
2592_5341_000007_000001	Miss Carlyle led the way to a sitting-room, where the supper-tray was laid.	Miss Carlyle led the way to a sitting room, where the supper tray was laid.
2592_5341_000008_000000	"Thank you.	"Thank you.
2592_5341_000008_000001	I will go to my rooms, but I do not require supper.	I will go to my rooms, but I do not require supper.
2592_5341_000009_000000	"Then what would you like to take?" asked Miss Corny.	"Then what would you like to take?" asked Miss Corny.
2592_5341_000010_000000	"Some tea, if you please, I am very thirsty."	"Some tea, if you please, I am very thirsty."
2592_5341_000011_000000	"Tea!" ejaculated Miss Corny.	"Tea!" ejaculated Miss Corny.
2592_5341_000011_000002	I don't know that they have boiling water.	I don't know that they have boiling water.
2592_5341_000011_000003	You'd never sleep a wink all night, ma'am, if you took tea at eleven o'clock."	You'd never sleep a wink all night, ma'am, if you took tea at eleven o'clock."
2592_5341_000012_000000	"Oh, then, never mind," replied Lady Isabel.	"Oh, then, never mind," replied Lady Isabel.
2592_5341_000012_000001	"It is of no consequence.	"It is of no consequence.
2592_5341_000012_000002	Do not let me give trouble."	Do not let me give trouble."
2592_5341_000013_000000	Miss Carlyle whisked out of the room; upon what errand was best known to herself; and in the hall she and Marvel came to an encounter.	Miss Carlyle whisked out of the room; upon what errand was best known to herself; and in the hall she and Marvel came to an encounter.
2592_5341_000013_000002	Marvel was very stylish, with five flounces to her dress, a veil, and a parasol.	Marvel was very stylish, with five flounces to her dress, a veil, and a parasol.
2592_5341_000013_000003	Meanwhile, Lady Isabel sat down and burst into bitter tears and sobs.	Meanwhile, Lady Isabel sat down and burst into bitter tears and sobs.
2592_5341_000013_000004	A chill had come over her; it did not seem like coming to East Lynne.	A chill had come over her; it did not seem like coming to East Lynne.
2592_5341_000013_000005	Mr. Carlyle entered and witnessed the grief.	mr Carlyle entered and witnessed the grief.
2592_5341_000014_000000	"Isabel!" he uttered in amazement, as he hastened up to her.	"Isabel!" he uttered in amazement, as he hastened up to her.
2592_5341_000014_000001	"My darling, what ails you?"	"My darling, what ails you?"
2592_5341_000015_000000	"I am tired, I think," she gently answered; "and coming into the house again made me think of papa.	"I am tired, I think," she gently answered; "and coming into the house again made me think of papa.
2592_5341_000015_000001	I should like to go to my rooms, Archibald, but I don't know which they are."	I should like to go to my rooms, Archibald, but I don't know which they are."
2592_5341_000016_000000	Neither did Mr. Carlyle know, but Miss Carlyle came whisking in again, and said: "The best rooms; those next the library.	Neither did mr Carlyle know, but Miss Carlyle came whisking in again, and said: "The best rooms; those next the library.
2592_5341_000016_000001	Should she go up with my lady?"	Should she go up with my lady?"
2592_5341_000017_000000	Mr. Carlyle preferred to go himself, and he held out his arm to Isabel.	mr Carlyle preferred to go himself, and he held out his arm to Isabel.
2592_5341_000017_000001	She drew her veil over her face as she passed Miss Carlyle.	She drew her veil over her face as she passed Miss Carlyle.
2592_5341_000018_000000	The branches were not lighted, and the room looked cold and comfortless.	The branches were not lighted, and the room looked cold and comfortless.
2592_5341_000018_000001	"Things seem all sixes and sevens in the house," remarked Mr. Carlyle.	"Things seem all sixes and sevens in the house," remarked mr Carlyle.
2592_5341_000018_000002	"I fancy the servants must have misunderstood my letter, and not have expected us until to-morrow night."	"I fancy the servants must have misunderstood my letter, and not have expected us until to morrow night."
2592_5341_000019_000000	On returning to the sitting-room Mr. Carlyle inquired the cause of the servants' negligence.	On returning to the sitting room mr Carlyle inquired the cause of the servants' negligence.
2592_5341_000020_000000	"I sent them away because they were superfluous encumbrances," hastily replied Miss Carlyle.	"I sent them away because they were superfluous encumbrances," hastily replied Miss Carlyle.
2592_5341_000020_000001	"We have four in the house, and my lady has brought a fine maid, I see, making five.	"We have four in the house, and my lady has brought a fine maid, I see, making five.
2592_5341_000020_000002	I have come up here to live."	I have come up here to live."
2592_5341_000021_000000	Mr. Carlyle felt checkmated.	mr Carlyle felt checkmated.
2592_5341_000021_000001	He had always bowed to the will of Miss Corny, but he had an idea that he and his wife should be better without her.	He had always bowed to the will of Miss Corny, but he had an idea that he and his wife should be better without her.
2592_5341_000021_000002	"And your house?" he exclaimed.	"And your house?" he exclaimed.
2592_5341_000022_000000	"I have let it furnished; the people enter to-day.	"I have let it furnished; the people enter to day.
2592_5341_000022_000002	There'll be enough expense without our keeping on two houses; and most people in your place would jump at the prospect of my living here.	There'll be enough expense without our keeping on two houses; and most people in your place would jump at the prospect of my living here.
2592_5341_000022_000003	Your wife will be mistress.	Your wife will be mistress.
2592_5341_000022_000004	I do not intend to take her honors from her; but I will save her a world of trouble in management--be as useful to her as a housekeeper.	I do not intend to take her honors from her; but I will save her a world of trouble in management-be as useful to her as a housekeeper.
2592_5341_000022_000005	She will be glad of that, inexperienced as she is.	She will be glad of that, inexperienced as she is.
2592_5341_000022_000006	I dare say she never gave a domestic order in her life."	I dare say she never gave a domestic order in her life."
2592_5341_000023_000000	This was a view of the case, to Mr. Carlyle, so plausibly put, that he began to think it might be all for the best.	This was a view of the case, to mr Carlyle, so plausibly put, that he began to think it might be all for the best.
2592_5341_000023_000002	Still he did not know.	Still he did not know.
2592_5341_000024_000000	"Did you buy that fine piano which has arrived?" angrily asked Miss Carlyle.	"Did you buy that fine piano which has arrived?" angrily asked Miss Carlyle.
2592_5341_000025_000000	"It was my present to Isabel."	"It was my present to Isabel."
2592_5341_000026_000000	Miss Corny groaned.	Miss Corny groaned.
2592_5341_000026_000001	"What did it cost?"	"What did it cost?"
2592_5341_000027_000001	The old piano here was a bad one, and I bought a better."	The old piano here was a bad one, and I bought a better."
2592_5341_000028_000000	"What did it cost?" repeated Miss Carlyle.	"What did it cost?" repeated Miss Carlyle.
2592_5341_000029_000001	Obedience to her will was yet powerful within him.	Obedience to her will was yet powerful within him.
2592_5341_000030_000000	Miss Corny threw up her hands and eyes.	Miss Corny threw up her hands and eyes.
2592_5341_000030_000001	But at that moment Peter entered with some hot water which his master had rung for.	But at that moment peter entered with some hot water which his master had rung for.
2592_5341_000030_000002	Mr. Carlyle rose and looked on the side-board.	mr Carlyle rose and looked on the side board.
