7766_109658_000000_000000	OUT OF NAZARETH	OUT OF NAZARETH	true	21.21	22.93	21.257402
7766_109658_000001_000000	Okochee, in Georgia, had a boom, and J. Pinkney Bloom came out of it with a "wad." Okochee came out of it with a half-million-dollar debt, a two and a half per cent. city property tax, and a city council that showed a propensity for traveling the back streets of the town.	Okochee, in Georgia, had a boom, and j Pinkney Bloom came out of it with a "wad." Okochee came out of it with a half million dollar debt, a two and a half per cent. city property tax, and a city council that showed a propensity for traveling the back streets of the town.	true	23.45	39.64	24.094536
7766_109658_000001_000001	These things came about through a fatal resemblance of the river Cooloosa to the Hudson, as set forth and expounded by a Northern tourist.	These things came about through a fatal resemblance of the river Cooloosa to the Hudson, as set forth and expounded by a Northern tourist.	true	39.74	48.03	24.058739
7766_109658_000001_000002	Okochee felt that New York should not be allowed to consider itself the only alligator in the swamp, so to speak.	Okochee felt that New York should not be allowed to consider itself the only alligator in the swamp, so to speak.	true	48.03	55	26.145325
7766_109658_000001_000003	And then that harmless, but persistent, individual so numerous in the South--the man who is always clamoring for more cotton mills, and is ready to take a dollar's worth of stock, provided he can borrow the dollar--that man added his deadly work to the tourist's innocent praise, and Okochee fell.	And then that harmless, but persistent, individual so numerous in the South-the man who is always clamoring for more cotton mills, and is ready to take a dollar's worth of stock, provided he can borrow the dollar-that man added his deadly work to the tourist's innocent praise, and Okochee fell.	true	55.01	73.66	24.167759
7766_109658_000002_000000	The Cooloosa River winds through a range of small mountains, passes Okochee and then blends its waters trippingly, as fall the mellifluous Indian syllables, with the Chattahoochee.	The Cooloosa River winds through a range of small mountains, passes Okochee and then blends its waters trippingly, as fall the mellifluous Indian syllables, with the Chattahoochee.	false	74.15	85.3	23.773317
7766_109658_000003_000000	Okochee rose, as it were, from its sunny seat on the post-office stoop, hitched up its suspender, and threw a granite dam two hundred and forty feet long and sixty feet high across the Cooloosa one mile above the town.	Okochee rose, as it were, from its sunny seat on the post office stoop, hitched up its suspender, and threw a granite dam two hundred and forty feet long and sixty feet high across the Cooloosa one mile above the town.	true	85.4	99.67	25.881111
7766_109658_000003_000001	Thereupon, a dimpling, sparkling lake backed up twenty miles among the little mountains.	Thereupon, a dimpling, sparkling lake backed up twenty miles among the little mountains.	true	99.71	104.52	24.226677
7766_109658_000003_000002	Thus in the great game of municipal rivalry did Okochee match that famous drawing card, the Hudson.	Thus in the great game of municipal rivalry did Okochee match that famous drawing card, the Hudson.	true	104.52	110.29	23
7766_109658_000003_000003	It was conceded that nowhere could the Palisades be judged superior in the way of scenery and grandeur.	It was conceded that nowhere could the Palisades be judged superior in the way of scenery and grandeur.	true	110.42	116.32	22.784752
7766_109658_000003_000004	Following the picture card was played the ace of commercial importance.	Following the picture card was played the ace of commercial importance.	false	116.36	120.79	26.46633
7766_109658_000003_000005	Fourteen thousand horsepower would this dam furnish.	Fourteen thousand horsepower would this dam furnish.	true	120.95	124.39	26.362158
7766_109658_000003_000006	Cotton mills, factories, and manufacturing plants would rise up as the green corn after a shower.	Cotton mills, factories, and manufacturing plants would rise up as the green corn after a shower.	true	124.46	132.01	24.607754
7766_109658_000003_000007	The spindle and the flywheel and turbine would sing the shrewd glory of Okochee.	The spindle and the flywheel and turbine would sing the shrewd glory of Okochee.	true	132.17	137.53	24.908346
7766_109658_000003_000008	Along the picturesque heights above the lake would rise in beauty the costly villas and the splendid summer residences of capital.	Along the picturesque heights above the lake would rise in beauty the costly villas and the splendid summer residences of capital.	true	137.69	145.36	23.722536
7766_109658_000003_000009	The naphtha launch of the millionaire would spit among the romantic coves; the verdured hills would take formal shapes of terrace, lawn, and park.	The naphtha launch of the millionaire would spit among the romantic coves; the verdured hills would take formal shapes of terrace, lawn, and park.	true	145.46	154.875	24.995176
7766_109658_000003_000010	Money would be spent like water in Okochee, and water would be turned into money.	Money would be spent like water in Okochee, and water would be turned into money.	false	154.875	159.76	22.701378
7766_109658_000004_000000	The fate of the good town is quickly told.	The fate of the good town is quickly told.	true	160.1	162.87	26.656977
7766_109658_000004_000001	Capital decided not to invest.	Capital decided not to invest.	true	162.87	165.43	24.183662
7766_109658_000004_000002	Of all the great things promised, the scenery alone came to fulfilment.	Of all the great things promised, the scenery alone came to fulfilment.	true	165.44	170.38	26.623058
7766_109658_000004_000003	The wooded peaks, the impressive promontories of solemn granite, the beautiful green slants of bank and ravine did all they could to reconcile Okochee to the delinquency of miserly gold.	The wooded peaks, the impressive promontories of solemn granite, the beautiful green slants of bank and ravine did all they could to reconcile Okochee to the delinquency of miserly gold.	true	170.51	183.69	23.90805
7766_109658_000004_000004	The sunsets gilded the dreamy draws and coves with a minting that should charm away heart-burning.	The sunsets gilded the dreamy draws and coves with a minting that should charm away heart burning.	true	183.69	189.73	21
7766_109658_000004_000005	Okochee, true to the instinct of its blood and clime, was lulled by the spell.	Okochee, true to the instinct of its blood and clime, was lulled by the spell.	true	189.86	194.97	23
7766_109658_000004_000006	It climbed out of the arena, loosed its suspender, sat down again on the post-office stoop, and took a chew.	It climbed out of the arena, loosed its suspender, sat down again on the post office stoop, and took a chew.	false	194.97	202.5	26.734156
7766_109658_000004_000007	It consoled itself by drawling sarcasms at the city council which was not to blame, causing the fathers, as has been said, to seek back streets and figure perspiringly on the sinking fund and the appropriation for interest due.	It consoled itself by drawling sarcasms at the city council which was not to blame, causing the fathers, as has been said, to seek back streets and figure perspiringly on the sinking fund and the appropriation for interest due.	false	202.5	217.51	22
7766_109658_000005_000000	The youth of Okochee--they who were to carry into the rosy future the burden of the debt--accepted failure with youth's uncalculating joy. For, here was sport, aquatic and nautical, added to the meagre round of life's pleasures.	The youth of Okochee-they who were to carry into the rosy future the burden of the debt-accepted failure with youth's uncalculating joy. For, here was sport, aquatic and nautical, added to the meagre round of life's pleasures.	false	217.76	232.36	24.304802
7766_109658_000005_000001	In yachting caps and flowing neckties they pervaded the lake to its limits.	In yachting caps and flowing neckties they pervaded the lake to its limits.	true	232.43	236.95	26.894999
7766_109658_000005_000002	Girls wore silk waists embroidered with anchors in blue and pink.	Girls wore silk waists embroidered with anchors in blue and pink.	true	237.14	241.485	24.66735
7766_109658_000005_000003	The trousers of the young men widened at the bottom, and their hands were proudly calloused by the oft-plied oar. Fishermen were under the spell of a deep and tolerant joy.	The trousers of the young men widened at the bottom, and their hands were proudly calloused by the oft plied oar. Fishermen were under the spell of a deep and tolerant joy.	true	241.485	252.225	25.003857
7766_109658_000005_000004	Sailboats and rowboats furrowed the lenient waves, popcorn and ice-cream booths sprang up about the little wooden pier.	Sailboats and rowboats furrowed the lenient waves, popcorn and ice cream booths sprang up about the little wooden pier.	true	252.225	260.32	25.111696
7766_109658_000005_000005	Two small excursion steamboats were built, and plied the delectable waters.	Two small excursion steamboats were built, and plied the delectable waters.	false	260.42	265.33	22.272232
7766_109658_000005_000006	Okochee philosophically gave up the hope of eating turtle soup with a gold spoon, and settled back, not ill content, to its regular diet of lotus and fried hominy. And out of this slow wreck of great expectations rose up J. Pinkney Bloom with his "wad" and his prosperous, cheery smile.	Okochee philosophically gave up the hope of eating turtle soup with a gold spoon, and settled back, not ill content, to its regular diet of lotus and fried hominy. And out of this slow wreck of great expectations rose up j Pinkney Bloom with his "wad" and his prosperous, cheery smile.	false	265.43	285.09	24.247221
7766_109658_000006_000000	Needless to say J. Pinkney was no product of Georgia soil.	Needless to say j Pinkney was no product of Georgia soil.	true	285.09	289.095	21
7766_109658_000006_000001	He came out of that flushed and capable region known as the "North." He called himself a "promoter"; his enemies had spoken of him as a "grafter"; Okochee took a middle course, and held him to be no better nor no worse than a "Yank."	He came out of that flushed and capable region known as the "North." He called himself a "promoter"; his enemies had spoken of him as a "grafter"; Okochee took a middle course, and held him to be no better nor no worse than a "Yank."	true	289.095	302.65	22
7766_109658_000007_000000	Far up the lake--eighteen miles above the town--the eye of this cheerful camp-follower of booms had spied out a graft.	Far up the lake-eighteen miles above the town-the eye of this cheerful camp follower of booms had spied out a graft.	true	302.72	311.085	23.644306
7766_109658_000007_000001	He purchased there a precipitous tract of five hundred acres at forty-five cents per acre; and this he laid out and subdivided as the city of Skyland--the Queen City of the Switzerland of the South.	He purchased there a precipitous tract of five hundred acres at forty five cents per acre; and this he laid out and subdivided as the city of Skyland-the Queen City of the Switzerland of the South.	true	311.085	324.015	24.572832
7766_109658_000007_000002	Streets and avenues were surveyed; parks designed; corners of central squares reserved for the "proposed" opera house, board of trade, lyceum, market, public schools, and "Exposition Hall." The price of lots ranged from five to five hundred dollars.	Streets and avenues were surveyed; parks designed; corners of central squares reserved for the "proposed" opera house, board of trade, lyceum, market, public schools, and "Exposition Hall." The price of lots ranged from five to five hundred dollars.	true	324.015	341.8	26
