7766_109658_000000_000000	OUT OF NAZARETH	OUT OF NAZARETH
7766_109658_000001_000000	Okochee, in Georgia, had a boom, and J. Pinkney Bloom came out of it with a "wad." Okochee came out of it with a half-million-dollar debt, a two and a half per cent. city property tax, and a city council that showed a propensity for traveling the back streets of the town.	Okochee, in Georgia, had a boom, and j Pinkney Bloom came out of it with a "wad." Okochee came out of it with a half million dollar debt, a two and a half per cent. city property tax, and a city council that showed a propensity for traveling the back streets of the town.
7766_109658_000001_000001	These things came about through a fatal resemblance of the river Cooloosa to the Hudson, as set forth and expounded by a Northern tourist.	These things came about through a fatal resemblance of the river Cooloosa to the Hudson, as set forth and expounded by a Northern tourist.
7766_109658_000001_000002	Okochee felt that New York should not be allowed to consider itself the only alligator in the swamp, so to speak.	Okochee felt that New York should not be allowed to consider itself the only alligator in the swamp, so to speak.
7766_109658_000001_000003	And then that harmless, but persistent, individual so numerous in the South--the man who is always clamoring for more cotton mills, and is ready to take a dollar's worth of stock, provided he can borrow the dollar--that man added his deadly work to the tourist's innocent praise, and Okochee fell.	And then that harmless, but persistent, individual so numerous in the South-the man who is always clamoring for more cotton mills, and is ready to take a dollar's worth of stock, provided he can borrow the dollar-that man added his deadly work to the tourist's innocent praise, and Okochee fell.
7766_109658_000003_000000	Okochee rose, as it were, from its sunny seat on the post-office stoop, hitched up its suspender, and threw a granite dam two hundred and forty feet long and sixty feet high across the Cooloosa one mile above the town.	Okochee rose, as it were, from its sunny seat on the post office stoop, hitched up its suspender, and threw a granite dam two hundred and forty feet long and sixty feet high across the Cooloosa one mile above the town.
7766_109658_000003_000001	Thereupon, a dimpling, sparkling lake backed up twenty miles among the little mountains.	Thereupon, a dimpling, sparkling lake backed up twenty miles among the little mountains.
7766_109658_000003_000002	Thus in the great game of municipal rivalry did Okochee match that famous drawing card, the Hudson.	Thus in the great game of municipal rivalry did Okochee match that famous drawing card, the Hudson.
7766_109658_000003_000003	It was conceded that nowhere could the Palisades be judged superior in the way of scenery and grandeur.	It was conceded that nowhere could the Palisades be judged superior in the way of scenery and grandeur.
7766_109658_000003_000005	Fourteen thousand horsepower would this dam furnish.	Fourteen thousand horsepower would this dam furnish.
7766_109658_000003_000006	Cotton mills, factories, and manufacturing plants would rise up as the green corn after a shower.	Cotton mills, factories, and manufacturing plants would rise up as the green corn after a shower.
7766_109658_000003_000007	The spindle and the flywheel and turbine would sing the shrewd glory of Okochee.	The spindle and the flywheel and turbine would sing the shrewd glory of Okochee.
7766_109658_000003_000008	Along the picturesque heights above the lake would rise in beauty the costly villas and the splendid summer residences of capital.	Along the picturesque heights above the lake would rise in beauty the costly villas and the splendid summer residences of capital.
7766_109658_000003_000009	The naphtha launch of the millionaire would spit among the romantic coves; the verdured hills would take formal shapes of terrace, lawn, and park.	The naphtha launch of the millionaire would spit among the romantic coves; the verdured hills would take formal shapes of terrace, lawn, and park.
7766_109658_000004_000000	The fate of the good town is quickly told.	The fate of the good town is quickly told.
7766_109658_000004_000001	Capital decided not to invest.	Capital decided not to invest.
7766_109658_000004_000002	Of all the great things promised, the scenery alone came to fulfilment.	Of all the great things promised, the scenery alone came to fulfilment.
7766_109658_000004_000003	The wooded peaks, the impressive promontories of solemn granite, the beautiful green slants of bank and ravine did all they could to reconcile Okochee to the delinquency of miserly gold.	The wooded peaks, the impressive promontories of solemn granite, the beautiful green slants of bank and ravine did all they could to reconcile Okochee to the delinquency of miserly gold.
7766_109658_000004_000004	The sunsets gilded the dreamy draws and coves with a minting that should charm away heart-burning.	The sunsets gilded the dreamy draws and coves with a minting that should charm away heart burning.
7766_109658_000004_000005	Okochee, true to the instinct of its blood and clime, was lulled by the spell.	Okochee, true to the instinct of its blood and clime, was lulled by the spell.
7766_109658_000005_000001	In yachting caps and flowing neckties they pervaded the lake to its limits.	In yachting caps and flowing neckties they pervaded the lake to its limits.
7766_109658_000005_000002	Girls wore silk waists embroidered with anchors in blue and pink.	Girls wore silk waists embroidered with anchors in blue and pink.
7766_109658_000005_000003	The trousers of the young men widened at the bottom, and their hands were proudly calloused by the oft-plied oar. Fishermen were under the spell of a deep and tolerant joy.	The trousers of the young men widened at the bottom, and their hands were proudly calloused by the oft plied oar. Fishermen were under the spell of a deep and tolerant joy.
7766_109658_000005_000004	Sailboats and rowboats furrowed the lenient waves, popcorn and ice-cream booths sprang up about the little wooden pier.	Sailboats and rowboats furrowed the lenient waves, popcorn and ice cream booths sprang up about the little wooden pier.
7766_109658_000006_000000	Needless to say J. Pinkney was no product of Georgia soil.	Needless to say j Pinkney was no product of Georgia soil.
7766_109658_000006_000001	He came out of that flushed and capable region known as the "North." He called himself a "promoter"; his enemies had spoken of him as a "grafter"; Okochee took a middle course, and held him to be no better nor no worse than a "Yank."	He came out of that flushed and capable region known as the "North." He called himself a "promoter"; his enemies had spoken of him as a "grafter"; Okochee took a middle course, and held him to be no better nor no worse than a "Yank."
7766_109658_000007_000000	Far up the lake--eighteen miles above the town--the eye of this cheerful camp-follower of booms had spied out a graft.	Far up the lake-eighteen miles above the town-the eye of this cheerful camp follower of booms had spied out a graft.
7766_109658_000007_000001	He purchased there a precipitous tract of five hundred acres at forty-five cents per acre; and this he laid out and subdivided as the city of Skyland--the Queen City of the Switzerland of the South.	He purchased there a precipitous tract of five hundred acres at forty five cents per acre; and this he laid out and subdivided as the city of Skyland-the Queen City of the Switzerland of the South.
