119_129515_000000_000000	"Suffer me to finish," he calmly continued.	"Suffer me to finish," he calmly continued.	false	0	2.22	18.57528
119_129515_000000_000001	"I have looked at the question in all its bearings, I have resolutely attacked it, and by incontrovertible calculations I find that a projectile endowed with an initial velocity of 12,000 yards per second, and aimed at the moon, must necessarily reach it.	"I have looked at the question in all its bearings, I have resolutely attacked it, and by incontrovertible calculations I find that a projectile endowed with an initial velocity of twelve thousand yards per second, and aimed at the moon, must necessarily reach it.	false	2.22	13.29	21.373137
119_129515_000000_000002	I have the honor, my brave colleagues, to propose a trial of this little experiment."	I have the honor, my brave colleagues, to propose a trial of this little experiment."	false	13.29	15.93	17.466333
119_129515_000001_000000	CHAPTER III	CHAPTER three	true	15.93	16.87	22.137743
119_129515_000002_000000	EFFECT OF THE PRESIDENT'S COMMUNICATION	EFFECT OF THE PRESIDENT'S COMMUNICATION	true	17	19.42	21.505661
119_129515_000003_000000	It is impossible to describe the effect produced by the last words of the honorable president-- the cries, the shouts, the succession of roars, hurrahs, and all the varied vociferations which the American language is capable of supplying.	It is impossible to describe the effect produced by the last words of the honorable president- the cries, the shouts, the succession of roars, hurrahs, and all the varied vociferations which the American language is capable of supplying.	true	19.85	34.24	19.538162
119_129515_000003_000001	It was a scene of indescribable confusion and uproar.	It was a scene of indescribable confusion and uproar.	true	34.43	37.87	21
119_129515_000003_000002	They shouted, they clapped, they stamped on the floor of the hall.	They shouted, they clapped, they stamped on the floor of the hall.	false	38	42.15	20.10215
119_129515_000003_000003	All the weapons in the museum discharged at once could not have more violently set in motion the waves of sound.	All the weapons in the museum discharged at once could not have more violently set in motion the waves of sound.	true	42.15	48.79	16
119_129515_000003_000004	One need not be surprised at this. There are some cannoneers nearly as noisy as their own guns.	One need not be surprised at this. There are some cannoneers nearly as noisy as their own guns.	true	48.89	54.7	19.97676
119_129515_000004_000000	Barbicane remained calm in the midst of this enthusiastic clamor; perhaps he was desirous of addressing a few more words to his colleagues, for by his gestures he demanded silence, and his powerful alarum was worn out by its violent reports. No attention, however, was paid to his request.	Barbicane remained calm in the midst of this enthusiastic clamor; perhaps he was desirous of addressing a few more words to his colleagues, for by his gestures he demanded silence, and his powerful alarum was worn out by its violent reports. No attention, however, was paid to his request.	false	54.92	72.01	19.464405
119_129515_000004_000001	He was presently torn from his seat and passed from the hands of his faithful colleagues into the arms of a no less excited crowd.	He was presently torn from his seat and passed from the hands of his faithful colleagues into the arms of a no less excited crowd.	true	72.14	79.18	19
119_129515_000005_000000	Nothing can astound an American.	Nothing can astound an American.	true	79.4	81.285	18
119_129515_000005_000001	It has often been asserted that the word "impossible" in not a French one.	It has often been asserted that the word "impossible" in not a French one.	false	81.285	84.85	20
119_129515_000005_000002	People have evidently been deceived by the dictionary.	People have evidently been deceived by the dictionary.	true	84.86	87.88	21.553326
119_129515_000005_000003	In America, all is easy, all is simple; and as for mechanical difficulties, they are overcome before they arise.	In America, all is easy, all is simple; and as for mechanical difficulties, they are overcome before they arise.	true	87.98	95.2	21.638227
119_129515_000005_000004	Between Barbicane's proposition and its realization no true Yankee would have allowed even the semblance of a difficulty to be possible.	Between Barbicane's proposition and its realization no true Yankee would have allowed even the semblance of a difficulty to be possible.	true	95.33	102.67	18.944546
119_129515_000005_000005	A thing with them is no sooner said than done.	A thing with them is no sooner said than done.	true	102.86	106	18
119_129515_000006_000000	The triumphal progress of the president continued throughout the evening.	The triumphal progress of the president continued throughout the evening.	true	106.22	109.75	19
119_129515_000006_000001	It was a regular torchlight procession.	It was a regular torchlight procession.	true	110	112.21	19.71785
119_129515_000006_000002	Irish, Germans, French, Scotch, all the heterogeneous units which make up the population of Maryland shouted in their respective vernaculars; and the "vivas," "hurrahs," and "bravos" were intermingled in inexpressible enthusiasm.	Irish, Germans, French, Scotch, all the heterogeneous units which make up the population of Maryland shouted in their respective vernaculars; and the "vivas," "hurrahs," and "bravos" were intermingled in inexpressible enthusiasm.	false	112.31	127.63	18.931581
119_129515_000007_000000	Just at this crisis, as though she comprehended all this agitation regarding herself, the moon shone forth with serene splendor, eclipsing by her intense illumination all the surrounding lights.	Just at this crisis, as though she comprehended all this agitation regarding herself, the moon shone forth with serene splendor, eclipsing by her intense illumination all the surrounding lights.	true	128.27	140.17	19.236122
119_129515_000007_000001	The Yankees all turned their gaze toward her resplendent orb, kissed their hands, called her by all kinds of endearing names.	The Yankees all turned their gaze toward her resplendent orb, kissed their hands, called her by all kinds of endearing names.	true	140.42	148.335	20.697878
119_129515_000007_000002	Between eight o'clock and midnight one optician in Jones'-Fall Street made his fortune by the sale of opera-glasses.	Between eight o'clock and midnight one optician in Jones'-Fall Street made his fortune by the sale of opera glasses.	true	148.335	155.26	19.59254
119_129515_000008_000000	Midnight arrived, and the enthusiasm showed no signs of diminution. It spread equally among all classes of citizens-- men of science, shopkeepers, merchants, porters, chair-men, as well as "greenhorns," were stirred in their innermost fibres.	Midnight arrived, and the enthusiasm showed no signs of diminution. It spread equally among all classes of citizens- men of science, shopkeepers, merchants, porters, chair men, as well as "greenhorns," were stirred in their innermost fibres.	true	155.63	171.88	19.202997
119_129515_000008_000001	A national enterprise was at stake.	A national enterprise was at stake.	true	171.95	174.37	19.050465
119_129515_000008_000002	The whole city, high and low, the quays bordering the Patapsco, the ships lying in the basins, disgorged a crowd drunk with joy, gin, and whisky.	The whole city, high and low, the quays bordering the Patapsco, the ships lying in the basins, disgorged a crowd drunk with joy, gin, and whisky.	true	174.41	185.11	19.84239
119_129515_000008_000003	Every one chattered, argued, discussed, disputed, applauded, from the gentleman lounging upon the barroom settee with his tumbler of sherry-cobbler before him down to the waterman who got drunk upon his "knock-me-down" in the dingy taverns of Fell Point.	Every one chattered, argued, discussed, disputed, applauded, from the gentleman lounging upon the barroom settee with his tumbler of sherry cobbler before him down to the waterman who got drunk upon his "knock me down" in the dingy taverns of Fell Point.	false	185.33	201.67	18
119_129515_000009_000000	About two A.M., however, the excitement began to subside. President Barbicane reached his house, bruised, crushed, and squeezed almost to a mummy.	About two a m, however, the excitement began to subside. President Barbicane reached his house, bruised, crushed, and squeezed almost to a mummy.	true	201.92	211.15	20
119_129515_000009_000001	Hercules could not have resisted a similar outbreak of enthusiasm.	Hercules could not have resisted a similar outbreak of enthusiasm.	true	211.37	215.05	18
119_129515_000009_000002	The crowd gradually deserted the squares and streets.	The crowd gradually deserted the squares and streets.	true	215.09	218.175	18.955547
119_129515_000009_000003	The four railways from Philadelphia and Washington, Harrisburg and Wheeling, which converge at Baltimore, whirled away the heterogeneous population to the four corners of the United States, and the city subsided into comparative tranquility.	The four railways from Philadelphia and Washington, Harrisburg and Wheeling, which converge at Baltimore, whirled away the heterogeneous population to the four corners of the United States, and the city subsided into comparative tranquility.	true	218.175	231.49	19
119_129515_000010_000000	On the following day, thanks to the telegraphic wires, five hundred newspapers and journals, daily, weekly, monthly, or bi-monthly, all took up the question.	On the following day, thanks to the telegraphic wires, five hundred newspapers and journals, daily, weekly, monthly, or bi-monthly, all took up the question.	false	231.68	241.06	21.886711
119_129515_000010_000001	They examined it under all its different aspects, physical, meteorological, economical, or moral, up to its bearings on politics or civilization. They debated whether the moon was a finished world, or whether it was destined to undergo any further transformation.	They examined it under all its different aspects, physical, meteorological, economical, or moral, up to its bearings on politics or civilization. They debated whether the moon was a finished world, or whether it was destined to undergo any further transformation.	false	241.19	256.65	20
119_129515_000010_000002	Did it resemble the earth at the period when the latter was destitute as yet of an atmosphere?	Did it resemble the earth at the period when the latter was destitute as yet of an atmosphere?	false	256.65	261.82	19.876997
119_129515_000010_000003	What kind of spectacle would its hidden hemisphere present to our terrestrial spheroid?	What kind of spectacle would its hidden hemisphere present to our terrestrial spheroid?	true	261.98	266.32	21
119_129515_000010_000004	Granting that the question at present was simply that of sending a projectile up to the moon, every one must see that that involved the commencement of a series of experiments.	Granting that the question at present was simply that of sending a projectile up to the moon, every one must see that that involved the commencement of a series of experiments.	false	266.48	276.52	20.297062
119_129515_000010_000005	All must hope that some day America would penetrate the deepest secrets of that mysterious orb; and some even seemed to fear lest its conquest should not sensibly derange the equilibrium of Europe.	All must hope that some day America would penetrate the deepest secrets of that mysterious orb; and some even seemed to fear lest its conquest should not sensibly derange the equilibrium of Europe.	false	276.62	288.55	20
119_129515_000011_000000	The project once under discussion, not a single paragraph suggested a doubt of its realization.	The project once under discussion, not a single paragraph suggested a doubt of its realization.	false	288.77	294.85	20
119_129515_000011_000001	All the papers, pamphlets, reports-- all the journals published by the scientific, literary, and religious societies enlarged upon its advantages; and the Society of Natural History of Boston, the Society of Science and Art of Albany, the Geographical and Statistical Society of New York, the Philosophical Society of Philadelphia, and the Smithsonian of Washington sent innumerable letters of congratulation to the Gun Club, together with offers of immediate assistance and money.	All the papers, pamphlets, reports- all the journals published by the scientific, literary, and religious societies enlarged upon its advantages; and the Society of Natural History of Boston, the Society of Science and Art of Albany, the Geographical and Statistical Society of New York, the Philosophical Society of Philadelphia, and the Smithsonian of Washington sent innumerable letters of congratulation to the Gun Club, together with offers of immediate assistance and money.	false	294.98	323.59	19
119_129515_000012_000000	From that day forward Impey Barbicane became one of the greatest citizens of the United States, a kind of Washington of science. A single trait of feeling, taken from many others, will serve to show the point which this homage of a whole people to a single individual attained.	From that day forward Impey Barbicane became one of the greatest citizens of the United States, a kind of Washington of science. A single trait of feeling, taken from many others, will serve to show the point which this homage of a whole people to a single individual attained.	true	323.99	340.26	20.024439
119_129515_000013_000000	Some few days after this memorable meeting of the Gun Club, the manager of an English company announced, at the Baltimore theatre, the production of "Much ado about Nothing." But the populace, seeing in that title an allusion damaging to Barbicane's project, broke into the auditorium, smashed the benches, and compelled the unlucky director to alter his playbill. Being a sensible man, he bowed to the public will and replaced the offending comedy by "As you like it"; and for many weeks he realized fabulous profits.	Some few days after this memorable meeting of the Gun Club, the manager of an English company announced, at the Baltimore theatre, the production of "Much ado about Nothing." But the populace, seeing in that title an allusion damaging to Barbicane's project, broke into the auditorium, smashed the benches, and compelled the unlucky director to alter his playbill. Being a sensible man, he bowed to the public will and replaced the offending comedy by "As you like it"; and for many weeks he realized fabulous profits.	false	340.26	374.88	19.739971
