711_187464_000000_000000	[128-1]	[one hundred twenty eight to one]	false	0	2.43	16.327799
711_187464_000000_000001	This suggests the Fijian _Nanga_, or 'bed of the ancestors,' a cult introduced by native castaways many generations ago.	This suggests the Fijian underscore Nanga underscore, or 'bed of the ancestors,' a cult introduced by native castaways many generations ago.	false	2.43	10.83	12
711_187464_000000_000002	These castaways may have been Polynesians.	These castaways may have been Polynesians.	false	10.83	12.09	11.3652525
711_187464_000001_000000	[129-1] Savaii in the Samoa group.	[one hundred twenty nine to one] Savaii in the Samoa group.	false	12.09	13.92	12
711_187464_000001_000001	See p. 49 _ante_.	See p. forty nine underscore ante underscore.	false	13.92	14.28	10
711_187464_000002_000000	[129-2]	[one hundred twenty nine to two]	false	14.28	14.58	7
711_187464_000002_000001	It is known by its native name, Tutuila.	It is known by its native name, Tutuila.	false	14.58	15	10
711_187464_000003_000000	[132-1] A mistake.	[one hundred thirty two to one] A mistake.	false	15	15.57	6
711_187464_000003_000001	Hayward visited Huapai only.	Hayward visited Huapai only.	false	15.57	16.08	9
711_187464_000004_000000	[133-1] Tasman visited Namuka in 1642.	[one hundred thirty three to one] Tasman visited Namuka in sixteen forty two.	false	16.08	18.48	10
711_187464_000005_000000	[135-1] Fatafehi.	[one hundred thirty five to one] Fatafehi.	false	18.48	20.04	18.339392
711_187464_000006_000000	CHAP.	CHAP.	false	20.04	20.04	
711_187464_000006_000001	III.	three.	true	20.04	20.625	7
711_187464_000007_000000	VOYAGE FROM ANAMOOKA, WITH AN ACCOUNT OF THE LOSS OF THE _PANDORA_.	VOYAGE FROM a n a m o o k a, WITH AN ACCOUNT OF THE LOSS OF THE underscore PANDORA underscore.	false	20.625	26.07	13
711_187464_000008_000000	THE wind not permitting us to visit Tongataboo, we proceeded to Catooa and Navigator's Isles, the loss of our tender having prevented us from doing it before, and endeavoured to fall in with the eastermost of these islands.	THE wind not permitting us to visit Tongataboo, we proceeded to Catooa and Navigator's Isles, the loss of our tender having prevented us from doing it before, and endeavoured to fall in with the eastermost of these islands.	false	26.07	40.53	9
711_187464_000009_000000	On the morning of the 12th of July, we discovered a cluster of islands in the N.W. quarter; but the wind being favourable for us, left examining of them till our return to the Friendly Isles.[136-1] On the 14th, in the forenoon, saw three isles, supposed to be the cluster of isles called by Bougainville Navigator's Isles.	On the morning of the twelfth of July, we discovered a cluster of islands in the n w quarter; but the wind being favourable for us, left examining of them till our return to the Friendly Isles.[one hundred thirty six to one] On the fourteenth, in the forenoon, saw three isles, supposed to be the cluster of isles called by Bougainville Navigator's Isles.	false	40.53	61.66	8
