8190_284434_000000_000000	[Illustration]	[Illustration]	false	14.4	14.88	12
8190_284434_000001_000000	[Illustration]	[Illustration]	false	14.88	25.935	20.85038
8190_284434_000002_000000	BUTTON-BRIGHT ENCOUNTERS THE BLUE WOLF	BUTTON BRIGHT ENCOUNTERS THE BLUE WOLF	true	25.935	28.38	18
8190_284434_000003_000000	CHAPTER 11.	CHAPTER eleven.	false	28.38	30.15	12.494224
8190_284434_000004_000000	A low, fierce growl greeted him.	A low, fierce growl greeted him.	true	30.15	32.26	19
8190_284434_000004_000001	The Treasure Chamber was pretty dark, although the moonlight came in through some of the windows, but the boy had brought with him the low brass lamp that lighted the corrider and this he set upon a table beside the door before he took time to look around him.	The Treasure Chamber was pretty dark, although the moonlight came in through some of the windows, but the boy had brought with him the low brass lamp that lighted the corrider and this he set upon a table beside the door before he took time to look around him.	false	32.33	44.77	17
8190_284434_000005_000000	The Treasure Chamber was heaped and crowded with all the riches the Boolooroo had accumulated during his reign of two or three hundred years.	The Treasure Chamber was heaped and crowded with all the riches the Boolooroo had accumulated during his reign of two or three hundred years.	false	44.96	52.48	15
8190_284434_000005_000001	Piles of gold and jewels were on all sides and precious ornaments and splendid cloths, rare pieces of carved furniture, vases, bric-a-brac and the like, were strewn about the room in astonishing profusion.	Piles of gold and jewels were on all sides and precious ornaments and splendid cloths, rare pieces of carved furniture, vases, bric a brac and the like, were strewn about the room in astonishing profusion.	false	52.79	65.5	17
8190_284434_000006_000000	Just at the boy's feet crouched a monstrous animal of most fearful aspect.	Just at the boy's feet crouched a monstrous animal of most fearful aspect.	true	66.08	70.39	17
8190_284434_000006_000001	He knew at a glance it was the terrible Blue Wolf and the sight of the beast sent a shiver through him.	He knew at a glance it was the terrible Blue Wolf and the sight of the beast sent a shiver through him.	false	70.64	75.64	18.748447
8190_284434_000006_000002	The Blue Wolf's head was fully as big as that of a lion and its wide jaws were armed with rows of long, pointed teeth.	The Blue Wolf's head was fully as big as that of a lion and its wide jaws were armed with rows of long, pointed teeth.	true	75.71	82.66	18
8190_284434_000006_000003	Its shoulders and front legs were huge and powerful, but the rest of the wolf's body dwindled away until at the tail it was no bigger than a dog.	Its shoulders and front legs were huge and powerful, but the rest of the wolf's body dwindled away until at the tail it was no bigger than a dog.	true	82.97	91.15	17
8190_284434_000006_000004	The jaws were therefore the dangerous part of the creature, and its small blue eyes flashed wickedly at the intruder.	The jaws were therefore the dangerous part of the creature, and its small blue eyes flashed wickedly at the intruder.	true	91.49	97.71	18.799639
8190_284434_000007_000000	Just as the boy made his first step forward the Blue Wolf sprang upon him with its enormous jaws stretched wide open.	Just as the boy made his first step forward the Blue Wolf sprang upon him with its enormous jaws stretched wide open.	true	97.71	103.54	15
8190_284434_000007_000001	Button-Bright jammed the sofa-pillow into the brute's mouth and crowded it in as hard as he could.	Button Bright jammed the sofa pillow into the brute's mouth and crowded it in as hard as he could.	true	104.12	108.97	16
