5126_36956_000003_000000	CHAPTER II.	CHAPTER two.
5126_36956_000005_000000	Toby could scarcely restrain himself at the prospect of this golden future that had so suddenly opened before him.	Toby could scarcely restrain himself at the prospect of this golden future that had so suddenly opened before him.
5126_36956_000005_000001	He tried to express his gratitude, but could only do so by evincing his willingness to commence work at once.	He tried to express his gratitude, but could only do so by evincing his willingness to commence work at once.
5126_36956_000006_000000	"No, no, that won't do," said Mr. Lord, cautiously.	"No, no, that won't do," said mr Lord, cautiously.
5126_36956_000006_000001	"If your uncle Daniel should see you working here, he might mistrust something, and then you couldn't get away."	"If your uncle Daniel should see you working here, he might mistrust something, and then you couldn't get away."
5126_36956_000007_000000	"I don't believe he'd try to stop me," said Toby, confidently; "for he's told me lots of times that it was a sorry day for him when he found me."	"I don't believe he'd try to stop me," said Toby, confidently; "for he's told me lots of times that it was a sorry day for him when he found me."
5126_36956_000008_000000	"We won't take any chances, my son," was the reply, in a very benevolent tone, as he patted Toby on the head, and at the same time handed him a piece of pasteboard.	"We won't take any chances, my son," was the reply, in a very benevolent tone, as he patted Toby on the head, and at the same time handed him a piece of pasteboard.
5126_36956_000008_000001	"There's a ticket for the circus, and you come around to see me about ten o'clock to-night.	"There's a ticket for the circus, and you come around to see me about ten o'clock to night.
5126_36956_000009_000000	If Toby had followed his inclinations, the chances are that he would have fallen on his knees, and kissed Mr. Lord's hands in the excess of his gratitude.	If Toby had followed his inclinations, the chances are that he would have fallen on his knees, and kissed mr Lord's hands in the excess of his gratitude.
5126_36956_000009_000001	But not knowing exactly how such a show of thankfulness might be received, he contented himself by repeatedly promising that he would be punctual to the time and place appointed.	But not knowing exactly how such a show of thankfulness might be received, he contented himself by repeatedly promising that he would be punctual to the time and place appointed.
5126_36956_000011_000000	As Toby walked around the circus grounds, whereon was so much to attract his attention, he could not prevent himself from assuming an air of proprietorship.	As Toby walked around the circus grounds, whereon was so much to attract his attention, he could not prevent himself from assuming an air of proprietorship.
5126_36956_000011_000002	He was really to travel with a circus, to become a part, as it were, of the whole, and to be able to see its many wonderful and beautiful attractions every day.	He was really to travel with a circus, to become a part, as it were, of the whole, and to be able to see its many wonderful and beautiful attractions every day.
5126_36956_000012_000000	Even the very tent ropes had acquired a new interest for him, and the faces of the men at work seemed suddenly to have become those of friends.	Even the very tent ropes had acquired a new interest for him, and the faces of the men at work seemed suddenly to have become those of friends.
5126_36956_000012_000001	How hard it was for him to walk around unconcernedly: and how especially hard to prevent his feet from straying toward that tempting display of dainties which he was to sell to those who came to see and enjoy, and who would look at him with wonder and curiosity!	How hard it was for him to walk around unconcernedly: and how especially hard to prevent his feet from straying toward that tempting display of dainties which he was to sell to those who came to see and enjoy, and who would look at him with wonder and curiosity!
5126_36956_000012_000002	It was very hard not to be allowed to tell his playmates of his wonderfully good fortune; but silence meant success, and he locked his secret in his bosom, not even daring to talk with any one he knew, lest he should betray himself by some incautious word.	It was very hard not to be allowed to tell his playmates of his wonderfully good fortune; but silence meant success, and he locked his secret in his bosom, not even daring to talk with any one he knew, lest he should betray himself by some incautious word.
5126_36956_000013_000000	He did not go home to dinner that day, and once or twice he felt impelled to walk past the candy stand, giving a mysterious shake of the head at the proprietor as he did so.	He did not go home to dinner that day, and once or twice he felt impelled to walk past the candy stand, giving a mysterious shake of the head at the proprietor as he did so.
5126_36956_000013_000001	The afternoon performance passed off as usual to all of the spectators save Toby.	The afternoon performance passed off as usual to all of the spectators save Toby.
5126_36956_000013_000002	He imagined that each one of the performers knew that he was about to join them; and even as he passed the cage containing the monkeys he fancied that one particularly old one knew all about his intention of running away.	He imagined that each one of the performers knew that he was about to join them; and even as he passed the cage containing the monkeys he fancied that one particularly old one knew all about his intention of running away.
5126_36956_000014_000000	Of course it was necessary for him to go home at the close of the afternoon's performance, in order to get one or two valuable articles of his own--such as a boat, a kite, and a pair of skates--and in order that his actions might not seem suspicious.	Of course it was necessary for him to go home at the close of the afternoon's performance, in order to get one or two valuable articles of his own-such as a boat, a kite, and a pair of skates-and in order that his actions might not seem suspicious.
5126_36956_000014_000001	Before he left the grounds, however, he stole slyly around to the candy stand, and informed Mr. Job Lord, in a very hoarse whisper, that he would be on hand at the time appointed.	Before he left the grounds, however, he stole slyly around to the candy stand, and informed mr Job Lord, in a very hoarse whisper, that he would be on hand at the time appointed.
