3380_64300_000001_000000	CHAPTER LV.	CHAPTER fifty five.
3380_64300_000002_000000	DISAPPEARANCE.	DISAPPEARANCE.
3380_64300_000004_000000	"No," said Mr. Redmain; "she must stay where she is.	"No," said mr Redmain; "she must stay where she is.
3380_64300_000004_000001	I fancy something happened last night which she has got to tell us about."	I fancy something happened last night which she has got to tell us about."
3380_64300_000005_000000	"Ah!	"Ah!
3380_64300_000005_000001	What was that?" asked Mr. Brett, facing round on her.	What was that?" asked mr Brett, facing round on her.
3380_64300_000006_000000	Mary began her story with the incident of her having been pursued by some one, and rescued by the blacksmith, whom she told her listeners she had known in London.	Mary began her story with the incident of her having been pursued by some one, and rescued by the blacksmith, whom she told her listeners she had known in London.
3380_64300_000006_000001	Then she narrated all that had happened the night before, from first to last, not forgetting the flame that lighted the closet as they approached the window.	Then she narrated all that had happened the night before, from first to last, not forgetting the flame that lighted the closet as they approached the window.
3380_64300_000007_000000	"Just let me see those memoranda," said Mr. Brett to Mr. Redmain, rising, and looking for the paper where he had left it the day before.	"Just let me see those memoranda," said mr Brett to mr Redmain, rising, and looking for the paper where he had left it the day before.
3380_64300_000008_000000	"It was of that paper I was this moment thinking," answered Mr. Redmain.	"It was of that paper I was this moment thinking," answered mr Redmain.
3380_64300_000009_000000	"It is not here!" said Mr. Brett.	"It is not here!" said mr Brett.
3380_64300_000010_000000	"I thought as much!	"I thought as much!
3380_64300_000010_000001	The fool!	The fool!
3380_64300_000010_000002	There was a thousand pounds there for her!	There was a thousand pounds there for her!
3380_64300_000010_000003	I didn't want to drive her to despair: a dying man must mind what he is about.	I didn't want to drive her to despair: a dying man must mind what he is about.
3380_64300_000011_000000	Mewks came, in evident anxiety.	Mewks came, in evident anxiety.
3380_64300_000012_000001	Mr. Brett took it for granted he had deliberately and intentionally shut out Mary, and Mewks did not attempt to deny it, protesting he believed she was boring his master.	mr Brett took it for granted he had deliberately and intentionally shut out Mary, and Mewks did not attempt to deny it, protesting he believed she was boring his master.
3380_64300_000012_000002	The grin on that master's face at hearing this was not very pleasant to behold. When examined as to the missing paper, he swore by all that was holy he knew nothing about it.	The grin on that master's face at hearing this was not very pleasant to behold. When examined as to the missing paper, he swore by all that was holy he knew nothing about it.
3380_64300_000013_000000	Mr. Brett next requested the presence of Miss Yolland.	mr Brett next requested the presence of Miss Yolland.
3380_64300_000013_000001	She was nowhere to be found.	She was nowhere to be found.
3380_64300_000013_000002	The place was searched throughout, but there was no trace of her.	The place was searched throughout, but there was no trace of her.
3380_64300_000015_000000	Lady Malice was grievously hurt at the examination she found had been going on.	Lady Malice was grievously hurt at the examination she found had been going on.
3380_64300_000019_000000	Hesper sought Mary, and kissed her with some appearance of gratitude. She saw what a horrible suspicion, perhaps even accusation, she had saved her from.	Hesper sought Mary, and kissed her with some appearance of gratitude. She saw what a horrible suspicion, perhaps even accusation, she had saved her from.
3380_64300_000019_000001	The behavior and disappearance of Sepia seemed to give her little trouble.	The behavior and disappearance of Sepia seemed to give her little trouble.
3380_64300_000021_000000	Almost every evening, until he left Durnmelling, Mary went to see Mr. Redmain.	Almost every evening, until he left Durnmelling, Mary went to see mr Redmain.
3380_64300_000021_000002	And something did seem to be getting into, or waking up in, him.	And something did seem to be getting into, or waking up in, him.
3380_64300_000021_000005	When suffering, he would occasionally break into fierce and evil language, then be suddenly silent.	When suffering, he would occasionally break into fierce and evil language, then be suddenly silent.
3380_64300_000022_000000	For some time it remained doubtful whether this attack was not, after all, going to be the last: the doctor himself was doubtful, and, having no reason to think his death would be a great grief in the house, did not hesitate much to express his doubt.	For some time it remained doubtful whether this attack was not, after all, going to be the last: the doctor himself was doubtful, and, having no reason to think his death would be a great grief in the house, did not hesitate much to express his doubt.
3380_64300_000022_000001	And, indeed, it caused no gloom.	And, indeed, it caused no gloom.
