6895_92806_000000_000000	"Why," said I, bewildered, "that man is a citizen of the world--a cosmopolite.	"Why," said I, bewildered, "that man is a citizen of the world-a cosmopolite.	false	0	4.8	19.920143
6895_92806_000000_000001	He--"	He-"	false	4.8	5.04	1
6895_92806_000001_000000	"Originally from Mattawamkeag, Maine, he said," continued McCarthy, "and he wouldn't stand for no knockin' the place."	"Originally from Mattawamkeag, Maine, he said," continued McCarthy, "and he wouldn't stand for no knockin' the place."	false	5.04	15.195	18
6895_92806_000002_000000	BETWEEN ROUNDS	BETWEEN ROUNDS	true	15.195	16.45	18.791628
6895_92806_000003_000000	The May moon shone bright upon the private boarding-house of Mrs. Murphy.	The May moon shone bright upon the private boarding house of mrs Murphy.	true	16.91	21.01	17
6895_92806_000003_000001	By reference to the almanac a large amount of territory will be discovered upon which its rays also fell.	By reference to the almanac a large amount of territory will be discovered upon which its rays also fell.	true	21.32	27.52	15
6895_92806_000003_000002	Spring was in its heydey, with hay fever soon to follow.	Spring was in its heydey, with hay fever soon to follow.	false	27.83	31.48	18
6895_92806_000003_000003	The parks were green with new leaves and buyers for the Western and Southern trade.	The parks were green with new leaves and buyers for the Western and Southern trade.	true	31.7	36.52	18.995533
6895_92806_000003_000004	Flowers and summer-resort agents were blowing; the air and answers to Lawson were growing milder; hand-organs, fountains and pinochle were playing everywhere.	Flowers and summer resort agents were blowing; the air and answers to Lawson were growing milder; hand organs, fountains and pinochle were playing everywhere.	true	36.65	47.38	20.78908
6895_92806_000004_000000	The windows of Mrs. Murphy's boarding-house were open.	The windows of mrs Murphy's boarding house were open.	true	47.78	50.77	16
6895_92806_000004_000001	A group of boarders were seated on the high stoop upon round, flat mats like German pancakes.	A group of boarders were seated on the high stoop upon round, flat mats like German pancakes.	false	50.9	56.65	19
6895_92806_000005_000000	In one of the second-floor front windows Mrs. McCaskey awaited her husband.	In one of the second floor front windows mrs McCaskey awaited her husband.	true	56.84	61.48	17
6895_92806_000005_000001	Supper was cooling on the table.	Supper was cooling on the table.	true	61.79	63.705	16
6895_92806_000005_000002	Its heat went into Mrs. McCaskey.	Its heat went into mrs McCaskey.	true	63.705	66.16	19
6895_92806_000006_000000	At nine Mr. McCaskey came.	At nine mr McCaskey came.	true	66.53	68.8	23
6895_92806_000006_000001	He carried his coat on his arm and his pipe in his teeth; and he apologised for disturbing the boarders on the steps as he selected spots of stone between them on which to set his size 9, width Ds.	He carried his coat on his arm and his pipe in his teeth; and he apologised for disturbing the boarders on the steps as he selected spots of stone between them on which to set his size nine, width d's.	true	68.9	81.19	18
6895_92806_000007_000000	As he opened the door of his room he received a surprise.	As he opened the door of his room he received a surprise.	true	81.77	85	15
6895_92806_000007_000001	Instead of the usual stove-lid or potato-masher for him to dodge, came only words.	Instead of the usual stove lid or potato masher for him to dodge, came only words.	true	85.16	90.67	15
6895_92806_000008_000000	Mr. McCaskey reckoned that the benign May moon had softened the breast of his spouse.	mr McCaskey reckoned that the benign May moon had softened the breast of his spouse.	true	91.01	96.34	15
6895_92806_000009_000000	"I heard ye," came the oral substitutes for kitchenware.	"I heard ye," came the oral substitutes for kitchenware.	false	96.47	99.27	16
6895_92806_000009_000001	"Ye can apollygise to riff-raff of the streets for settin' yer unhandy feet on the tails of their frocks, but ye'd walk on the neck of yer wife the length of a clothes-line without so much as a 'Kiss me fut,' and I'm sure it's that long from rubberin' out the windy for ye and the victuals cold such as there's money to buy after drinkin' up yer wages at Gallegher's every Saturday evenin', and the gas man here twice to-day for his."	"Ye can apollygise to riff raff of the streets for settin' yer unhandy feet on the tails of their frocks, but ye'd walk on the neck of yer wife the length of a clothes line without so much as a 'Kiss me fut,' and I'm sure it's that long from rubberin' out the windy for ye and the victuals cold such as there's money to buy after drinkin' up yer wages at Gallegher's every Saturday evenin', and the gas man here twice to day for his."	false	99.27	123.37	18
6895_92806_000010_000000	"Woman!" said Mr. McCaskey, dashing his coat and hat upon a chair, "the noise of ye is an insult to me appetite.	"Woman!" said mr McCaskey, dashing his coat and hat upon a chair, "the noise of ye is an insult to me appetite.	false	123.47	130.545	21
6895_92806_000010_000001	When ye run down politeness ye take the mortar from between the bricks of the foundations of society. 'Tis no more than exercisin' the acrimony of a gentleman when ye ask the dissent of ladies blockin' the way for steppin' between them.	When ye run down politeness ye take the mortar from between the bricks of the foundations of society. 'tis no more than exercisin' the acrimony of a gentleman when ye ask the dissent of ladies blockin' the way for steppin' between them.	false	130.545	142.815	16
6895_92806_000010_000002	Will ye bring the pig's face of ye out of the windy and see to the food?"	Will ye bring the pig's face of ye out of the windy and see to the food?"	false	142.815	146.92	18.437479
6895_92806_000011_000000	Mrs. McCaskey arose heavily and went to the stove.	mrs McCaskey arose heavily and went to the stove.	true	146.93	150.09	16
6895_92806_000011_000001	There was something in her manner that warned Mr. McCaskey.	There was something in her manner that warned mr McCaskey.	true	150.09	153.25	15
6895_92806_000011_000002	When the corners of her mouth went down suddenly like a barometer it usually foretold a fall of crockery and tinware.	When the corners of her mouth went down suddenly like a barometer it usually foretold a fall of crockery and tinware.	true	153.29	159.79	18
6895_92806_000012_000000	"Pig's face, is it?" said Mrs. McCaskey, and hurled a stewpan full of bacon and turnips at her lord.	"Pig's face, is it?" said mrs McCaskey, and hurled a stewpan full of bacon and turnips at her lord.	true	160.01	166.21	20
