5672_88363_000001_000000	THE SUBSTITUTE FOR THE SALOON	THE SUBSTITUTE FOR THE SALOON
5672_88363_000002_000001	It refers as well to every other type of moving picture that gets into the slum.	It refers as well to every other type of moving picture that gets into the slum.
5672_88363_000002_000005	But now, to speak in an Irish way, the crowd takes the platform, and looking down, sees itself swaying.	But now, to speak in an Irish way, the crowd takes the platform, and looking down, sees itself swaying.
5672_88363_000002_000007	Below the cliff caves were bar rooms in endless lines.	Below the cliff caves were bar rooms in endless lines.
5672_88363_000002_000008	There are almost as many bar rooms to-day, yet this new thing breaks the lines as nothing else ever did.	There are almost as many bar rooms to day, yet this new thing breaks the lines as nothing else ever did.
5672_88363_000003_000001	For no pious reason, surely.	For no pious reason, surely.
5672_88363_000003_000002	Now they have fire pouring into their eyes instead of into their bellies.	Now they have fire pouring into their eyes instead of into their bellies.
5672_88363_000003_000003	Blood is drawn from the guts to the brain.	Blood is drawn from the guts to the brain.
5672_88363_000003_000005	After a day's work a street-sweeper enters the place, heavy as King Log.	After a day's work a street sweeper enters the place, heavy as King Log.
5672_88363_000004_000000	The photoplays have done something to reunite the lower-class families. No longer is the fire-escape the only summer resort for big and little folks.	The photoplays have done something to reunite the lower class families. No longer is the fire escape the only summer resort for big and little folks.
5672_88363_000004_000001	Here is more fancy and whim than ever before blessed a hot night. Here, under the wind of an electric fan, they witness everything, from a burial in Westminster to the birthday parade of the ruler of the land of Swat.	Here is more fancy and whim than ever before blessed a hot night. Here, under the wind of an electric fan, they witness everything, from a burial in Westminster to the birthday parade of the ruler of the land of Swat.
5672_88363_000005_000008	As Padraic Colum says in his poem on the herdsman:--	As Padraic Colum says in his poem on the herdsman:--
5672_88363_000006_000000	"With thoughts on white ships And the King of Spain's Daughter."	"With thoughts on white ships And the King of Spain's Daughter."
5672_88363_000008_000001	I beg to be allowed to relate a personal matter.	I beg to be allowed to relate a personal matter.
5672_88363_000008_000004	The talk with this man was worth it all to me.	The talk with this man was worth it all to me.
5672_88363_000009_000005	Through their office they are committed to prohibition.	Through their office they are committed to prohibition.
5672_88363_000011_000001	When a county goes dry, it is generally in spite of the county-seat.	When a county goes dry, it is generally in spite of the county seat.
5672_88363_000011_000003	The larger the county-seat, the larger the non-church-going population and the more stubborn the fight.	The larger the county seat, the larger the non church going population and the more stubborn the fight.
5672_88363_000011_000009	But they are outstanding groups.	But they are outstanding groups.
5672_88363_000011_000010	Their leadership seldom dries up a factory town or a mining region, with all the help the Anti-Saloon League can give.	Their leadership seldom dries up a factory town or a mining region, with all the help the Anti Saloon League can give.
5672_88363_000012_000002	The men who do this, drink freely at their own clubs or parties.	The men who do this, drink freely at their own clubs or parties.
5672_88363_000013_000002	The women's vote, a little more puritanical than the men's vote, will make the result sure.	The women's vote, a little more puritanical than the men's vote, will make the result sure.
5672_88363_000014_000003	And a whole evening costs but a dime apiece.	And a whole evening costs but a dime apiece.
5672_88363_000015_000000	Since I have announced myself a farmer and a puritan, let me here list the saloon evils not yet recorded in this chapter.	Since I have announced myself a farmer and a puritan, let me here list the saloon evils not yet recorded in this chapter.
5672_88363_000015_000002	The shame of the American drinking place is the bar-tender who dominates its thinking.	The shame of the American drinking place is the bar tender who dominates its thinking.
5672_88363_000017_000002	But it is not too late for the dry forces to repent.	But it is not too late for the dry forces to repent.
5672_88363_000017_000005	And wet territory voted dry will bring about a greatly accelerated patronage of the photoplay houses. There is every strategic reason why these two forces should patch up a truce.	And wet territory voted dry will bring about a greatly accelerated patronage of the photoplay houses. There is every strategic reason why these two forces should patch up a truce.
